ID,Name,Dec
1000,مكافأة تسجيل الدخول اليومية ,تسجيل الدخول اليوم مكافأة 
1001,3 مكافآت يومية ,3 مكافآت المباراة 3 اليوم 
1002,يدعم,يمكنك رعاية المطور من خلال التوأم. 
1003,مراجعة,يرجى المراجعة وسنكافئك. 
1004,البرنامج التعليمي الكامل ,أكمل البرنامج التعليمي 
1005,إنجاز رتبة الفضة ,تحقيق Multiplay Silver Rank 
1006,إنجاز المرتبة الذهبية ,تحقيق Multiplay Gold Rank 
1007,إنجاز رتبة البلاتين ,تحقيق رتبة متعددة اللاعبين بلاتينيوم 
1008,الإنجاز رتبة Diamond ,تحقيق Multiplay Diamond Rank 
1009,إنجاز المرتبة الرئيسية ,تحقيق رتبة رئيسية متعددة اللاعبين 
1010,إنجاز تشالنجر ,تحقيق Multiplay Challenger رتبة 
1011,بطل الدوري ,حقق المركز الأول في الدوري 
1012,ميدالية فضية,حقق المركز الثاني في الدوري 
1013,الميدالية البرونزية,حقق المركز الثالث في الدوري 
1014,3 أبطال ,تحقيق 3 ألقاب الدوري 
1015,3 ميداليات فضية ,حقق المركز الثاني في ثلاث بطولات الدوري 
1016,3 ميداليات برونزية ,حقق المركز الثالث في ثلاث بطولات الدوري 
1017,5 أبطال ,تحقيق 5 ألقاب الدوري 
1018,5 ميداليات فضية ,تحقيق المركز الثاني في خمس بطولات الدوري 
1019,5 ميداليات برونزية ,تحقيق المركز الثالث في خمس بطولات الدوري 
1020,الموسم الأول,الموعد النهائي للموسم الأول 
1021,الموسم الثالث ,الموعد النهائي للموسم الثالث 
1022,الموسم الخامس ,الموعد النهائي للموسم الخامس 
1023,الموسم العاشر ,الموعد النهائي للموسم العاشر 
1024,6 مكافآت يومية ,مكافآت المباراة 6 اليوم 
1025,إنجاز رتبة الفضة ,تحقيق Multiplay Silver Rank 
1026,إنجاز المرتبة الذهبية ,تحقيق Multiplay Gold Rank 
1027,إنجاز رتبة البلاتين ,تحقيق رتبة متعددة اللاعبين بلاتينيوم 
1028,الإنجاز رتبة Diamond ,تحقيق Multiplay Diamond Rank 
1029,إنجاز المرتبة الرئيسية ,تحقيق رتبة رئيسية متعددة اللاعبين 
1030,إنجاز تشالنجر ,تحقيق Multiplay Challenger رتبة 
1031,حد المطابقة اليومي ,عدد المباريات يوميًا حيث يمكنك الحصول على Essence 
