ID,Dec
1000000.0,اهزم جميع فرق KR League في الموسم الثامن عشر.
1000001.0,اهزم جميع فرق KR League في الموسم الربيعي الـ١٩.
1000002.0,اهزم جميع فرق KR League في موسم الصيف الـ١٩.
1000003.0,"هزيمة جميع الفرق العشرة الأوائل في الموسم 19 من وضع ""متعدد المباريات""."
1000004.0,اهزم جميع فرق KR League في الموسم الربيعي رقم 20.
1000005.0,هزيمة جميع فرق الدوري الأوروبي في الموسم الربيعي الـ٢٠.
1000006.0,هزّ جميع فرق دوري أمريكا الشمالية في الموسم الربيعي العشرين.
1000007.0,اهزم جميع فرق KR League في الموسم الصيفي الـ٢٠.
1000008.0,اهزم جميع فرق دوري أوروبا في الموسم الصيفي رقم 20.
1000009.0,هزم جميع فرق الدوري الأمريكي في الموسم الصيفي العشرين.
1000010.0,اهزم جميع فرق Multi Match في الموسم 20 ضمن أفضل 10 فرق.
1000011.0,اهزم جميع فرق KR League في موسم الربيع 2021.
1000012.0,اهزم جميع فرق الاتحاد الأوروبي في موسم الربيع 2021.
1000013.0,اهزم جميع فرق الـ NA في موسم الربيع 2021.
1000014.0,اهزم جميع فرق Multi Match في الموسم 21‑1 الذين يحتلون المرتبة العشرة الأوائل.
1000015.0,اهزم جميع فرق الـTop 10 لموسم Multi Match 21‑2.
1000016.0,اهزم جميع فرق الدوري الصيني في موسم الربيع لعام 2021.
1000017.0,اهزم جميع فرق KR League في موسم الصيف لعام ٢٠٢١.
1000018.0,اهزم جميع فرق دوري أوروبا في موسم صيف 2021.
1000019.0,اهزم جميع فرق الـ NA League في موسم صيف 2021.
1000020.0,اهزم جميع فرق الدوري الصيني في موسم صيف 2021.
1000021.0,اهزم جميع فرق الـTop 10 في موسم Multi Match 21‑3.
1000022.0,اهزم جميع فرق الـTop 10 في موسم Multi Match 22‑1.
1000023.0,اهزم جميع فرق KR League في موسم الربيع 2022.
1000024.0,اهزم جميع فرق EU League في موسم الربيع 2022.
1000025.0,اهزم جميع فرق دوري أمريكا الشمالية في موسم ربيع 2022.
1000026.0,اهزم جميع فرق الـTop 10 في موسم Multi Match 22‑2.
1000027.0,اهزم جميع الفرق العشر الأوائل في موسم Multi Match 22‑3.
1000028.0,اهزم جميع فرق Multi Match في موسم 22‑4 داخل أفضل 10 فرق.
1000029.0,اهزم جميع فرق الـ KR League في موسم صيف 2022.
1000030.0,اهزم جميع فرق دوري أوروبا في موسم صيف 2022.
1000031.0,هزّ جميع فرق الدوري الأمريكي في موسم الصيف 2022.
1000032.0,اهزم جميع فرق الـ Multi Match في موسم 23‑1 ضمن أعلى 10.
1000033.0,اهزم جميع فرق الـ Multi Match في موسم 23‑2 من أعلى 10 فرق.
1000034.0,اهزم جميع فرق KR League في موسم الربيع 23.
1000035.0,اهزم جميع فرق الدوري الأوروبي في موسم الربيع 2023.
1000036.0,اهزم جميع فرق دوري أمريكا الشمالية في الموسم الربيعي لعام 2023.
1000037.0,اهزم جميع فرق الـ Multi Match في موسم 23‑3 ضمن أفضل 10 فرق.
1000038.0,هزيمة جميع فرق دوري كوريا في موسم الصيف 2023.
1000039.0,اهزم جميع فرق الدوري الأوروبي في موسم صيف 2023.
1000040.0,اهزم جميع فرق الـ NA League في موسم الصيف 2023.
1000041.0,اهزم جميع فرق Top10 لموسم Multi Match 23‑4.
1000042.0,اهزم جميع فرق الـTop 10 في موسم Multi Match 24‑1.
1000043.0,اهزم جميع فرق أعلى 10 في موسم Multi Match 24‑2.
1000044.0,هزيمة جميع فرق دوري كوريا في الموسم الربيعي الـ 24.
1000045.0,اهزم جميع فرق الاتحاد الأوروبي في موسم الربيع 24.
1000046.0,اهزم جميع فرق الـ NA ليغ في موسم الربيع 24.
1000047.0,اهزم جميع الفرق التي تحتل المراكز العشرة الأولى في موسم Multi Match 24‑3.
1000048.0,هزّم جميع فرق دوري كوريا في الموسم الصيفي الرابع والعشرين.
1000049.0,اهزم جميع فرق الـ EU League في موسم صيف 2024.
1000050.0,هزم جميع فرق دوري أمريكا الشمالية في موسم الصيف الرابع والعشرين.
1000051.0,اهزم جميع فرق الـTop 10 في موسم Multi Match 24‑4.
1000052.0,اهزم جميع فرق الموسم Top 10 في Multi Match 25‑1.
1000053.0,اهزم جميع فرق الـTop 10 في موسم Multi Match 25‑2.
1000054.0,اهزم جميع فرق KR League في الموسم الربيعي رقم ٢٥.
1000055.0,اهزم جميع فرق الاتحاد الأوروبي في موسم الربيع رقم 25.
1000056.0,اهزم جميع فرق دوري أمريكا الشمالية في الموسم الربيعي 25.
1000057.0,اهزم جميع فرق الـTop 10 للموسم في وضع Multi Match 25‑3.
1000058.0,اهزم جميع فرق KR League في الموسم الصيفي الـ25.
1000059.0,اهزم جميع فرق دوري أوروبا في الموسم الصيفي الـ ٢٥.
1000060.0,اهزم جميع فرق دوري أمريكا الشمالية في الموسم الصيفي الخامس والعشرين.
1000061.0,اهزم جميع فرق الـTop 10 للموسم في وضع **Multi Match 25‑4**.
1000062.0,اهزم جميع فرق دوري KR في الموسم الشتوي الـ26.
1000063.0,اهزم جميع فرق الدوري الأوروبي في الموسم الشتوي الـ26.
1000064.0,اهزم جميع فرق دوري NA League في الموسم الشتوي الـ 26.
1000065.0,اهزم جميع فرق Multi Match 26-1 Season Top10.
