ID,Name,Dec
1000.0,تجنيد الذهب,قم بتجنيد لاعب عشوائي مع إحصائيات مجتمعة فوق 81.
1001.0,حزمة الذهب,قم بتجنيد 5 لاعبين عشوائيين مع إحصائيات مجتمعة فوق 81.
1002.0,تجنيد اللاعب,تجنيد 1 لاعب عشوائي.
1003.0,التوظيف الفضي,تجنيد لاعب عشوائي مع إحصاءات مجتمعة فوق 76.
1004.0,تجنيد الذهب,قم بتجنيد لاعب عشوائي مع إحصائيات مجتمعة فوق 81.
1005.0,التوظيف البلاتيني,قم بتجنيد لاعب عشوائي مع المعدل التراكمي المدمج من 84 أو أعلى.
1006.0,الحزمة الأساسية,تجنيد 5 لاعبين عشوائيين.
1007.0,حزمة الفضة,قم بتجنيد 5 لاعبين عشوائيين مع إحصائيات مجتمعة فوق 76.
1008.0,حزمة الذهب,قم بتجنيد 5 لاعبين عشوائيين مع إحصائيات مجتمعة فوق 81.
1009.0,حزمة البلاتين,قم بتجنيد 5 لاعبين عشوائيين مع المعدل التراكمي المدمج من 84 أو أعلى.
1010.0,2021Season التوظيف,تجنيد لاعب عشوائي من موسم 21SPR-21sum.
1011.0,الحزمة 2021Season, (لا تشمل القيود)
1012.0,2022season التوظيف,تجنيد 5 لاعب عشوائي من موسم 21SPR-21Sum.
1013.0,حزمة 2022Season, (لا تشمل القيود)
1014.0,2023Season التوظيف,تجنيد لاعب عشوائي من موسم 22SPR-22SUM.
1015.0,الحزمة 2023Season, (لا تشمل القيود)
1016.0,توظيف الموسم السابق,تجنيد 5 لاعب عشوائي من موسم 22SPR-22Sum.
1017.0,حزمة الموسم السابق, (لا تشمل القيود)
1018.0,توظيف المدرب,تجنيد لاعب عشوائي من موسم 23SPR-23Sum.
1019.0,تغيير اسم الفريق, (لا تشمل القيود)
1012.0,टीम का नाम बदलें,अपनी टीम का नाम बदलें।
1013.0,टीम का नाम बदलें,अपनी टीम का नाम बदलें।
1012.0,Reclutamento della stagione precedente,Viene reclutato un giocatore a caso della stagione 18-20SUM.
1013.0,Pacchetto della stagione precedente, (Non includendo la limitazione)
