ID,Dec
1000000,هزّ كل فرق KR League في الموسم الـ18.
1000001,اهزم جميع فرق KR League في موسم الربيع التاسع عشر.
1000002,اهزم جميع فرق KR League في الموسم الصيفي التاسع عشر.
1000003,اهزم جميع فرق الـTop 10 في موسم Multi Match 19.
1000004,اهزم جميع فرق KR League في الموسم الربيعي رقم 20.
1000005,اهزم جميع فرق دوري أوروبا في الموسم الربيعي الـ20.
1000006,اهزم جميع فرق NA League في الموسم الربيعي الـ٢٠.
1000007,هزِم جميع فرق KR League في الموسم الصيفي الـ٢٠.
1000008,اهزم جميع فرق الدوري الأوروبي في الموسم الصيفي الـ٢٠.
1000009,اهزم جميع فرق دوري أمريكا الشمالية في الموسم الصيفي الـ٢٠.
1000010,اهزم جميع فرق الـ Multi Match في الموسم 20 التي تحتل المراكز العشرة الأولى.
1000011,اهزم جميع فرق KR League في موسم الربيع 2021.
1000012,هزيمة جميع فرق الـ EU في موسم الربيع 2021.
1000013,اهزم جميع فرق NA League في الموسم الربيعي 2021.
1000014,اهزم جميع فرق الـTop 10 في موسم 21‑1 متعدد المباريات.
1000015,اهزم جميع فرق الـTop 10 في موسم Multi Match 21‑2.
1000016,هزيمة جميع فرق الدوري الصيني في موسم الربيع 2021.
1000017,اهزم جميع فرق KR League في موسم الصيف 2021.
1000018,اهزم جميع فرق دوري أوروبا في الموسم الصيفي 2021.
1000019,اهزم جميع فرق NA League في موسم صيف 2021.
1000020,اهزم جميع فرق الدوري الصيني في موسم صيف 2021.
1000021,اهزم جميع فرق Multi Match في موسم 21‑3 داخل تصنيف أفضل 10.
1000022,اهزم جميع فرق الـTop 10 في موسم Multi Match 22‑1.
1000023,اهزم جميع فرق الـ KR League في موسم الربيع ٢٠٢٢.
1000024,اهزم جميع فرق الـ EU League في موسم الربيع 2022.
1000025,اهزم جميع فرق الدوري الأمريكي الشمالي في موسم الربيع 2022.
1000026,هزيمة جميع الفرق العشرة الأوائل في موسم Multi Match 22‑2.
1000027,هزِم جميع فرق Multi Match للموسم 22‑3 ضمن أفضل 10 فرق.
1000028,اهزم جميع فرق Multi Match موسم 22‑4 من أعلى 10.
1000029,اهزم جميع فرق KR League في موسم الصيف لعام ٢٠٢۲.
1000030,هزّ كل فرق الـ EU في موسم صيف 2022.
1000031,اهزم جميع فرق دوري أمريكا الشمالية في موسم صيف 2022.
1000032,اهزم جميع فرق الـTop 10 في موسم Multi Match 23‑1.
1000033,اهزم جميع فرق الـ Multi Match في موسم 23‑2 من أعلى 10.
1000034,اهزم جميع فرق KR League في موسم الربيع 23.
1000035,اهزم جميع فرق EU League في موسم الربيع 2023.
1000036,اهزم جميع فرق دوري أمريكا الشمالية في موسم ربيع 23.
1000037,اهزم جميع فرق الـ Multi Match في موسم 23‑3 داخل تصنيف أعلى 10.
1000038,اهزم جميع فرق الـ KR League في موسم صيف 2023.
1000039,هزم جميع فرق الدوري الأوروبي في موسم صيف 2023.
1000040,اهزم جميع فرق دوري أمريكا الشمالية في موسم الصيف لعام 2023.
1000041,اهزم جميع فرق الـTop 10 في موسم Multi Match 23‑4.
1000042,اهزم جميع فرق الـTop 10 في موسم Multi Match 24‑1.
1000043,اهزم جميع فرق الـTop 10 لموسم Multi Match 24‑2.
1000044,اهزم جميع فرق KR League في الموسم الربيعي رقم 24.
1000045,اهزم جميع فرق الاتحاد الأوروبي في الموسم الربيعي 24.
1000046,اهزم جميع فرق الدوري الأمريكي (NA League) في الموسم الربيعي الرابع والعشرين.
1000047,اهزم جميع فرق الـTop 10 في موسم Multi Match 24‑3.
1000048,اهزم جميع فرق KR League في الموسم الصيفي 2024.
1000049,اهزم جميع فرق دوري أوروبا في الموسم الصيفي 2024.
1000050,اهزم جميع فرق الدوري الأمريكي الشمالي في موسم صيف 2024.
1000051,اهزم جميع فرق الموسم العشرة الأوائل في وضعية **Multi Match 24‑4**.
1000052,اهزم جميع الفرق العشرة الأعلى في موسم Multi Match 25‑1.
1000053,اهزم جميع فرق الـTop 10 في موسم Multi Match 25‑2.
1000054,اهزم جميع فرق KR League في الموسم الربيعي الـ٢٥.
1000055,اهزم جميع فرق EU League في الموسم الربيعي رقم 25.
1000056,اهزم جميع فرق الدوري الأمريكي الشمالي في الموسم الربيعي الـ25.
