ID,Name,Dec
1000,每日登录奖励,今日登录奖励
1001,3个每日奖励,今日三场比赛奖励
1002,辅助,您可以通过 Twonation 为开发者提供赞助。
1003,复盘,请审核，随后我们将予以奖励。
1004,教学完成,完成教程
1005,银牌段位成就,达成多人对战银段位
1006,黄金段位成就,获取多人模式金段位
1007,铂金段位成就,获得多人游戏铂金段位
1008,钻石段位成就,达成多人模式钻石段位
1009,大师段位成就,达成多人对战大师段位
1010,挑战者成就,获得多人游戏挑战者段位
1011,联赛冠军,在联赛中取得第一名。
1012,银牌,在联赛中夺得亚军
1013,铜牌,在联赛中夺得季军
1014,3位英雄,获得 3 项联赛冠军
1015,3枚银牌,在三项联赛中夺得亚军
1016,3枚铜牌,在三项联赛中荣获季军。
1017,5名英雄,获得 5 次联赛冠军
1018,5枚银牌,在五个联赛中斩获亚军。
1019,5枚铜牌,在五大联赛中夺得季军
1020,第一赛季,第一赛季截止日期
1021,第三赛季,第三赛季截止日期
1022,第五赛季,第五赛季截止日期
1023,第十赛季,第十赛季截止日期
1024,每日6项奖励,今日 6 场比赛奖励
1025,白银段位成就,达成多人模式银牌段位
1026,黄金段位成就,达成 多人游戏 黄金段位
1027,铂金段位成就,达成多人模式白金段位
1028,钻石段位成就,达成多人游戏钻石段位
1029,大师段位成就,达成多人模式大师段位
1030,挑战者成就,获取多人对战挑战者段位
1031,每日对局上限,每天可以获得精华的对局次数
