ID,Dec
1000000,在第18赛季中击败全部 KR 联赛球队。
1000001,在第19赛季春季赛中击败所有 LCK 战队。
1000002,在第 19 赛季夏季赛中击败全部 LCK 战队。
1000003,击败所有 Multi Match 19 赛季 Top10 队伍。
1000004,在2020春季赛中击败所有KR联赛战队。
1000005,在2020春季赛中击败所有EU赛区的战队。
1000006,在2020春季赛中击败北美赛区的所有战队。
1000007,在第 20 个夏季赛季中，击败全部 LCK（KR 联赛）战队。
1000008,在2020年夏季赛中击败全部欧服联赛战队。
1000009,在2020年夏季赛中击败所有 NA 联赛战队。
1000010,击败全部 20 赛季 Multi Match 前十队伍。
1000011,在2021春季赛中击败所有 KR 联赛战队。
1000012,在2021年春季赛中击败所有欧洲赛区的战队。
1000013,在2021年春季赛中击败所有NA联赛战队。
1000014,在 Multi Match 21‑1 赛季中击败所有前十名的队伍。
1000015,在 Multi Match 21‑2 赛季中击败所有 Top 10 队伍。
1000016,在 2021 年春季赛中击败所有 CN 赛区战队。
1000017,在 2021 夏季赛中击败所有 KR 联赛战队。
1000018,在2021年夏季赛中击败所有EU赛区的战队。
1000019,在2021年夏季赛中击败所有北美LCS战队。
1000020,在2021夏季赛中击败所有 CN 赛区战队。
1000021,击败全部「Multi Match」21‑3赛季前十名队伍。
1000022,击败全部 Multi Match 22‑1赛季前十强队伍。
1000023,在 2022 春季赛中击败全部 LCK 战队。
1000024,在2022年春季赛中击败所有欧服赛区的战队。
1000025,在2022年春季赛中击败所有北美联赛球队。
1000026,击败全部 Multi Match 22‑2 赛季前十队伍。
1000027,击败所有 Multi Match 22‑3 赛季Top 10的队伍。
1000028,击败本赛季 Multi Match 22‑4 前十的所有队伍。
1000029,在2022年夏季赛中击败全部 KR 联赛战队。
1000030,在 2022 夏季赛中击败所有欧服战队。
1000031,在 2022 年夏季赛中击败所有 NA 联赛队伍。
1000032,击败所有 “Multi Match 23‑1” 赛季前十的队伍。
1000033,击败全部 Multi Match 23‑2 赛季前十队伍。
1000034,在 23 春季赛 中击败所有 KR 联赛战队。
1000035,在 2023 年春季赛中击败所有 EU 赛区的队伍。
1000036,在2023年春季赛中击败全部北美联赛战队。
1000037,击败全部 Multi Match 23‑3 赛季前十的队伍。
1000038,在2023年夏季赛中击败所有 KR 联赛战队。
1000039,在 23 年夏季赛中击败所有欧服战队。
1000040,在 2023 年夏季赛中击败所有 NA LCS 队伍。
1000041,在 23‑4 赛季的多局赛中击败全部前十名队伍。
1000042,击败全部“Multi Match 24‑1”赛季前十强队伍。
1000043,击败所有 Multi Match 24-2 赛季前十的队伍。
1000044,在 2024 春季赛中击败所有 LCK 战队。
1000045,在2024春季赛中击败全部欧服战队。
1000046,在2024春季赛中击败所有 NA 赛区的战队。
1000047,击败所有 24‑3 赛季 多场对局 前十名队伍。
1000048,在 2024 夏季赛 中击败全部 KR 联赛战队。
1000049,在2024夏季赛中击败全部 EU 赛区的战队。
1000050,在 2024 夏季赛 中击败所有 NA 赛区的队伍。
1000051,击败 24‑4 赛季全部前十的多场比赛队伍。
1000052,击败所有“Multi Match 25‑1”赛季前十的队伍。
1000053,击败所有 Multi Match 25‑2 赛季前十队伍。
1000054,在第 25 赛季春季赛中击败所有 LCK 战队。
1000055,在第25赛季春季赛中击败所有欧洲赛区的战队。
1000056,在第 25 赛季春季赛中击败所有北美 LCS 战队。
