ID,Name,Dec
1000,每日登入獎勵,今日登入獎勵
1001,每日三項獎勵,今天的 3 場比賽獎勵
1002,輔助,您可以透過 Twonation 贊助開發者。
1003,回顧,請審查，我們將為您提供獎勵。
1004,教學完成,完成教學
1005,銀階成就,達成多人對戰銀階段位
1006,黃金段位成就,達成 多人對戰 金牌段位
1007,白金段位成就,達成多人對戰白金段位
1008,鑽石段位成就,獲得多人排位鑽石段位
1009,大師段位成就,獲得 多人對戰 大師段位
1010,挑戰者成就,達成多人對戰挑戰者等級
1011,聯盟冠軍,在聯賽中取得第一名
1012,銀牌,在聯賽中奪得第二名
1013,銅牌,在聯賽奪得季軍
1014,3位英雄,奪得 3 項聯賽冠軍
1015,3枚銀牌,在三項聯賽中榮獲亞軍。
1016,3枚銅牌,在三個聯賽中取得季軍
1017,5位英雄,獲得 5 個聯賽冠軍
1018,5枚銀牌,在五項聯賽中奪得亞軍
1019,5枚銅牌,在五個聯賽中奪得季軍
1020,第一賽季,第一賽季截止日期
1021,第三賽季,第三賽季截止日
1022,第五賽季,第五賽季截止日
1023,第十賽季,第十賽季截止日期
1024,每日 6 項獎勵,今日 6 場比賽獎勵
1025,白銀段位成就,在多人對戰中取得銀段位
1026,黃金段位成就,取得 多人模式 金牌段位
1027,白金段位成就,達成多人對戰白金段位
1028,鑽石段位成就,達成多人對戰鑽石段位
1029,大師段位成就,獲得 多人模式 大師 段位
1030,挑戰者成就,取得多人對戰挑戰者段位
1031,每日對局上限,每日可獲得精華的比賽次數
