ID,Dec
1000000,在第 18賽季中擊敗所有 LCK 球隊。
1000001,在第 19 赛季春季赛中击败所有 LCK（KR 联赛）队伍。
1000002,在 2019 年夏季賽中徹底擊潰所有 KR League 球隊。
1000003,擊敗所有 Multi Match 第19賽季前十名隊伍。
1000004,在 2020 春季賽中擊敗所有 KR League 隊伍。
1000005,在2020春季賽中擊敗所有EU聯盟隊伍。
1000006,在 2020 春季賽中擊敗所有北美聯盟隊伍。
1000007,在 2020 夏季賽中擊敗所有 LCK 隊伍。
1000008,在 2020 夏季賽季擊敗所有 EU 聯賽隊伍。
1000009,在 2020 夏季賽季中擊敗所有北美 LCS 球隊。
1000010,擊敗所有 Multi Match 20 賽季前十的隊伍。
1000011,在 2021 年春季賽中擊敗所有 KR 聯賽隊伍。
1000012,在 2021 春季賽季擊敗所有 EU LEC 隊伍。
1000013,在 2021 春季賽中擊敗所有 NA 聯賽球隊。
1000014,擊敗所有 Multi Match 21‑1 賽季的前十名隊伍。
1000015,擊敗全部 Multi Match 21‑2 賽季前十的隊伍。
1000016,在 21 春季賽 中擊敗所有 CN 聯賽隊伍。
1000017,在 2021 夏季賽季中擊敗所有 LCK 隊伍。
1000018,在 2021 年夏季賽季擊敗所有 EU 聯賽隊伍。
1000019,在 2021 年夏季賽中擊敗所有北美聯盟隊伍。
1000020,在2021夏季賽季擊敗所有中國聯賽隊伍。
1000021,擊敗所有 Multi Match 21‑3 賽季前十名隊伍。
1000022,擊敗所有 Multi Match 22‑1 賽季前十名隊伍。
1000023,在 2022 春季賽中擊敗所有 LCK 球隊。
1000024,在 2022 年春季賽中擊敗所有 EU 隊伍。
1000025,在 2022 年春季賽中擊敗所有 NA 聯賽隊伍。
1000026,擊敗所有 Multi Match 22‑2 賽季 Top10 隊伍。
1000027,擊敗全部 Multi Match 22‑3 賽季前十名隊伍。
1000028,擊敗所有 Multi Match 22‑4 賽季前十名隊伍。
1000029,在 2022 年夏季賽季擊敗所有 KR 聯賽隊伍。
1000030,在2022年夏季賽季中擊敗所有EU聯賽隊伍。
1000031,在 22 夏季賽季中擊敗所有 NA LCS 球隊。
1000032,擊敗全部 Multi Match 23-1 賽季的前十名隊伍。
1000033,擊敗所有 Multi Match 23‑2 賽季前十名隊伍。
1000034,在 2023 春季賽中擊敗所有 KR League 隊伍。
1000035,在 2023 年春季賽季擊敗所有 EU 聯賽隊伍。
1000036,在 23 春季賽季中擊敗所有北美聯盟隊伍。
1000037,擊敗所有 Multi Match 23-3 賽季前十名的隊伍。
1000038,在 2023 夏季賽季中擊敗所有 LCK 隊伍。
1000039,在 2023 夏季賽中擊敗所有歐洲聯賽隊伍。
1000040,在 23 年夏季賽季中擊敗所有北美聯賽球隊。
1000041,擊敗所有 Multi Match 23-4 賽季前十名隊伍。
1000042,擊敗所有「Multi Match 24‑1」賽季前十名隊伍。
1000043,擊敗所有 Multi Match 24‑2 賽季前十隊伍。
1000044,在 2024 春季賽季中擊敗所有韓國 LCK 隊伍。
1000045,在 2024 春季賽季擊敗所有 EU League 隊伍。
1000046,在 2024 年春季賽季中擊敗所有 NA 聯賽球隊。
1000047,擊敗 Multi Match 24‑3 賽季的所有 Top10 隊伍。
1000048,在2024夏季賽季中擊敗所有 LCK 隊伍。
1000049,在 2024 夏季賽季中擊敗所有 EU 聯賽隊伍。
1000050,在 2024 夏季賽季擊敗所有北美聯賽隊伍。
1000051,擊敗全部 Multi Match 24‑4賽季的前十名隊伍。
1000052,擊敗所有 Multi Match 25‑1 賽季前十名隊伍。
1000053,擊敗 25‑2 賽季 Multi Match 前十名的全部隊伍。
1000054,在第 25 賽季春季賽中擊敗所有 LCK 隊伍。
1000055,在第 25 春季賽季中擊敗所有 EU 聯盟隊伍。
1000056,在第 25 賽季春季賽中擊敗全部 NA LCS 球隊。
