ID,Dec
10000,嗨，很高興認識你。
10001,在經理的支持下，他在LOL聯賽打造了一支全新戰隊。
10002,請先為你的隊伍命名。
10003,讓我們把 AAA 戰隊寫進歷史！
10004,這是聯盟的第一場比賽。
10005,在這裡，你可以看到比賽前本隊以及其他隊伍的資訊。
10006,目前的隊伍已經簽下了一名選手。
10007,但是要想贏，需要大量的玩家。
10008,在比賽開始前，先補上一名新人！
10009,點擊招募市場
10010,你可以在招募市場使用手中的精華來招募新選手。
10011,讓我們用現在掌握的精華，直接簽下新選手吧！
10012,按下 X1 招募按鈕。
10013,我們有新選手。
10014,隊伍仍然缺乏競爭力，快簽下更強的選手來提升競爭力吧。
10015,沒有足夠的精華來招募優秀選手。在此情況下，你可以透過贊助商取得整數。
10016,觀看所有贊助商的影片廣告以獲取獎勵。
10017,初始階段，贊助廣告特別為您準備了額外 50％的獎勵。
10018,點擊贊助廣告
10019,贊助商送來了一個整數，現在就用這個整數招募新選手！
10020,按下 X5 招募按鈕。
10021,我們迎來了新選手。
10022,現在就來挑戰一位新選手！
10023,按下「玩家管理」按鈕。
10024,在【玩家管理】中，你可以選擇候選玩家。
10025,按下「切換」按鈕來測試候選者。
10026,按下「替換」後，所選玩家將成為首發，而現有的玩家則會被提名為替補。
10027,此外，依照先發陣容的配置，可取得額外效果。
10028,按下按鈕
10029,您可以在此處找到有關 Tim Chemie 的資訊。
10030,透過搭配不同的化學屬性（如類型、陣容）即可讓你的隊伍更強大。
10031,按下 X 鍵退出。
10032,現在我們把沒上場的選手換成另一位。
10033,試著按下「重組」！
10034,在此可將四位候選者更換為新選手。
10035,暫時我已分配了四位選手，現在讓我們重新組合這些選手。
10036,按下「新增」按鈕。
10037,按下「新增」按鈕。
10038,按下「新增」按鈕。
10039,按下「新增」按鈕。
10040,把三位選手全部派上場。現在切換到新選手！
10041,您可以在徵召資訊中查看選手的能力資料。
10042,現在把選手抓起來。
10043,試著按下「重組」！
10044,這樣你就能以新選手取代目前的選手。
10045,好，現在就跟這批選手一起開打！
10046,按下匹配按鈕
10047,按下比賽進度按鈕。
10048,比賽已開始。
10049,讓我們信任選手，全程觀看比賽！
10050,就像這樣，當比賽結束後，你會獲得經驗與金幣。
10051,若超過每日對局上限，將無法取得藍色精華。
10052,按下「繼續」鍵以離開賽場。
10053,第一局結束。
10054,選手對於取勝至關重要，然而教練的戰術同樣不可或缺。
10055,按下「策略」按鈕。
10056,快速設定讓您輕鬆佈置關鍵戰術。
10057,平衡如今已成為基本戰術。
10058,來調整一下設定吧！
10059,點擊「Line」／「Manage」
