ID,Name,Dec
1000,Récompense de connexion quotidienne,Récompense de connexion du jour
1001,3 récompenses quotidiennes,Récompenses des 3 matchs d’aujourd’hui
1002,Support,Vous pouvez sponsoriser le développeur via Twonation.
1003,Analyse,"Veuillez vérifier, et nous vous récompenserons."
1004,Tutoriel terminé,Tutoriel complet
1005,Succès Rang Argent,Atteignez le rang Argent en mode multijoueur
1006,Succès de rang Or,Atteignez le rang Or en multijoueur
1007,Succès Rang Platine,Obtenez le rang Platine Multiplay
1008,Succès Rang Diamant,Atteindre le rang Diamant en Multijoueur
1009,Succès Rang Maître,Atteindre le rang Maître Multijoueur
1010,Succès Challenger,Atteignez le rang Challenger en multijoueur
1011,Champion de la Ligue,A décroché la première place de la ligue
1012,Médaille d'argent,A décroché la deuxième place de la ligue
1013,Médaille de bronze,A décroché la 3ᵉ place de la ligue
1014,3 champions,Remporter 3 titres de ligue
1015,3 médailles d’argent,A décroché la deuxième place dans trois ligues.
1016,3 médailles de bronze,A décroché la 3ᵉ place dans trois ligues.
1017,5 champions,Obtenez 5 titres de ligue
1018,5 médailles d’argent,Atteindre la deuxième place dans cinq ligues.
1019,5 médailles de bronze,Atteindre la troisième place dans cinq ligues.
1020,Première saison,Date butoir de la première saison
1021,Saison 3,Date limite de la saison 3
1022,5e saison,Date butoir de la 5ᵉ saison
1023,10e saison,Date butoir de la 10ᵉ saison
1024,6 récompenses quotidiennes,Récompenses des 6 parties d’aujourd’hui
1025,Succès de rang Argent,Atteignez le rang Argent en Multiplay
1026,Succès de rang Or,Atteignez le rang Or en multijoueur
1027,Succès du rang Platine,Atteindre le rang Platine Multijoueur
1028,Succès de rang Diamant,Atteignez le rang Diamant en Multijoueur
1029,Succès de rang Maître,Obtenez le rang Maître Multijoueur
1030,Succès Challenger,Atteignez le rang Challenger en multijoueur
1031,Limite quotidienne de parties,Nombre de parties quotidiennes où vous pouvez gagner de l’essence
