ID,Dec
1000000,Vaincre toutes les équipes de la KR League lors de la saison 18.
1000001,Vaincre toutes les équipes de la KR League durant la saison printemps 19.
1000002,Vainquez toutes les équipes de la KR League pendant le Summer Split 19.
1000003,Vaincre toutes les équipes du Top 10 de la saison Multi Match 19.
1000004,Vainquez toutes les équipes de la KR League lors du Spring Split 2020.
1000005,Vaincre toutes les équipes de la LEC au Spring Split 2020.
1000006,Vaincre toutes les équipes de la NA League lors du Spring Split de la saison 20.
1000007,Vainquez toutes les équipes de la KR League lors de la saison estivale 2020.
1000008,Battez toutes les équipes de la LEC Europe durant le Summer Split de la saison 20.
1000009,Vaincre toutes les équipes de la NA LCS lors de la saison estivale 2020.
1000010,Battez toutes les équipes du Top 10 de la saison Multi Match 20.
1000011,Battez toutes les équipes de la KR League lors de la saison printemps 2021.
1000012,Vaincre toutes les équipes de la LEC lors du Spring Split 2021.
1000013,Vaincre toutes les équipes de la NA League lors du Spring Split 2021.
1000014,Battez toutes les équipes Top 10 de la saison Multi Match 21‑1.
1000015,Vaincre toutes les équipes du Top 10 de la saison Multi Match 21‑2.
1000016,Vaincre toutes les équipes de la ligue chinoise lors de la saison printemps 2021.
1000017,Vaincre toutes les équipes de la KR League pendant la saison estivale 2021.
1000018,Vaincre toutes les équipes de la League EU pendant la saison d'été 2021.
1000019,Écrasez toutes les équipes de la NA League lors de la saison estivale 2021.
1000020,Vaincre toutes les équipes de la ligue chinoise lors de la saison estivale 2021.
1000021,Vaincre toutes les équipes du Top 10 de la saison Multi Match 21‑3.
1000022,Éliminez toutes les équipes du Top 10 de la saison Multi Match 22‑1.
1000023,Vaincre toutes les équipes de la KR League durant la saison printemps 2022.
1000024,Vaincre toutes les équipes de la LEC lors du Spring Split 2022.
1000025,Vaincre toutes les équipes de la LCS lors du Spring Split 2022.
1000026,Vaincre toutes les équipes du Top 10 de la saison Multi Match 22‑2.
1000027,Vaincre toutes les équipes du Top 10 de la saison Multi‑Match 22‑3.
1000028,Vaincre toutes les équipes du Top 10 de la saison Multi Match 22‑4.
1000029,Vaincre toutes les équipes de la KR League lors de la saison estivale 2022.
1000030,Vaincre toutes les équipes de la LEC durant la saison été 2022.
1000031,Vaincre toutes les équipes de la NA League durant la saison été 2022.
1000032,Éliminez toutes les équipes du Top 10 de la saison Multi Match 23‑1.
1000033,Vaincre toutes les équipes du Top 10 de la saison Multi Match 23‑2.
1000034,Vaincre toutes les équipes de la KR League lors de la saison printemps 2023.
1000035,Vaincre toutes les équipes de l’EU LEC lors de la saison printemps 2023.
1000036,Vaincre toutes les équipes de la NA League pendant la saison printemps 2023.
1000037,Battez toutes les équipes du Top 10 de la saison Multi Match 23‑3.
1000038,Vaincre toutes les équipes de la KR League pendant la saison estivale 2023.
1000039,Vaincre toutes les équipes de la LEC lors de la saison estivale 2023.
1000040,Écrasez toutes les équipes de la LCS NA lors de la saison estivale 2023.
1000041,Battez toutes les équipes du Top 10 de la saison Multi Match 23‑4.
1000042,Battez toutes les équipes du Top 10 de la saison Multi‑Match 24‑1.
1000043,Battez toutes les équipes du Top 10 de la saison Multi Match 24‑2.
1000044,Battez toutes les équipes de la KR League lors de la saison printemps 2024.
1000045,Vainquez toutes les équipes de l’EU LEC lors du Spring Split 2024.
1000046,Vaincre toutes les équipes de la NA League pendant la saison printemps 2024.
1000047,Battez toutes les équipes du Top 10 de la saison Multi Match 24‑3.
1000048,Vainquez toutes les équipes de la KR League durant la saison été 2024.
1000049,Vaincre toutes les équipes de la Ligue EU durant la saison été 2024.
1000050,Vaincre toutes les équipes de la NA League durant la saison d’été 2024.
1000051,Défaites toutes les équipes du Top 10 de la saison Multi Match 24‑4.
1000052,Vaincre toutes les équipes du Top 10 de la saison Multi Match 25‑1.
1000053,Vaincre toutes les équipes du Top 10 de la saison Multi Match 25‑2.
1000054,Écrasez toutes les équipes de la KR League lors de la saison Spring 25.
1000055,Vaincre toutes les équipes de l’EU League lors du Spring Split 25.
1000056,Vainquez toutes les équipes du LCS NA lors de la saison Spring 25.
