ID,Dec
10000,Salut. Content de te rencontrer.
10001,"Avec le soutien du manager, il a créé une nouvelle équipe dans la Ligue LoL."
10002,Veuillez d'abord nommer votre équipe.
10003,Faisons entrer l’AAA Team dans l’histoire.
10004,Voici le tout premier match de la ligue !
10005,"Ici, vous pouvez consulter les informations de notre équipe ainsi que celles des autres équipes avant le match."
10006,L’équipe actuelle a déjà un joueur inscrit.
10007,Il vous faut beaucoup de joueurs pour gagner.
10008,Recrutons un nouveau joueur avant le match !
10009,Accédez au marché du recrutement
10010,Vous pouvez recruter de nouveaux joueurs avec l’essence dont vous disposez sur le marché du recrutement.
10011,Engageons un nouveau joueur avec l’essence dont nous disposons actuellement.
10012,Appuyez sur le bouton Recrutement X1.
10013,Nous avons un nouveau joueur !
10014,L’équipe n’est toujours pas compétitive. Recrutons un meilleur joueur pour booster notre compétitivité.
10015,"Il n’y a pas assez d’essence pour recruter un bon joueur. Dans ce cas, vous pouvez obtenir un nombre entier grâce à un sponsor."
10016,Regardez toutes les vidéos publicitaires des sponsors pour gagner des récompenses.
10017,"Initialement, les publicités sponsorisées sont spécialement configurées pour offrir 50 % de récompenses supplémentaires."
10018,Publicité sponsorisée
10019,"Le sponsor nous a envoyé un entier. À présent, recréons un nouveau joueur avec cet entier."
10020,Appuyez sur le bouton Recrutement X5.
10021,Nous avons un nouveau joueur.
10022,"Alors, testons un nouveau joueur !"
10023,Appuyez sur le bouton **Gestion des joueurs**.
10024,"Dans la gestion des joueurs, vous pouvez sélectionner un joueur candidat."
10025,Appuyez sur le bouton **Échanger** pour tester le candidat.
10026,"En appuyant sur **Remplacer**, le joueur sélectionné devient titulaire et le joueur actuel est désigné comme remplaçant."
10027,"De plus, en fonction de la composition des champions de départ, des effets additionnels peuvent être obtenus."
10028,Appuyez sur le bouton
10029,Vous pouvez trouver des informations sur Tim Chemie ici.
10030,"Vous pouvez rendre votre équipe plus puissante en associant différentes synergies, telles que le type et la composition d'équipe."
10031,Appuyez sur X pour quitter.
10032,"Maintenant, remplaçons le joueur inutile par un autre."
10033,Essaie d'appuyer sur la recombinaison.
10034,"Ici, vous pouvez remplacer quatre candidats par de nouveaux joueurs."
10035,"Temporairement, j’ai assigné quatre joueurs. Recomposons ces joueurs."
10036,Appuyez sur le bouton **Ajouter**.
10037,Appuyez sur le bouton **Ajouter**.
10038,Appuyez sur le bouton **Ajouter**.
10039,Appuyez sur le bouton **Ajouter**.
10040,"Mettez les trois joueurs en place. Maintenant, passons à un nouveau joueur."
10041,Vous pouvez consulter les informations de capacité du joueur depuis les données de recrutement.
10042,"À présent, récupérez le joueur !"
10043,Essayez d’appuyer sur la recombinaison.
10044,"De cette façon, vous pouvez remplacer les joueurs existants par de nouveaux joueurs."
10045,"Maintenant, jouons avec ces joueurs."
10046,Appuyez sur le bouton « Match ».
10047,Appuyez sur le bouton de progression du jeu.
10048,La partie a commencé.
10049,Faisons confiance aux joueurs et suivons la partie.
10050,"Comme ceci, une fois la partie terminée, vous obtenez de l’expérience et de l’or."
10051,L’essence ne peut pas être obtenue si la limite quotidienne de matchs est dépassée.
10052,Appuyez sur le bouton **Continuer** pour quitter le stade.
10053,La première partie est terminée.
10054,"Les joueurs sont essentiels pour remporter la victoire, mais la stratégie du manager est tout aussi cruciale."
10055,Appuyez sur le bouton **Stratégie**.
10056,Le Quick Setup facilite la mise en place des stratégies clés.
10057,L’équilibrage est désormais la stratégie de base.
10058,Modifions les paramètres.
10059,Cliquez sur Ligne / Gérer.
10060,Le match de lane / opération est une stratégie qui conclut la partie en capitalisant sur les gains obtenus pendant le jeu en lane.
10061,Passons à une stratégie d’opération ligne par ligne.
10062,Appuyez sur le bouton Paramètres
10063,La stratégie de l’équipe a désormais changé avec le push de ligne.
10064,Cette configuration rapide facilite le changement de stratégie de votre équipe.
10065,Les réglages détaillés peuvent être configurés via les instructions et le pick‑ban.
10066,Testons maintenant notre stratégie.
10067,Appuyez sur le bouton « Match ».
10068,Voyons comment utiliser les items de match avant de lancer la partie.
10069,! Appuyez sur le bouton.
10070,On m’a dit qu’un objet offrant +10 % d’XP supplémentaire était offert.
10071,Veuillez vérifier l’utilisation.
10072,"Si vous cochez « Utiliser », l’objet correspondant sera utilisé lors des prochaines parties."
10073,"S’il y a plusieurs objets, cochez « Auto » pour les utiliser automatiquement."
10074,Les objets du même type ne peuvent pas être utilisés plusieurs fois.
10075,Appuyez sur X pour quitter.
10076,Passons maintenant aux stratégies et aux objets.
10077,Appuyez sur le bouton de progression du jeu.
10078,"Après ce match, le niveau du manager a augmenté."
10079,"À mesure que le niveau du manager augmente, vous recevez une essence supplémentaire comme celle‑ci."
10080,"Vous pouvez obtenir des essences supplémentaires grâce à votre niveau de manager, indépendamment du plafond quotidien de parties."
10081,Appuyez sur le bouton **« Continuer »** pour quitter le stade.
10082,Certains joueurs ont monté de niveau en gagnant de l'expérience lors de cette partie.
10083,Les joueurs qui gagnent un niveau peuvent augmenter leurs statistiques.
10084,Appuyez sur « Gestion des joueurs ».
10085,Les joueurs qui ont gagné un niveau affichent une icône en forme de flèche sur le niveau.
10086,Touchez le niveau du joueur pour augmenter les stats.
10087,"Ici, vous pouvez augmenter les stats de votre choix en dépensant des points."
10088,Vous pouvez augmenter le stat en tapant sur la flèche du stat souhaité.
10089,"Appuyez sur les statistiques souhaitées, puis sur Décision."
10090,Cela augmentera les capacités du joueur.
10091,Appuyez sur X pour quitter.
10092,Les athlètes peuvent devenir plus forts en montant de niveau et en s’améliorant ainsi.
10093,Renforçons le champion pour le rendre encore plus puissant.
10094,Appuyez sur le bouton **Renforcer**.
10095,Le renforcement rend le champion plus fort grâce au même joueur.
10096,"Cette fois, renforçons le joueur que je t’ai donné."
10097,Essayez d’appuyer sur le bouton ▼.
10098,"Appuyez sur le bouton pour replier la liste des titulaires.  
Appuyez sur le bouton pour afficher une version étendue de la liste des remplaçants."
10099,Essayez maintenant d’ajouter un joueur.
10100,Appuyez sur le bouton **Ajouter**.
10101,"Si un joueur est ajouté, seul ce même joueur est visible."
10102,Appuyez sur le bouton **Ajouter**.
10103,"À mesure que des joueurs s’ajoutent, vous pouvez voir le taux de réussite."
10104,La probabilité de succès est déterminée par la différence entre le niveau de renforcement et le niveau de renforcement.
10105,Appuyez sur le bouton **Renforcer**.
10106,"Si vous renforcez comme ça, le joueur de stuff disparaît."
10107,Ne pas le faire ne fait pas disparaître le joueur principal et n’entraîne pas la perte de sa classe.
10108,"Maintenant, effectuons le dernier contrôle des informations de la ligue."
10109,Appuyez sur le bouton **League**.
10110,Appuyez sur le bouton **Programme**.
10111,Vous pouvez consulter le calendrier de la ligue pour votre équipe ici.
10112,Appuyez sur le bouton Classement.
10113,"Ici, vous pouvez consulter le classement de la ligue."
10114,Appuyez sur le bouton Tournoi
10115,"Ici, vous pouvez consulter les play‑offs une fois la saison régulière terminée."
10116,W désigne le classement de qualification au Championnat du Monde.
