ID,Dec
1000000,Besiege alle Teams der KR‑Liga in Saison 18.
1000001,Besiege alle Teams der KR League im 19. Spring‑Split.
1000002,Besiege alle Teams der KR League in der Sommer‑Saison 19.
1000003,Besiege alle Top‑10‑Teams der Saison 19 von Multi Match.
1000004,Besiege alle Teams der KR‑League in der 20. Spring Season.
1000005,Besiege alle EU‑League‑Teams im 20. Spring Split.
1000006,Besiege alle NA‑League‑Teams im Spring Split 2020.
1000007,Besiege alle KR‑League‑Teams in der Sommersaison 2020.
1000008,Besiege alle EU‑League‑Teams in der 20. Sommersaison.
1000009,Besiege alle Teams der NA‑League in der Sommerseason 2020.
1000010,Besiege alle Top‑10‑Teams der Saison 20 im Multi‑Match.
1000011,Besiege alle Teams der KR‑Liga in der Spring Season 2021.
1000012,Besiege alle EU‑League‑Teams im Spring Split 2021.
1000013,Besiege alle NA‑League‑Teams im Spring Split 2021.
1000014,Besiege alle Top‑10‑Teams der Multi‑Match‑Saison 21‑1.
1000015,Alle Top‑10-Teams der Multi‑Match‑Saison 21‑2 besiegen.
1000016,Besiege alle CN‑League‑Teams im Spring Split 2021.
1000017,Besiege alle KR‑League‑Teams in der Sommersaison 2021.
1000018,Besiege alle EU‑League‑Teams in der Sommer‑Saison 2021.
1000019,Besiege alle NA‑Liga‑Teams in der Summer‑Season ’21.
1000020,Besiege alle Teams der CN League in der Sommer‑Saison 2021.
1000021,Besiege alle Top‑10‑Teams der Saison 21‑3 im Multi‑Match.
1000022,Besiege alle Top‑10‑Teams der Multi‑Match‑22‑1‑Saison.
1000023,Besiege alle Teams der KR‑League im Frühjahrssplit 2022.
1000024,Besiege alle EU‑League‑Teams im Spring Split 2022.
1000025,Besiege alle NA‑League‑Teams im Spring Split 2022.
1000026,Alle Top‑10‑Teams der Saison 22‑2 im Multi‑Match besiegen.
1000027,Besiege alle Top‑10‑Teams der Multi‑Match‑Saison 22‑3.
1000028,Besiege alle Top‑10‑Teams der Saison 22‑4 im Multimatch.
1000029,Besiege alle Teams der KR‑League in der Sommer‑Saison 2022.
1000030,Besiege alle EU‑League‑Teams in der Sommer‑Saison 2022.
1000031,Besiege alle NA‑League‑Teams im Summer Split 2022.
1000032,Besiege alle Top‑10‑Teams der Multi‑Match‑Saison 23‑1.
1000033,Besiege alle Top‑10‑Teams der Saison 23‑2 im Multi‑Match.
1000034,Besiege alle Teams der KR League im Spring Split 2023.
1000035,Besiege alle EU‑League‑Teams im Spring Split 2023.
1000036,Besiege alle NA‑League‑Teams im Spring Split 2023.
1000037,Besiege alle Top‑10‑Teams der Saison 23‑3 im Multi‑Match.
1000038,Besiege alle KR‑League‑Teams in der Sommer‑Season 2023.
1000039,Besiege alle EU‑League‑Teams in der Sommerseason 23.
1000040,Besiegt alle NA‑League‑Teams im Summer Split 2023.
1000041,Alle Top‑10‑Teams der Saison 23‑4 im Multi‑Match besiegen.
1000042,Besiege alle Top‑10‑Teams der Multi‑Match‑Saison 24‑1.
1000043,Besiege alle Top‑10‑Teams der Saison Multi Match 24‑2.
1000044,Besiege alle Teams der KR League im Spring‑Split 2024.
1000045,Besiege alle EU‑League‑Teams im Spring Split 2024.
1000046,Besiege alle NA‑League‑Teams im Spring Split 2024.
1000047,Besiege alle Top‑10‑Teams der Multi‑Match‑Saison 24‑3.
1000048,Besiege alle Teams der KR League in der Sommersaison 2024.
1000049,Besiege alle EU‑League‑Teams im Sommer‑Split 2024.
1000050,Besiege alle NA‑League-Teams im Summer Split 2024.
1000051,Besiege alle Top‑10‑Teams der Multi‑Match‑Saison 24‑4.
1000052,Besiege alle Multi‑Match‑25‑1‑Saison‑Top‑10‑Teams.
1000053,Besiege alle Multi‑Match 25‑2 Saison‑Top‑10‑Teams.
1000054,Besiege alle Teams der KR League im 25. Spring Split.
1000055,Besiege alle EU‑League‑Teams in der 25. Frühlingssaison.
1000056,Besiege alle NA‑League‑Teams in der Frühjahrssaison 25.
