ID,Dec
10000,"Hallo. Freut mich, dich kennenzulernen."
10001,Mit der Unterstützung des Managers gründete er ein neues Team in der LoL‑Liga.
10002,Bitte nenne zuerst dein Team.
10003,Lass uns das AAA‑Team in die Geschichte schreiben.
10004,Das ist das Eröffnungsspiel der Liga.
10005,Hier siehst du die Informationen zu unserem Team und den gegnerischen Teams vor dem Spiel.
10006,Das aktuelle Team hat bereits einen Spieler angemeldet.
10007,"Aber man braucht viele Spieler, um zu gewinnen."
10008,"Holen wir zunächst einen neuen Spieler, bevor das Match startet."
10009,Tippe auf den Rekrutierungsmarkt
10010,"Du kannst neue Spieler mit der Essenz, die du auf dem Rekrutierungs‑Markt hast, rekrutieren."
10011,Lasst uns jetzt mit der aktuellen Essenz einen neuen Spieler verpflichten!
10012,Drücke den X1‑Rekrutierungsbutton.
10013,Wir haben einen neuen Spieler.
10014,"Das Team ist noch nicht wettbewerbsfähig. Lass uns einen besseren Spieler verpflichten, um unsere Konkurrenzkraft zu stärken."
10015,"Es gibt nicht genug Essenz, um einen guten Spieler zu rekrutieren. In diesem Fall kannst du eine ganze Zahl über einen Sponsor erhalten."
10016,"Alle Sponsor‑Video‑Ads ansehen, um Belohnungen zu verdienen."
10017,"Zu Beginn ist Gesponserte Werbung speziell darauf ausgelegt, 50 % mehr Belohnungen zu erhalten."
10018,Gesponserte Werbung anklicken
10019,Der Sponsor hat uns eine Ganzzahl gesendet. Jetzt holen wir uns einen neuen Spieler mit dieser Zahl.
10020,Drücke den X5‑Rekrutierungs‑Button.
10021,Wir haben einen neuen Spieler.
10022,Jetzt probieren wir einen neuen Spieler aus.
10023,Klicke den Button „Spieler‑Verwaltung“.
10024,Im Spieler‑Management kannst du einen Kandidaten auswählen.
10025,"Drücke den Swap‑Button, um den Kandidaten zu testen."
10026,Durch Drücken von **„Ersetzen“** wird der ausgewählte Spieler zum Starter und der bisherige Spieler wird nominiert.
10027,Also} Je nach Zusammensetzung der Starter können zusätzliche Effekte erzielt werden.
10028,Drück den Button
