ID,Dec
1000000,सीज़न 18 में सभी KR लीग टीमों को पराजित करें।
1000001,19 वसंत सीज़न में सभी KR लीग टीमों को हराएँ।
1000002,19 गर्मी सीज़न में सभी KR लीग टीमों को पराजित करो।
1000003,Multi Match 19 सीजन की टॉप 10 टीमों को सभी पर काबू पाएं।
1000004,20 स्प्रिंग सीज़न में सभी KR लीग टीमों को पराजित करो।
1000005,20 वसंत सत्र में सभी ईयू लीग टीमों को पराजित करें।
1000006,20 स्प्रिंग सीज़न में सभी NA लीग टीमों को पराजित करो।
1000007,20 समर सीज़न में KR लीग की सभी टीमों को परास्त करें।
1000008,20 ग्रीष्मकालीन सत्र में सभी EU लीग टीमों को पराजित करें।
1000009,20वें समर सीज़न में सभी NA लीग टीमों को पराजित करें।
1000010,सभी मल्टी‑मैच 20 सीज़न के टॉप 10 टीमों को मात दें।
1000011,21 स्प्रिंग सीजन में सभी KR लीग टीमों को परास्त करें।
1000012,2021 स्प्रिंग सीज़न में सभी EU लीग टीमों को मात दो।
1000013,21 स्प्रिंग सीजन में सभी NA लीग टीमों को पराजित करो।
1000014,सभी मल्टी‑मैच 21‑1 सीजन के टॉप 10 टीमों को हराएँ।
1000015,Multi Match 21‑2 सीज़न की टॉप 10 टीमों को सबको परास्त करो।
1000016,21 स्प्रिंग सीज़न में सभी CN लीग टीमों को हराएँ।
1000017,21 समर सीज़न में KR लीग की सभी टीमों को पराजित करें।
1000018,21 ग्रीष्मकालीन सीज़न में सभी EU लीग टीमों को हराएँ।
1000019,21 के समर सीज़न में NA लीग की सभी टीमों को पराजित करें।
1000020,21 गर्मी सीजन में सभी CN लीग टीमों को मात दें।
1000021,सभी मल्टी मैच 21‑3 सीज़न की टॉप 10 टीमों को हराएँ।
1000022,Multi Match 22‑1 सीजन की टॉप 10 टीमों को सभी पराजित करो।
1000023,2022 की वसंत सत्र में सभी KR लीग टीमों को पराजित करें।
1000024,22 स्प्रिंग सीज़न में सभी ईयू लीग टीमों को पराजित करें।
1000025,2022 के स्प्रिंग सीज़न में सभी NA लीग टीमों को हराएँ।
1000026,Multi Match 22‑2 सीजन की टॉप 10 टीमों को सबको हरा दें।
1000027,सभी मल्टी‑मैच 22‑3 सीज़न के टॉप 10 टीमों को परास्त करो।
1000028,सभी मल्टी‑मैच 22‑4 सीजन के टॉप 10 टीमों को मात दें।
1000029,22 ग्रीष्म सीजन में सभी KR लीग टीमों को पराजित करें।
1000030,22 ग्रीष्मकालीन सीज़न में सभी EU लीग टीमों को मात दें।
1000031,22 ग्रीष्म सीजन में सभी एनए लीग टीमों को हराएँ।
1000032,Multi Match 23‑1 सीज़न की टॉप 10 टीमों को हराएँ।
1000033,Multi Match 23‑2 सीजन की टॉप 10 टीमों को सबको हराओ।
1000034,23 स्प्रिंग सीज़न में सभी KR लीग टीमों को हराएँ।
1000035,23 स्प्रिंग सीज़न में सभी EU लीग टीमों को हराएँ।
1000036,23 स्प्रिंग सीजन में सभी NA लीग टीमों को मात दें।
1000037,सभी मल्टी मैच 23‑3 सीजन की टॉप 10 टीमों को पराजित करो।
1000038,23 ग्रीष्म सीजन में सभी KR लीग टीमों को हराएँ।
1000039,23 ग्रीष्मकालीन सीजन में सभी यूरोपीय लीग टीमों को परास्त करो।
1000040,23 ग्रीष्मकालीन सीज़न में सभी NA लीग टीमों को डिफ़ेट करें।
1000041,सभी मल्टी‑मैच 23‑4 सीज़न टॉप 10 टीमों को हराएँ।
1000042,Multi Match 24‑1 सीज़न की टॉप 10 टीमों को परास्त करो।
1000043,Multi Match 24‑2 सीजन की टॉप 10 टीमों को सभी पर मात दें।
1000044,सभी KR लीग टीमों को 24 स्प्रिंग सीजन में हराएँ।
1000045,24 वसंत सीजन में सभी EU लीग टीमों को पराजित करो।
1000046,24 वसंत सत्र में सभी NA लीग टीमों को मात दो।
1000047,सभी मल्टी मैच 24‑3 सीज़न की टॉप 10 टीमों को हराएँ।
1000048,24 ग्रीष्म सीज़न में सभी KR लीग टीमों को परास्त करें।
1000049,यूरोपीय लीग की सभी टीमों को 24वीं समर सीज़न में हराएँ।
1000050,24 ग्रीष्मकालीन सत्र में सभी NA लीग टीमों को मात दो।
1000051,सभी मल्टी‑मैच 24‑4 सीजन की टॉप 10 टीमों को ध्वस्त करो!
1000052,सभी मल्टी मैच 25‑1 सीज़न की टॉप 10 टीमों को हराएँ।
1000053,सभी मल्टी‑मैच 25‑2 सीज़न के टॉप 10 टीमों को हराएँ।
1000054,स्प्रिंग सीज़न के 25वें राउंड में सभी कोरियाई लीग टीमों को हराओ।
1000055,25 वसंत सीज़न में सभी EU लीग टीमों को मात दें।
1000056,25 स्प्रिंग सीज़न में सभी NA लीग टीमों को मात दें।
