ID,Dec
10000,हाय! आपसे मिलकर बहुत ख़ुशी हुई।
10001,मैनेजर के समर्थन से उसने LOL लीग में एक नई टीम बनाई।
10002,सबसे पहले अपनी टीम का नाम बताइए।
10003,चलो AAA टीम को इतिहास बना दें!
10004,यह लीग का पहला मैच है।
10005,यहाँ आप मैच से पहले हमारी टीम और अन्य टीमों की जानकारी देख सकते हैं।
10006,वर्तमान टीम में पहले से ही एक खिलाड़ी साइन‑अप हो चुका है।
10007,लेकिन जीतने के लिए आपको बहुत सारे खिलाड़ियों की ज़रूरत है।
10008,"चलो, मैच से पहले एक नया प्लेयर लेकर आते हैं!"
10009,भर्ती बाजार को टैप करें
10010,आप अपने पास मौजूद इथेर्स का इस्तेमाल करके रिक्रूटिंग मार्केट में नए खिलाड़ी भर्ती कर सकते हैं।
10011,चलो अभी हमारे पास मौजूद एसेंस से एक नया खिलाड़ी साइन‑अप करें।
10012,X1 भर्ती बटन दबाएँ।
10013,हमारे पास एक नया खिलाड़ी है।
10014,टीम अभी भी प्रतिस्पर्धी स्तर पर नहीं पहुँची है। हमारी प्रतिस्पर्धा को ऊँचा करने के लिए चलो एक बेहतर खिलाड़ी को हायर करें।
10015,अच्छे खिलाड़ी को भर्ती करने के लिए पर्याप्त एसेंश नहीं है। ऐसे में आप स्पॉन्सर की मदद से पूरी संख्या प्राप्त कर सकते हैं।
10016,सभी प्रायोजकों के वीडियो विज्ञापनों को देखें और इनाम अर्जित करें।
10017,"शुरुआत में, स्पॉन्सर किए गए विज्ञापन विशेष रूप से 50% अधिक इनाम पाने के लिए तैयार किए गए हैं।"
10018,प्रायोजित विज्ञापन दबाएँ
10019,"स्पॉन्सर ने हमें एक इंटीज़र भेजा है। चलो, इस इंटीज़र से नया खिलाड़ी बनाएँ!"
10020,X5 भर्ती बटन दबाएँ।
10021,हमारी टीम में एक नया खिलाड़ी आया है।
10022,अब चलिए एक नए खिलाड़ी को आज़माते हैं।
10023,प्लेयर मैनेजमेंट बटन दबाएँ।
10024,प्लेयर मैनेजमेंट में आप एक कैंडिडेट प्लेयर चुन सकते हैं।
10025,स्वैप बटन दबाकर उम्मीदवार को आज़माएँ।
10026,रिप्लेस बटन दबाने से चयनित खिलाड़ी स्टार्टिंग प्लेयर बन जाएगा और मौजूदा खिलाड़ी को नॉमिनेट किया जाएगा।
10027,"इसके अलावा, प्रारंभिक कंपोज़िशन के अनुसार अतिरिक्त इफ़ेक्ट्स प्राप्त किए जा सकते हैं।"
10028,बटन दबाएँ!
10029,आप यहाँ टिम चेमी के बारे में जानकारी पा सकते हैं।
10030,आप विभिन्न प्रकार की केमिस्ट्रियों—जैसे चैम्पियन टाइप और टीम कॉम्बो—को मैच करके अपनी टीम को और भी ताकतवर बना सकते हैं।
10031,X दबाकर बाहर निकलें।
10032,अब चलिए उस अनावश्यक खिलाड़ी को दूसरे खिलाड़ी में बदलते हैं।
10033,रीकोम्बिनेशन को दबाने की कोशिश करो!
10034,यहाँ आप चार उम्मीदवारों को नए खिलाड़ियों से बदल सकते हैं।
10035,अस्थायी रूप से मैंने चार खिलाड़ियों को दिया था। चलिए इन खिलाड़ियों को फिर से मिलाते हैं।
10036,Add बटन दबाएँ।
10037,Add बटन दबाएँ।
10038,Add बटन दबाएँ।
10039,Add बटन दबाएँ।
10040,तीनों खिलाड़ियों को सेट करें। अब चलिए नए खिलाड़ी पर स्विच करते हैं।
10041,आप खिलाड़ी की क्षमताओं की जानकारी भर्ती विवरण से देख सकते हैं।
10042,अब खिलाड़ी को पकड़ो!
10043,रीकोम्बिनेशन दबाने की कोशिश करो।
10044,इस तरह आप मौजूदा खिलाड़ियों को नए खिलाड़ियों से बदल सकते हैं।
10045,अब चलिए इन खिलाड़ियों के साथ मैच शुरू करते हैं।
10046,मैच बटन दबाएँ
10047,गेम प्रगति बटन दबाएँ।
10048,खेल शुरू हो गया है।
10049,चलो खिलाड़ियों पर भरोसा करके मैच देखें!
10050,"जैसे ही खेल समाप्त होता है, आप अनुभव और इंटेजर्स प्राप्त कर सकते हैं।"
10051,यदि दैनिक मैच सीमा पार हो गई है तो एसेंस प्राप्त नहीं किया जा सकता।
10052,स्टेडियम से बाहर निकलने के लिए “कंटिन्यू” बटन दबाएँ।
10053,पहला गेम ख़त्म हो गया।
10054,"खिलाड़ी जीत के लिए अहम होते हैं, लेकिन मैनेजर की रणनीति भी उतनी ही महत्वपूर्ण है।"
10055,रणनीति बटन दबाएँ।
10056,क्विक सेटअप के साथ प्रमुख रणनीतियों को जल्दी और आसानी से सेट किया जा सकता है।
10057,बैलेंस अब बेसिक स्ट्रैटेजी बन गया है।
10058,चलो सेटिंग्स बदलते हैं।
10059,लाइन पर क्लिक करें / मैनेज करें
10060,लाइन मैच / ऑपरेशन वह रणनीति है जो लाइन मैच में प्राप्त हुए फ़ायदे को लागू करके गेम को समाप्त कर देती है।
10061,आइए रणनीति बदलकर लाइन‑टू‑लाइन ऑपरेशन अपनाते हैं।
10062,सेटिंग्स बटन दबाएँ
10063,टीम की रणनीति अब लाइन‑टु‑रन के साथ बदल गई है।
10064,यह तेज़ सेटअप आपकी टीम की रणनीति को आसानी से बदलने में मदद करता है।
10065,विस्तृत सेटिंग्स को निर्देशों तथा पिकवान के ज़रिए कॉन्फ़िगर किया जा सकता है।
10066,अब चलिए अपनी रणनीति को आज़माते हैं।
10067,मैच बटन दबाएँ
10068,चलो देखते हैं कि मैच शुरू करने से पहले मैच आइटम्स का उपयोग कैसे किया जाए।
10069,! बटन दबाएँ।
10070,मैंने सुना है कि एक 10% अतिरिक्त अनुभव (XP) वाला आइटम गिफ्ट के रूप में मिला।
10071,कृपया उपयोग की जाँच करें।
10072,"यदि आप “Use” को चुनते हैं, तो भविष्य के मैचों में संबंधित आइटम का उपयोग स्वचालित रूप से किया जाएगा।"
10073,"यदि कई वस्तुएँ हों, तो आप “ऑटो” विकल्प चुनकर उन्हें स्वचालित रूप से इस्तेमाल कर सकते हैं।"
10074,एक ही प्रकार की वस्तुओं को बार‑बार उपयोग नहीं किया जा सकता।
10075,बाहर निकलने के लिए X दबाएँ।
10076,अब चलिए रणनीतियों और आइटम्स को देखते हैं।
10077,गेम प्रगति बटन दबाएँ
10078,"इस मैच के बाद, मैनेजर का लेवल बढ़ गया है।"
10079,"जैसे ही मैनेजर लेवल बढ़ता है, आपको एक अतिरिक्त इज़ेंस मिलता है।"
10080,"आप मैनेज़र लेवल से अतिरिक्त एसेन्स प्राप्त कर सकते हैं, चाहे दैनिक मैच की सीमा कोई भी हो।"
10081,स्टेडियम से बाहर निकलने के लिये “जारी रखें” बटन दबाएँ।
10082,इस मैच में अनुभव हासिल करके कुछ खिलाड़ियों का लेवल अप हुआ है।
10083,लेवल‑अप करने वाले खिलाड़ी अपने आँकड़े बढ़ा सकते हैं।
10084,प्लेयर मैनेजमेंट दबाएँ।
10085,"जो खिलाड़ी लेवल अप कर चुके हैं, उनके लेवल के बगल में एक तीर चिह्न दिखता है।"
10086,खिलाड़ी के लेवल को टैप करके स्टैट्स बढ़ाएँ।
10087,यहाँ आप अपने वांछित स्टैट्स को पॉइंट्स द्वारा बढ़ा सकते हैं।
10088,आप वांछित स्टैट की तीर पर टैप करके उस आँकड़े को बढ़ा सकते हैं।
10089,अपनी इच्छित स्टैट्स पर टैप करें और डिसीजन पर टैप करें।
10090,यह खिलाड़ी की क्षमता को बढ़ा देगा।
10091,बाहर निकलने के लिए X दबाएँ।
10092,एथलीट्स को इस प्रकार लेवल‑अप और स्ट्रेंथन करके और अधिक ताकतवर बनाया जा सकता है।
10093,चलो खिलाड़ी को रिइंफ़ोर्स करके और मजबूत बनाते हैं।
10094,रीइनफ़ोर्स बटन दबाएँ।
10095,रिइन्फोर्समेंट एक ही खिलाड़ी के ज़रिए उसे और मजबूत बनाता है।
10096,इस बार } चलिए उस प्लेयर को स्ट्रॉन्ग बनाते हैं जो मैं आपको दिया था।
10097,▼ बटन दबाकर देखें।
10098,स्टार्टर्स सूची को बंद करने के लिए बटन दबाएँ। सब‑प्लेयरों की विस्तृत सूची देखने के लिए बटन दबाएँ।
10099,अब एक खिलाड़ी जोड़ने की कोशिश करें।
10100,Add बटन दबाएँ।
10101,"यदि किसी खिलाड़ी को जोड़ा जाता है, तो केवल वही खिलाड़ी दिखाई देता है।"
10102,Add बटन दबाएँ।
10103,"जैसे‑जैसे खिलाड़ियों को जोड़ते हैं, आप सफलता की संभावनाएँ देख पाएँगे।"
10104,सफलता की संभाव्यता को रिइन्फ़ोर्समेंट लेवल और रिइन्फ़ोर्समेंट लेवल के अंतर द्वारा निर्धारित किया जाता है।
10105,रिइन्फोर्स बटन दबाएँ।
10106,"यदि आप इस प्रकार रिइन्फ़ोर्स करते हैं, तो खिलाड़ी अचानक गायब हो जाता है।"
