ID,Name,Dec
1000,Hadiah Login Harian,Hadiah Login Harian
1001,3 hadiah harian,Hadiah 3 Pertandingan Hari Ini
1002,Support,Kamu dapat mensponsori pengembang lewat Twonation.
1003,Ulasan,"Silakan tinjau, dan kami akan memberi hadiah kepada Anda."
1004,Tutorial Selesai,Selesaikan Tutorial
1005,Prestasi Peringkat Perak,Capai Peringkat Silver di Multiplay
1006,Prestasi Peringkat Emas,Raih peringkat Gold di Multiplay
1007,Prestasi Peringkat Platinum,Raih Peringkat Platinum Multiplay
1008,Prestasi Peringkat Diamond,Raih Peringkat Diamond Multiplay
1009,Prestasi Peringkat Master,Capai Peringkat Master Multiplay
1010,Prestasi Challenger,Raih Peringkat Challenger Multiplay
1011,Champion Liga,Meraih posisi pertama di liga
1012,Medali Perak,Meraih posisi kedua di liga
1013,Medali Perunggu,Meraih posisi ketiga di liga
1014,3 champion,Raih 3 gelar liga
1015,3 medali perak,Meraih peringkat kedua di tiga liga
1016,3 medali perunggu,Meraih posisi ketiga di tiga liga
1017,5 Champion,Raih 5 gelar liga
1018,5 medali perak,Raih posisi kedua di lima liga.
1019,5 medali perunggu,Raih peringkat tiga di lima liga.
1020,Musim Pertama,Batas Waktu Musim Pertama
1021,Musim Ketiga,Batas Akhir Musim Ketiga
1022,Musim Kelima,Batas Waktu Musim Kelima
1023,Musim ke‑10,Deadline Musim ke‑10
1024,6 hadiah harian,Hadiah 6 Pertandingan Hari Ini
1025,Pencapaian Peringkat Silver,Raih Peringkat Silver Multiplay
1026,Prestasi Peringkat Emas,Raih Peringkat Emas Multiplay
1027,Pencapaian Peringkat Platinum,Capai Peringkat Platinum di Multiplay
1028,Pencapaian Peringkat Diamond,Raih Peringkat Diamond Multiplay
1029,Prestasi Peringkat Master,Raih Peringkat Master Multiplay
1030,Prestasi Challenger,Raih Peringkat Challenger di Multiplay
1031,Batas pertandingan harian,Jumlah pertandingan per hari yang memberikan Esensi.
