ID,Dec
1000000,Kalahkan semua tim KR League di Musim 18.
1000001,Kalahkan semua tim KR League di musim semi ke‑19.
1000002,Kalahkan semua tim KR League di musim panas ke‑19.
1000003,Kalahkan semua tim Top 10 Musim Multi Match 19.
1000004,Kalahkan semua tim KR League di Spring Split ke‑20.
1000005,Kalahkan semua tim EU League di Spring Split ke‑20.
1000006,Kalahkan semua tim NA League di Spring Split ke‑20.
1000007,Kalahkan semua tim KR League pada Season 20 Summer.
1000008,Kalahkan semua tim EU League pada musim panas ke‑20.
1000009,Kalahkan semua tim NA League pada musim panas ke‑20.
1000010,Kalahkan semua tim Top 10 Musim Multi Match 20.
1000011,Kalahkan semua tim KR League pada musim semi 2021.
1000012,Kalahkan semua tim EU League di Spring Split 2021.
1000013,Kalahkan semua tim NA League pada Spring Split 2021.
1000014,Kalahkan semua tim Top 10 Musim Multi‑Match 21‑1.
1000015,Kalahkan semua tim Top 10 Musim Multi Match 21‑2.
1000016,Kalahkan semua tim CN League di Musim Semi 2021.
1000017,Kalahkan semua tim KR League di Split Musim Panas 2021.
1000018,Kalahkan semua tim EU League pada musim panas 2021.
1000019,Kalahkan semua tim NA League pada Season Musim Panas 2021.
1000020,Kalahkan semua tim CN League pada musim panas 2021.
1000021,Kalahkan semua tim Top 10 Musim Multi Match 21‑3.
1000022,Kalahkan semua tim Top 10 Musim Multi Match 22‑1.
1000023,Kalahkan semua tim KR League di musim semi 2022.
1000024,Kalahkan semua tim EU League di Spring Split 2022.
1000025,Kalahkan semua tim NA League pada Spring Split 2022.
1000026,Kalahkan semua tim Top 10 Musim Multi Match 22‑2.
1000027,Kalahkan semua tim Top 10 Musim Multi Match 22‑3.
1000028,Kalahkan semua tim Top 10 musim Multi Match 22‑4.
1000029,Tumbangkan semua tim KR League pada musim panas 2022.
1000030,Kalahkan seluruh tim EU League pada Season Musim Panas 2022.
1000031,Kalahkan semua tim NA League pada Summer Split 2022.
1000032,Kalahkan semua tim Top 10 Musim Multi Match 23‑1.
1000033,Kalahkan semua tim Top 10 Musim Multi Match 23‑2.
1000034,Kalahkan semua tim KR League pada Spring Split 2023.
1000035,Kalihkan semua tim EU LEC di Spring Split 2023.
1000036,Kalahkan semua tim NA League di musim semi 2023.
1000037,Kalahkan semua tim Top 10 Musim Multi Match 23‑3.
1000038,Kalahkan semua tim KR League pada musim panas 2023.
1000039,Kalahkan semua tim EU League pada musim panas 2023.
1000040,Kalahkan seluruh tim NA League pada Season Musim Panas 2023.
1000041,Kalahkan semua tim Top 10 Musim 23‑4 Multi Match.
1000042,Kalahkan semua tim Top 10 Musim Multi Match 24‑1.
1000043,Kalahkan semua tim Top 10 Musim Multi Match 24‑2.
1000044,Kalahkan semua tim KR League di Spring Split ke‑24.
1000045,Kalahkan semua tim EU League di musim semi 2024.
1000046,Kalahkan semua tim NA League pada Spring Split ke‑24.
1000047,Kalahkan semua tim Top 10 Musim Multi Match 24‑3.
1000048,Kalahkan semua tim KR League pada musim panas ke‑24.
1000049,Kalahkan semua tim League EU di musim panas ke‑24.
1000050,Kalahkan semua tim NA League pada Summer Split ke‑24.
1000051,Kalahkan semua tim Top 10 Musim Multi Match 24‑4.
1000052,Kalahkan semua tim Top 10 musim Multi Match 25‑1.
1000053,Kalahkan semua tim Top 10 Musim Multi Match 25‑2.
1000054,Kalahkan semua tim KR League di Musim Semi ke‑25.
1000055,Kalahkan semua tim EU League di Spring Split ke‑25.
1000056,Kalahkan semua tim NA League di Spring Split ke‑25.
