ID,Dec
10000,Hai. Senang bertemu kamu.
10001,"Dengan dukungan manajer, ia membentuk tim baru di Liga LoL."
10002,Silakan beri nama tim Anda terlebih dahulu.
10003,Mari kita buat Tim AAA masuk ke dalam sejarah.
10004,Ini adalah pertandingan pertama liga.
10005,Di sini kamu dapat melihat informasi tentang tim kami serta tim‑tim lain sebelum pertandingan.
10006,Tim saat ini sudah memiliki pemain yang terdaftar.
10007,Tapi kamu membutuhkan banyak pemain untuk menang.
10008,Ayo dapatkan pemain baru dulu sebelum pertandingan.
10009,Ketuk pasar rekrutmen
10010,Anda dapat merekrut pemain baru menggunakan esensi yang Anda miliki di pasar rekrutmen.
10011,Mari rekrut pemain baru dengan esensi yang kita miliki saat ini.
10012,Tekan tombol Rekrut X1.
10013,Kita kedatangan pemain baru.
10014,Tim masih belum kompetitif. Ayo rekrut pemain yang lebih kuat untuk meningkatkan daya saing kami.
10015,"Tidak cukup esensi untuk merekrut pemain unggulan. Dalam hal ini, kamu bisa mendapatkan angka bulat penuh lewat sponsor."
10016,Tonton semua iklan video sponsor untuk memperoleh hadiah.
10017,"Awalnya, Iklan Sponsor disiapkan secara khusus untuk mendapatkan 50 % lebih banyak hadiah."
10018,Tekan Iklan Sponsor.
10019,"Sponsor mengirimkan sebuah integer kepada kami. Sekarang, mari kita rekrut pemain baru menggunakan integer tersebut."
10020,Tekan tombol Rekrutmen X5.
10021,Kita memiliki pemain baru.
10022,Sekarang mari kita coba pemain baru.
10023,Tekan tombol **Manajemen Pemain**.
10024,"Di **Manajemen Pemain**, Anda dapat memilih pemain kandidat."
10025,Tekan tombol **Swap** untuk mencoba kandidat.
10026,"Menekan “ganti” akan menjadikan pemain yang dipilih sebagai starter, sementara pemain yang saat ini berada di posisi tersebut akan dinominasikan."
10027,"Selain itu, tergantung pada komposisi starter, efek tambahan dapat diperoleh."
10028,Tekan tombol!
10029,Temukan info lengkap tentang Tim Chemie di sini.
10030,"Anda dapat memperkuat tim Anda dengan menggabungkan kimia yang berbeda, seperti tipe dan tim."
10031,Tekan X untuk keluar.
10032,Sekarang kita ganti pemain yang tidak diperlukan dengan pemain lain.
10033,Coba tekan rekombinasi.
10034,Di sini kamu dapat mengganti empat kandidat dengan pemain baru.
10035,"Sementara itu, saya memberikan empat pemain. Ayo kita gabungkan kembali pemain‑pemain ini."
10036,Tekan tombol **Tambah**.
10037,Tekan tombol **Tambah**.
10038,Tekan tombol **Tambah**.
10039,Tekan tombol **Tambah**.
10040,Masukkan ketiga pemain. Sekarang kita beralih ke pemain baru.
10041,Anda dapat memeriksa info kemampuan pemain melalui info perekrutan.
10042,Sekarang dapatkan pemainnya.
10043,Coba tekan Rekombinasi.
10044,"Dengan cara ini, kamu dapat menggantikan pemain yang ada dengan pemain baru."
10045,Sekarang mari kita mainkan bersama pemain-pemain ini.
10046,Tekan tombol “Match”.
10047,Tekan tombol progres permainan.
10048,Pertandingan telah dimulai.
10049,Yuk percayakan pada para pemain dan saksikan pertandingannya!
10050,Seperti ini} saat game berakhir} kamu dapat memperoleh EXP dan integer.
10051,Essence tidak dapat diperoleh jika batas pertandingan harian terlampaui.
10052,Tekan tombol Lanjut untuk keluar dari stadion.
10053,Game pertama telah selesai.
10054,"Pemain sangat penting untuk meraih kemenangan, namun strategi manajer juga tak kalah penting."
10055,Tekan tombol Strategi.
10056,Pengaturan Cepat memudahkan penyiapan strategi utama.
10057,Balance kini menjadi strategi dasar.
10058,Ayo ubah pengaturan.
10059,Klik pada Baris / Kelola.
10060,Line match / operation adalah strategi yang menutup permainan dengan memanfaatkan keuntungan yang terlihat pada line match.
10061,Ayo ubah strategi menjadi operasi lane‑to‑lane.
10062,Tekan tombol Pengaturan
10063,Strategi tim kini telah berubah dengan line‑to‑run.
10064,Pengaturan cepat ini memudahkanmu mengubah strategi tim.
10065,Pengaturan detail dapat diatur melalui instruksi dan pick‑ban.
10066,"Sekarang, mari kita uji strategi kita."
