ID,Dec
10000,Ciao. Piacere di conoscerti.
10001,"Con il supporto del manager, ha fondato una nuova squadra nella LOL League."
10002,Inserisci prima il nome del tuo team.
10003,Facciamo entrare il Team AAA nella storia.
10004,Questa è la prima partita della lega.
10005,Qui puoi visualizzare le informazioni della nostra squadra e delle altre squadre prima della partita.
10006,La squadra attuale ha già un giocatore registrato.
10007,Ma ti servono molti giocatori per vincere.
10008,Prima della partita facciamo entrare un nuovo giocatore.
10009,Accedi al mercato del reclutamento
10010,Puoi reclutare nuovi giocatori con l’essenza a tua disposizione nel mercato del reclutamento.
10011,Assumiamo un nuovo giocatore con l’essenza che abbiamo ora.
10012,Premi il pulsante Reclutamento X1.
10013,Abbiamo un nuovo giocatore.
10014,La squadra non è ancora competitiva. Assumiamo un giocatore migliore per incrementare la nostra competitività.
10015,"Non c’è abbastanza essenza per reclutare un buon giocatore. In questo caso, puoi ottenere un numero intero tramite uno sponsor."
10016,Guarda tutti gli spot video degli sponsor per ottenere ricompense.
10017,Inizialmente} Sponsored Ads è appositamente predisposto per ottenere il 50 % di ricompense in più.
10018,Premi Pubblicità Sponsorizzata.
10019,Lo sponsor ci ha inviato un numero intero. Adesso creiamo un nuovo giocatore usando questo valore.
10020,Premi il pulsante Reclutamento X5.
10021,Abbiamo un nuovo giocatore.
10022,Allora proviamo un nuovo giocatore.
10023,Premi il pulsante **Gestione giocatore**.
10024,Nella Gestione Giocatori puoi selezionare un giocatore candidato.
10025,Premi il pulsante **Scambia** per provare il candidato.
10026,Premere “Sostituisci” renderà il giocatore selezionato titolare e farà passare al ruolo di riserva il giocatore attuale.
10027,"Inoltre, a seconda della composizione dei campioni iniziali, si possono ottenere effetti aggiuntivi."
10028,Premi il pulsante
10029,Puoi trovare informazioni su Tim Chemie qui.
10030,"Puoi potenziare la tua squadra abbinando diverse sinergie, come il tipo e la composizione della squadra."
10031,Premi X per uscire.
10032,Ora sostituiamo il giocatore non necessario con un altro.
10033,Prova a premere la ricombinazione.
10034,Qui puoi sostituire quattro candidati con nuovi giocatori.
10035,Ho temporaneamente assegnato quattro giocatori. Ricombiniamo questi giocatori.
10036,Premi il pulsante **Aggiungi**.
10037,Premi il pulsante **Aggiungi**.
10038,Premi il pulsante **Aggiungi**.
10039,Premi il pulsante **Aggiungi**.
10040,Metti tutti e tre i giocatori. Ora cambiamo con un nuovo giocatore.
10041,Puoi consultare le informazioni sulle abilità del giocatore dalle informazioni di reclutamento.
10042,Adesso prendi il giocatore!
10043,Prova a premere la ricombinazione.
10044,In questo modo puoi sostituire i giocatori esistenti con nuovi giocatori.
10045,Ora giochiamo con questi giocatori.
10046,Premi il pulsante di matchmaking
10047,Premi il pulsante di avanzamento della partita.
10048,La partita è iniziata.
10049,Fidiamoci dei giocatori e guardiamo la partita.
10050,Come questo} quando la partita è finita} puoi guadagnare esperienza e punti.
10051,Non è possibile ottenere l’essenza se si supera il limite giornaliero di partite.
10052,Premi il pulsante **Continua** per uscire dallo stadio.
10053,La prima partita è finita.
10054,"I giocatori sono fondamentali per vincere, ma anche la strategia del manager conta molto."
10055,Premi il pulsante Strategia.
10056,Quick Setup rende facile impostare le strategie chiave.
10057,Il bilanciamento è ora la strategia di base.
10058,Andiamo a cambiare le impostazioni!
10059,Clicca su Linea / Gestisci
10060,Line match / operation è una strategia che conclude la partita sfruttando i vantaggi ottenuti nel match di corsia.
10061,Passiamo a una strategia di operazione riga‑per‑riga.
10062,Premi il pulsante Impostazioni
10063,La strategia della squadra è ora cambiata con il line‑to‑run.
10064,Questa configurazione veloce rende semplice cambiare la strategia del tuo team.
10065,Le impostazioni dettagliate possono essere configurate tramite le istruzioni e il pick‑van.
10066,Ora testiamo la nostra strategia.
10067,Premi il pulsante di ricerca partita
10068,Scopriamo come usare gli oggetti della partita prima di avviarla.
10069,! Premi il pulsante.
10070,Ho sentito parlare di un oggetto regalo che fornisce il 10 % di XP aggiuntivo.
10071,Controlla l’uso.
10072,"Se spunti “Usa”, utilizzerai l’oggetto corrispondente nelle prossime partite."
10073,"Se ci sono più oggetti, puoi attivare **Auto** per utilizzarli automaticamente."
10074,Non è possibile utilizzare più volte oggetti dello stesso tipo.
10075,Premi X per uscire.
10076,Adesso diamo un’occhiata alle strategie e agli item.
10077,Premi il pulsante di avanzamento della partita.
10078,"Dopo questa partita, il livello del manager è salito."
10079,"Man mano che il livello del manager sale, ottieni un’essenza extra così."
10080,"Puoi ottenere essenze extra dal livello manager, indipendentemente dal limite giornaliero di partite."
10081,Premi il pulsante “Continua” per uscire dallo stadio.
10082,Alcuni giocatori sono saliti di livello guadagnando esperienza in questa partita.
10083,I giocatori che salgono di livello possono incrementare le proprie statistiche.
10084,Premi Gestione Giocatore
10085,Gli atleti saliti di livello mostrano un’icona a freccia sul loro livello.
10086,Tocca il livello del giocatore per incrementare le statistiche.
10087,Qui puoi potenziare le statistiche che preferisci spendendo i punti.
10088,Puoi aumentare lo stat toccando la freccia dello stat desiderato.
10089,Tocca le statistiche desiderate e poi tocca Decisione.
10090,Questo aumenterà l'abilità del giocatore.
10091,Premi X per uscire.
10092,Gli atleti possono diventare più forti salendo di livello e potenziandosi in questo modo.
10093,Rendiamo il giocatore più forte con un rinforzo.
10094,Premi il pulsante **Rafforza**.
10095,Il rinforzo rende il campione più forte attraverso lo stesso campione.
10096,Questa volta rafforziamo il giocatore che ti ho dato.
10097,Prova a premere il pulsante ▼.
10098,"Premi il pulsante per comprimere la lista dei titolari.  
Premi il pulsante per visualizzare un elenco più ampio dei giocatori di riserva."
10099,Ora prova ad aggiungere un giocatore.
10100,Premi il pulsante **Aggiungi**.
10101,"Se un giocatore viene aggiunto, è visibile solo quello stesso giocatore."
10102,Premi il pulsante **Aggiungi**.
10103,"Man mano che vengono aggiunti i giocatori, puoi vedere la probabilità di successo."
10104,La probabilità di successo è determinata dalla differenza tra il livello di potenziamento e il livello di potenziamento.
10105,Premi il pulsante **Rafforza**.
10106,"Se lo rinforzi in questo modo, il giocatore sparisce."
10107,Il mancato rispetto di questa procedura non farà scomparire il giocatore principale né gli farà perdere la classe.
10108,Ora diamo un'ultima occhiata alle informazioni della lega.
10109,Premi il pulsante **League**.
10110,Premi il pulsante **Programma**.
10111,Puoi consultare il calendario della lega per il tuo team qui.
10112,Premi il pulsante Classifica.
10113,Qui puoi visualizzare la classifica della lega.
10114,Premi il pulsante Torneo
10115,Qui puoi controllare i playoff una volta terminata la stagione regolare.
10116,W è la classifica per accedere al Campionato del Mondo.
10117,Il Campionato Mondiale si tiene al termine della stagione regolare.
10118,Puoi sfidare le squadre top di altre leghe e guadagnare ricompense più alte.
10119,Premi il pulsante **Imposta**.
10120,Dove vuoi la Lega
10121,Puoi impostare il livello di difficoltà e avviare una nuova lega.
10122,"Selezionando una lega e la difficoltà, puoi visualizzare le ricompense modificate e l’abilità della squadra della lega."
10123,"Seleziona la tua lega e il livello di difficoltà, poi premi il pulsante **Inizia Nuova Lega**."
10124,Puoi avviare una nuova lega così.
10125,Ora è tutto pronto.
10126,Finalmente il manager ci ha inviato l’essenza.
10127,Facciamo vincere la AAA League!
