ID,Name,Dec
1000,デイリーログイン報酬,本日ログイン報酬
1001,デイリーボーナス 3つ,本日開催の3試合の報酬
1002,サポート,Twonation を通じて開発者をスポンサーできます。
1003,レビュー,レビューしてくれたら、報酬をプレゼントします。
1004,チュートリアル完了,チュートリアル完了
1005,シルバーランク達成,マルチプレイでシルバーランク達成
1006,ゴールドランク達成,マルチプレイでゴールドランクを獲得する
1007,プラチナランク達成,マルチプレイでプラチナランクを達成する
1008,ダイヤモンドランク達成,マルチプレイでダイヤモンドランクに到達する
1009,マスターランク実績,マルチプレイでマスターランクを獲得する
1010,チャレンジャー実績,マルチプレイでチャレンジャーランクに到達せよ！
1011,リーグチャンピオン,リーグで1位を獲得しました
1012,銀メダル,リーグで準優勝を達成した。
1013,ブロンズメダル,リーグで3位に入賞した。
1014,3名のチャンピオン,リーグタイトルを3回獲得する
1015,シルバーメダル3個,3つのリーグで2位に入賞しました。
1016,ブロンズメダル3枚,3つのリーグで3位に入賞した
1017,5名のチャンピオン,リーグタイトルを5つ達成する
1018,シルバーメダル5枚,5つのリーグで準優勝を達成する
1019,ブロンズメダル5枚,5つのリーグで3位入賞
1020,第1シーズン,シーズン1の締め切り
1021,シーズン3,シーズン3締切
1022,シーズン5,第5シーズン締め切り
1023,第10シーズン,第10シーズンデッドライン
1024,デイリー報酬 6​,本日の6試合報酬
1025,シルバーランク達成,マルチプレイでシルバーランクに到達する
1026,ゴールドランク達成,マルチプレイでゴールドランクへ到達せよ
1027,プラチナランク達成,マルチプレイでプラチナランクに到達する
1028,ダイヤモンドランク達成,マルチプレイ ダイヤモンドランク達成
1029,マスターランク実績,マルチプレイでマスターランクを達成
1030,チャレンジャー実績,マルチプレイでチャレンジャーランクを獲得する
1031,本日の試合上限,エッセンス取得可能な 1 日あたりの試合数
