ID,Dec
1000000,シーズン18で、すべてのKRリーグチームを撃破せよ。
1000001,第19スプリングシーズンでKRリーグの全チームを撃破せよ。
1000002,サマーシーズン19で、KRリーグの全チームを撃破せよ！
1000003,マルチマッチ19シーズンのトップ10チームを全て撃破せよ。
1000004,2020年春季シーズンで、全てのKRリーグチームを撃破せよ！
1000005,2020年春シーズンでEUリーグの全チームを撃破せよ。
1000006,2020年春シーズンでNAリーグの全チームを撃破せよ。
1000007,2020年サマーシーズンで、KRリーグの全チームを撃破せよ。
1000008,2020年夏シーズンでEUリーグの全チームを撃破せよ。
1000009,2020年サマーシーズンで、NAリーグの全チームを撃破せよ。
1000010,マルチマッチ20シーズンのトップ10チームを全員撃破せよ。
1000011,2021年春シーズン、KRリーグの全チームを撃破せよ。
1000012,2021年春シーズンでEUリーグの全チームを撃破せよ！
1000013,2021年春シーズンで、NA LCSの全チームを制圧せよ。
1000014,マルチマッチ 21‑1シーズンのトップ10チームを全て撃破せよ。
1000015,マルチマッチ21‑2シーズンのTop10チームをすべて撃破せよ。
1000016,2021年春シーズンでCNリーグの全チームを撃破せよ。
1000017,2021年サマーシーズンでKRリーグの全チームを撃破せよ。
1000018,2021年サマーシーズンでEUリーグの全チームを制覇せよ。
1000019,2021年サマーシーズンでNAリーグの全チームを撃破せよ。
1000020,2021年夏シーズンでCNリーグの全チームを撃破せよ。
1000021,マルチマッチ21‑3シーズンのトップ10チームを全て撃破せよ。
1000022,マルチマッチ 22‑1シーズンのトップ10チームをすべて撃破せよ。
1000023,2022年春シーズンの KR League 全チームを撃破せよ。
1000024,2022年春シーズン（スプリング・スプリット）でEUリーグの全チームを撃破せよ。
1000025,2022年春シーズンでNAリーグの全チームを撃破せよ。
1000026,マルチマッチ22‑2シーズンのトップ10チームをすべて撃破せよ。
1000027,マルチマッチ 22‑3シーズンのトップ10チームを全て撃破せよ。
1000028,マルチマッチ 22‑4 シーズンのトップ10チームを全て撃破せよ。
1000029,2022年夏シーズンでKRリーグの全チームを撃破せよ！
1000030,2022年夏季シーズンでEUリーグの全チームを撃破せよ。
1000031,2022年サマーシーズンで、NAリーグの全チームを撃破せよ。
1000032,マルチマッチ23‑1シーズンのトップ10チームをすべて撃破せよ。
1000033,マルチマッチ23‑2シーズンのTOP10チームをすべて撃破せよ。
1000034,2023年春シーズンでKRリーグの全チームを撃破せよ。
1000035,2023年春シーズン、EUリーグの全チームを制覇せよ。
1000036,2023年春シーズン、NAリーグの全チームを撃破せよ。
1000037,マルチマッチ23‑3シーズンのTop10チームを全て撃破せよ。
1000038,2023サマーシーズン、KRリーグ全チームを撃破せよ！
1000039,2023年夏シーズンでEUリーグの全チームを撃破せよ。
1000040,2023年夏季シーズンでNAリーグの全チームを撃破せよ。
1000041,マルチマッチ 23‑4シーズンのトップ10チームを全て撃破せよ。
1000042,マルチマッチ 24‑1シーズンのトップ10チームをすべて倒せ。
1000043,マルチマッチ 24‑2シーズンのTop10チームをすべて撃破せよ。
1000044,2024春シーズン、KRリーグの全チームを撃破せよ！
1000045,2024年スプリングシーズンでEUリーグの全チームを撃破せよ。
1000046,2024年スプリングシーズンで、NAリーグの全チームを撃破せよ。
1000047,マルチマッチ 24‑3シーズンのトップ10チームをすべて倒せ。
1000048,2024年夏シーズン、KRリーグの全チームを打ち破れ！
1000049,2024サマーシーズンでEUリーグ全チームを撃破せよ！
1000050,2024年サマーシーズンで、NAリーグの全チームを撃破せよ。
1000051,マルチマッチ24‑4シーズンのトップ10チームをすべて撃破せよ。
1000052,マルチマッチ 25‑1シーズンのトップ10チームを全て撃破せよ。
1000053,全てのマルチマッチ 25‑2シーズン・トップ10チームを撃破せよ。
1000054,第25スプリングスプリットで KR リーグの全チームを撃破せよ。
1000055,2025年春シーズンでEUリーグの全チームを撃破せよ。
1000056,2025年春シーズンで、NAリーグの全チームを撃破せよ。
