ID,Dec
10000,こんにちは。はじめまして。
10001,マネージャーの支援を受けて、彼はLOLリーグに新チームを結成した。
10002,まずはチーム名を入力してください。
10003,AAAチームを歴史に刻もう。
10004,これがリーグ初戦だ！
10005,試合前に、こちらで自チームと他チームの情報をご確認いただけます。
10006,現在のチームにはすでにプレイヤーが登録済みです。
10007,しかし、勝つには多数のプレイヤーが必要だ。
10008,試合前にまず新人プレイヤーを確保しよう。
10009,リクルートマーケットをタップ
10010,リクルートマーケットで所持しているエッセンスを使い、新しいプレイヤーを募集できます。
10011,現在のエッセンスで新規プレイヤーを獲得しよう。
10012,X1リクルートボタンを押せ。
10013,新規プレイヤーが参戦！
10014,チームはまだ戦力が足りていない。もっと強力なプレイヤーを獲得して、戦力を上げよう。
10015,十分なエッセンスがなくて、優秀なプレイヤーをリクルートできません。この場合はスポンサーから全額資金を獲得できます。
10016,すべてのスポンサーのビデオ広告を視聴して、報酬を獲得しよう。
10017,【初期】スポンサー広告は、特別に報酬が50％増加するよう設定されています。
10018,スポンサー広告を見る
10019,スポンサーから整数が送られてきました。さあ、その整数で新規プレイヤーを獲得しましょう！
10020,X5リクルートボタンを押せ。
10021,新たなプレイヤーが加わった。
10022,さぁ、新しいプレイヤーで挑戦しよう。
10023,プレイヤー管理ボタンを押してください。
10024,「プレイヤー管理」画面で、候補プレイヤーを選択できます。
10025,候補を試すには、スワップボタンを押してください。
10026,「置き換え」を押すと、選択したプレイヤーがスターティングメンバーになり、既存のプレイヤーはベンチに指名されます。
10027,また、スターターの編成に応じて追加効果を取得できる。
10028,ボタンを押せ！
10029,こちらでティム・チェミーに関する情報をご覧いただけます。
10030,タイプやチームなどのさまざまなシナジーを組み合わせることで、チームを強化できます。
10031,X キーを押してゲームから退出。
10032,では、不要なプレイヤーを別のプレイヤーに入れ替えよう。
10033,リコンビネーションを押してみて。
10034,ここでは、4名の候補選手を新規プレイヤーに入れ替えることができます。
10035,一時的に4名のプレイヤーを配分した。さあ、これらのプレイヤーを再編成しよう。
10036,Add ボタンを押せ。
10037,Add ボタンを押せ。
10038,Add ボタンを押せ。
10039,Add ボタンを押せ。
10040,全員３名を配置せよ。さあ、次は新たなプレイヤーにチェンジだ。
10041,募集情報から選手の能力情報を確認できます。
10042,さあ、選手を確保しろ。
10043,リコンビネーションを押してみよう。
10044,この方法で既存のプレイヤーを新しいプレイヤーに入れ替えることができます。
10045,さぁ、こちらのプレイヤーたちと対戦しよう！
10046,マッチングボタンを押せ。
10047,ゲーム進行ボタンを押せ！
10048,試合が開始された！
10049,プレイヤーを信頼して、試合を観戦しよう！
10050,このように} ゲームが終了したら} 経験値と整数を獲得できる。
10051,デイリーマッチ上限を超えると、エッセンスは入手できません。
10052,スタジアムから退出するには、【続行】ボタンを押してください。
10053,第1ゲームが終了した。
10054,選手は勝利に不可欠だが、マネージャーの戦略も同様に重要だ。
10055,戦略ボタンを押す
10056,クイックセットアップを使えば、主要戦術の設定が簡単に行えます。
10057,バランスが今や基本戦略だ。
10058,設定を変更しよう！
10059,ライン / 管理 をクリック。
10060,ラインマッチ／オペレーションは、レーンマッチで得たアドバンテージを活かしてゲームを決める戦略です。
10061,ライン間オペレーションへ戦術を変更しよう！
10062,設定ボタンを押してください
10063,チームの戦略は現在、ライン・ツー・ランへと切り替わった。
10064,このクイック設定なら、チームの戦術をサッと切り替えられる。
10065,詳細設定は、説明書とピックバンで行うことができます。
10066,さぁ、作戦をテストしよう！
10067,マッチボタンを押せ！
10068,試合に入る前に、マッチアイテムの使用方法を確認しよう。
10069,! ボタンを押せ！
10070,10％追加経験値アイテムをギフトで受け取ったらしい。
10071,使用状況をご確認ください。
