ID,Name,Dec
1000,Hadiah login harian,Hadiah Login Dina Iki
1001,3 hadiah harian,Hadiah 3 Pertandingan dina iki
1002,Support,Sampeyan bisa nyponsor pangembang liwat Twonation.
1003,Tinjauan,"Monggo direview, kami bakal ngganjar kowe."
1004,Tutorial Rampung,Rampungaké Tutorial
1005,Prestasi Peringkat Perak,Raih peringkat Silver Multiplay
1006,Prestasi peringkat Gold,Entuk peringkat Gold Multiplay
1007,Prestasi Peringkat Platinum,Raih Peringkat Platinum Multiplay
1008,Prestasi Peringkat Diamond,Raih Peringkat Diamond Multiplay
1009,Prestasi Peringkat Master,Raih Peringkat Master Multiplay
1010,Prestasi Challenger,Nggayuh Peringkat Challenger Multiplay
1011,Juara Liga,Ngraih juara 1 ing liga
1012,Medali Perak,Sukses ngrebut posisi kaping loro ing liga
1013,Medali Perunggu,Entuk posisi katelu ing liga.
1014,3 champion,Raih 3 gelar liga
1015,3 medali perak,Ngraih peringkat kaloro ing telung liga
1016,3 medali perunggu,Entuk peringkat katelu ing telung liga.
1017,5 champion,Entuk 5 gelar liga
1018,5 medali perak,Entuk peringkat kaping loro ing limang liga.
1019,5 medali perunggu,Raih pangkat katelu ing limang liga
1020,Musim Pertama,Wates Wektu Musim Kapisan
1021,Musim Katelu,Wates Wektu Musim Katelu
1022,Musim Kelima,Deadline Musim Kaping Lima
1023,Musim Sepuluh,Deadline Musim ke‑10
1024,6 hadiah saben dina,Hadiah 6 Pertandingan Dina Iki
1025,Prestasi Peringkat Silver,Entuk Peringkat Silver Multiplay
1026,Prestasi Peringkat Emas,Raih peringkat Gold Multiplay
1027,Prestasi Peringkat Platinum,Raih Peringkat Platinum Multiplay
1028,Pencapaian peringkat Diamond,Entuk Peringkat Diamond Multiplay
1029,Pencapaian Peringkat Master,Raih Peringkat Master Multiplay
1030,Prestasi Challenger,Raih Peringkat Challenger Multiplay
1031,Bates Pertandingan Harian,Cacah pertandhingan saben dina sing bisa ngasilaké esensi.
