ID,Dec
1000000,Ngalahaké kabèh tim KR League ing mangsa kaping 18.
1000001,Tundhukna kabeh tim KR League ing Musim Semi ke‑19.
1000002,Ngalahaké kabèh tim KR League ing mangsa panas ke-19.
1000003,Kalahaké kabèh tim Top 10 Musim Multi Match 19.
1000004,Kalahaké kabèh tim KR League ing Musim Semi kaping‑20.
1000005,Ngalahaké kabèh tim EU League ing musiman semi kaping 20.
1000006,Kalahaké kabeh tim NA League ing Musim Semi kaping 20.
1000007,Ngalahaké kabèh tim KR League ing mangsa panas kaping 20.
1000008,Ngalahaké kabeh tim EU League ing musim panas kaping 20.
1000009,Ngalahaké kabèh tim Liga NA ing mangsa panas kaping 20.
1000010,Kalahaké kabèh tim Top 10 Musim Multi Match 20.
1000011,Ngalahaké kabèh tim KR League ing musím semi 2021.
1000012,Nglumpukaké kamenangan nglawan kabèh tim EU League ing Musim Semi 2021.
1000013,Ngalahaké kabèh tim NA ing Spring Split 2021.
1000014,Kalahaké kabeh tim Top 10 Musim Multi Match 21‑1.
1000015,Kalahaké kabèh tim Top 10 Musim Multi Match 21‑2.
1000016,Ngalahaké kabeh tim CN League ing musim semi 21.
1000017,Ngalahaké kabèh tim KR League ing mangsa panas 2021.
1000018,Ngalahaké kabèh tim EU League ing Musim Panas 21.
1000019,Ngalahake kabeh tim League NA ing mangsa panas 21.
1000020,Kalahaké kabeh tim Liga CN ing mangsa panas 2021.
1000021,Ngalahake kabeh tim Top 10 Musim Multi Match 21‑3.
1000022,Ngalahaké kabéh tim Multi Match 22‑1 Season Top10.
1000023,Ngalahaké kabèh tim KR League ing musím semi 22.
1000024,Ngalahaké kabéh tim EU League ing musimmu Musim Semi 22.
1000025,Kalahaké kabèh tim NA League ing Musim Semi 2022!
1000026,Kalahaké kabèh tim Top 10 Musim 22‑2 Multi Match.
1000027,Ngalahaké kabéh tim Multi Match 22‑3 Season Top10.
1000028,Kalahaké kabèh tim Top 10 Musim 22‑4 Multi Match.
1000029,Ngalahaké kabèh tim KR League ing musim panas 2022.
1000030,Kalahaké kabèh tim EU League ing Musim Panas 2022.
1000031,Kalahaké kabèh tim Liga NA ing musim panas 2022.
1000032,Kalahaké kabèh tim Top 10 Musim Multi Match 23‑1.
1000033,Kalahaké kabèh tim Top 10 Musim Multi Match 23‑2.
1000034,Kalahaké kabèh tim KR League ing musim semi 23.
1000035,Kalahaké kabeh tim EU League ing musim semi 23.
1000036,Ngalahaké kabèh tim NA League ing Musim Semi 23.
1000037,Ngalahaké kabèh tim Top 10 Musim Multi Match 23‑3.
1000038,Kalahaké kabéh tim KR League ing Musim Panas 23.
1000039,Kalahaké kabèh tim EU League ing musím panas 2023.
1000040,Kalahaké kabèh tim NA League ing musím panas 2023.
1000041,Kalahaké kabèh tim Top 10 Musim Multi Match 23‑4.
1000042,Kalahaké kabèh tim Top 10 Musim Multi Match 24‑1.
1000043,Kalahaké kabeh tim Top 10 Musim Multi Match 24‑2.
1000044,Ngalahaké kabèh tim KR League ing Musim Semi ke‑24.
1000045,Ngalahaké kabèh tim EU League ing Musim Semi 24.
1000046,Ngalahaké kabéh tim Liga NA ing musim semi kaping 24.
1000047,Ngalahaké kabèh tim Top 10 Musim Multi Match 24‑3.
1000048,Kalahaké kabèh tim KR League ing musiman panas kaping 24.
1000049,Ngalahaké kabèh tim EU League ing Musim Panas ke‑24.
1000050,Ngalahaké kabèh tim NA League ing Musim Panas ke‑24.
1000051,Kalahaké kabèh tim Top 10 Musim 24‑4 ing Multi Match.
1000052,Kalahaké kabèh tim Top 10 Musim Multi Match 25‑1.
1000053,Ngalahaké kabeh tim Top 10 Musim Multi Match 25‑2.
1000054,Ngalahaké kabèh tim KR League ing Musim Semi kaping 25.
1000055,Kalahaké kabèh tim Liga EU ing mangsa spring kaping‑25.
1000056,Ngalahaké kabèh tim NA League ing Musim Semi ke‑25.
