ID,Dec
10000,Halo. Seneng ketemu kowe.
10001,"Kanthi dhukungan manajer, dhèwèké ngedegaké tim anyar ing Liga LOL."
10002,Mangga tulis jeneng timmu dhisik.
10003,Ayo gawe Tim AAA mlebu ing sajarah!
10004,Iki pertandingan pisanan ing liga.
10005,Kéné kowé bisa ndelok informasi tim kita lan tim‑tim liyané sadurungé pertandingan.
10006,Tim saiki wis nduwé pemain sing wis ndhaftar.
10007,Nanging kowé kudu akèh pemain supaya bisa menang.
10008,Ayo entuk pemain anyar dhisik sadurunge pertandhingan.
10009,Pencet pasar rekrutmen
10010,Kowe bisa nrekrut pemain anyar nganggo esensi sing kowe duwé ing pasar rekrutan.
10011,Ayo rekrut pemain anyar nganggo esensi sing kita duwé saiki.
10012,Pencet tombol Rekrutmen X1.
10013,Kita duwe pemain anyar.
10014,Tim iki isih ora kompetitif. Ayo rekrut pemain sing luwih apik supaya nambah daya saing tim.
10015,"Ora cukup esensi kanggo ngrekrut pemain sing apik. Ing kasus iki, sampeyan bisa entuk angka bulat nganggo sponsor."
10016,Delengen kabeh iklan video sponsor kanggo entuk hadiah.
10017,"Awalé, Iklan Sponsor wis dipersiapaké sacara khusus supaya nampa hadiah 50 % luwih akèh."
10018,Pencet Iklan Sponsor.
10019,Sponsor ngirimaké integer. Saiki ayo nggawe pemain anyar nganggo integer kuwi.
10020,Pencet tombol Rekrut X5.
10021,Kita duwe pemain anyar.
10022,"Saiki, ayo nyoba pemain anyar."
10023,Pencet tombol Manajemen Pemain.
10024,"Ing Manajemen Pemain, sampeyan bisa milih pemain calon."
10025,Pencet tombol **Swap** kanggo nyoba kandidat.
10026,Pencet ganti bakal ndadekake pemain sing dipilih dadi starter lan pemain saiki bakal di-nominasi.
10027,"Uga, gumantung saka komposisi starter, efek tambahan bisa dipikolehi."
10028,Pencet tombol
10029,Sampeyan bisa nemokake informasi babagan Tim Chemie ing kéné.
10030,"Sampeyan bisa nguwatké tim kanthi nyocokaké kimia sing béda, kayata jinis lan tim."
10031,Pencet X kanggo metu.
10032,Saiki ayo ngganti pemain sing ora dibutuhaké karo pemain liya.
10033,Coba pencet recombinasi!
10034,Ing kéné kowe bisa ngganti papat calon nganggo pemain anyar.
