ID,Name,Dec
1000,Ganjaran Log Masuk Harian,Ganjaran Log Masuk Hari Ini
1001,3 ganjaran harian,Ganjaran 3 Perlawanan Hari Ini
1002,Support,Anda boleh menaja pemaju melalui Twonation.
1003,Ulasan,Sila beri ulasan dan kami akan memberi ganjaran kepada anda.
1004,Tutorial Selesai,Lengkapkan Tutorial
1005,Pencapaian Peringkat Perak,Capai pangkat Silver dalam Multiplay
1006,Pencapaian Kedudukan Emas,Capai Kedudukan Gold Multiplay
1007,Pencapaian Peringkat Platinum,Capai Peringkat Platinum Multiplay
1008,Pencapaian Peringkat Berlian,Capai Peringkat Berlian Multiplay
1009,Pencapaian Kedudukan Master,Capai Peringkat Master Multiplay
1010,Pencapaian Challenger,Capai Peringkat Challenger Multiplay
1011,Juara Liga,Berjaya menempati kedudukan pertama dalam liga
1012,Pingat Perak,Mencapai tempat kedua dalam liga
1013,Pingat Gangsa,Mencapai tempat ketiga dalam liga
1014,3 champion,Capai 3 tajuk liga
1015,3 pingat perak,Mencapai kedudukan kedua dalam tiga liga
1016,3 pingat gangsa,Mendapatkan tempat ketiga dalam tiga liga
1017,5 champion,Raih 5 gelaran Liga
1018,5 pingat perak,Raih tempat kedua dalam lima liga
1019,5 pingat gangsa,Capai kedudukan ketiga dalam lima liga
1020,Musim Pertama,Tarikh Akhir Musim Pertama
1021,Musim Ketiga,Tarikh Akhir Musim Ketiga
1022,Musim Kelima,Tarikh Akhir Musim Kelima
1023,Musim Kesepuluh,Tarikh Akhir Musim ke‑10
1024,6 ganjaran harian,Ganjaran 6 Perlawanan Hari Ini
1025,Pencapaian Pangkat Perak,Raih Peringkat Perak Multiplay
1026,Pencapaian Peringkat Emas,Capai Kedudukan Emas Multiplay
1027,Pencapaian Peringkat Platina,Capai Peringkat Platinum Multiplay
1028,Pencapaian Rank Diamond,Capai Kedudukan Diamond dalam Multiplay
1029,Pencapaian Peringkat Master,Capai Peringkat Master Multiplay
1030,Pencapaian Challenger,Capai Peringkat Challenger Multiplay
1031,Had perlawanan harian,Bilangan perlawanan setiap hari di mana anda boleh memperoleh esensi
