ID,Dec
1000000,Kalahkan semua pasukan KR League dalam Musim 18.
1000001,Kalahkan semua pasukan KR League dalam musim bunga ke‑19.
1000002,Kalahkan semua pasukan KR League dalam musim panas ke‑19.
1000003,Kalahkan semua pasukan Top 10 musim Multi Match 19.
1000004,Kalahkan semua pasukan KR League dalam Musim Bunga ke‑20.
1000005,Kalahkan semua pasukan EU League dalam Spring Split ke‑20.
1000006,Kalahkan semua pasukan NA League dalam musim bunga ke‑20.
1000007,Kalahkan semua pasukan KR League dalam musim panas ke‑20.
1000008,Kalahkan semua pasukan EU League dalam Musim Panas ke‑20.
1000009,Kalahkan semua pasukan Liga NA dalam musim panas ke‑20.
1000010,Kalahkan semua pasukan Top 10 Musim Multi Match 20.
1000011,Kalahkan semua pasukan KR League dalam musim bunga 2021.
1000012,Kalahkan semua pasukan Liga EU dalam musim bunga 2021.
1000013,Kalahkan semua pasukan NA League dalam musim bunga 2021.
1000014,Kalahkan semua pasukan Top 10 musim Multi Match 21‑1.
1000015,Kalahkan semua pasukan Top 10 musim Multi Match 21‑2.
1000016,Kalahkan semua pasukan CN League pada Spring Split 2021.
1000017,Kalahkan semua pasukan KR League pada musim panas 2021.
1000018,Kalahkan semua pasukan EU League dalam musim panas 2021.
1000019,Kalahkan semua pasukan NA League dalam musim panas 2021.
1000020,Kalahkan semua pasukan CN League dalam Musim Panas 21.
1000021,Menewaskan semua pasukan Top 10 Musim 21‑3 Multi Match.
1000022,Kalahkan semua pasukan Top 10 Musim 22‑1 dalam Multi Match.
1000023,Kalahkan semua pasukan KR League dalam musim bunga 22.
1000024,Kalahkan semua pasukan EU League pada musim bunga 2022.
1000025,Kalahkan semua pasukan Liga NA pada Musim Bunga 22.
1000026,Kalahkan semua pasukan Top 10 musim Multi Match 22‑2.
1000027,Menewaskan semua pasukan Top 10 Musim 22‑3 Multi Match.
1000028,Kalahkan semua pasukan Top 10 Musim 22‑4 Multi Match.
1000029,Kalahkan semua pasukan KR League dalam musim panas 2022.
1000030,Tumbangkan semua pasukan Liga EU dalam musim panas 2022.
1000031,Kalahkan semua pasukan Liga NA dalam musim panas 2022.
1000032,Kalahkan semua pasukan Top 10 Musim Multi Match 23‑1.
1000033,Kalahkan semua pasukan Top 10 Musim Multi Match 23‑2.
1000034,Kalahkan semua pasukan KR League dalam musim bunga 2023.
1000035,Tumbangkan semua pasukan Liga EU dalam musim bunga 23.
1000036,Kalahkan semua pasukan NA League dalam Spring Split 2023.
1000037,Menewaskan semua pasukan Top 10 Musim 23‑3 Multi Match.
1000038,Kalahkan semua pasukan KR League dalam musim panas 2023.
1000039,Kalahkan semua pasukan Liga EU pada musim panas 2023.
1000040,Kalahkan semua pasukan NA League pada musim panas 2023.
1000041,Kalahkan semua pasukan Top 10 Musim 23‑4 dalam Multi Match.
1000042,Kalahkan semua pasukan Top 10 Musim Multi Match 24‑1.
1000043,Kalahkan semua pasukan Top 10 Musim 24‑2 Multi Match.
1000044,Kalahkan semua pasukan KR League dalam Musim Bunga ke‑24.
1000045,Kalahkan semua pasukan EU League dalam musim Musim Bunga 2024.
1000046,Kalahkan semua pasukan NA League dalam Spring Split ke‑24.
1000047,Menumbangkan semua pasukan Top 10 Musim Multi Match 24‑3.
1000048,Kalahkan semua pasukan KR League dalam musim panas 2024.
1000049,Kalahkan semua pasukan EU League dalam Musim Panas 24.
1000050,Kalahkan semua pasukan NA League dalam Musim Panas 2024.
1000051,Kalahkan semua pasukan Top 10 Musim 24‑4 Multi Match.
1000052,Kalahkan semua pasukan Top 10 Musim 25‑1 Multi Match.
1000053,Kalahkan semua pasukan Top 10 Musim Multi Match 25‑2.
1000054,Kalahkan semua pasukan KR League dalam musim bunga ke‑25.
1000055,Kalahkan semua pasukan EU League dalam musim bunga ke‑25.
1000056,Kalahkan semua pasukan NA League dalam Spring Split ke‑25.
