ID,Dec
10000,Hai. Gembira berjumpa dengan anda.
10001,"Dengan sokongan pengurus, dia menubuhkan pasukan baru dalam Liga LOL."
10002,Sila beri nama pasukan anda dahulu.
10003,Mari kita jadikan Pasukan AAA masuk dalam sejarah!
10004,Ini ialah perlawanan pertama dalam liga.
10005,Di sini anda dapat melihat maklumat pasukan kami serta pasukan-pasukan lain sebelum perlawanan.
10006,Pasukan semasa sudah mempunyai pemain yang telah mendaftar.
10007,Tetapi anda memerlukan banyak pemain untuk menang.
10008,Jom dapatkan pemain baru dulu sebelum perlawanan.
10009,Ketuk pasaran perekrutan
10010,Anda boleh merekrut pemain baharu menggunakan esensi yang anda ada di pasaran perekrutan.
10011,Mari kita rekrut pemain baru dengan esensi yang kita miliki sekarang.
10012,Tekan butang Pengambilan X1.
10013,Kita ada pemain baru.
10014,Pasukan masih belum kompetitif. Mari kita upah pemain yang lebih hebat untuk meningkatkan daya saing kita.
10015,"Tidak cukup esens untuk menambah pemain yang hebat. Dalam kes ini, anda boleh memperoleh nombor bulat melalui penaja."
10016,Tonton semua iklan video penaja untuk memperoleh ganjaran.
10017,"Pada mulanya, Iklan Disokong disediakan khas untuk menerima ganjaran 50 % lebih banyak."
10018,Tekan Iklan Berpenaja
10019,"Penaja telah menghantar integer kepada kita. Sekarang, mari kita dapatkan pemain baru menggunakan integer tersebut."
10020,Tekan butang Rekrut X5.
10021,Kita ada pemain baharu.
10022,"Sekarang, mari kita uji pemain baru!"
10023,Tekan butang **Pengurusan Pemain**.
10024,"Dalam Pengurusan Pemain, anda boleh memilih pemain calon."
10025,Tekan butang Swap untuk mencuba calon.
10026,"Tekan **Ganti** akan menjadikan pemain yang dipilih sebagai pemain permulaan, manakala pemain sedia ada akan dinominasikan."
10027,Selain itu} bergantung pada komposisi starter} kesan tambahan boleh diperoleh.
10028,Tekan butang.
10029,Anda boleh menemukan maklumat mengenai Tim Chemie di sini.
10030,Anda dapat memperkuat pasukan anda dengan mencocokkan pelbagai kimia seperti jenis dan pasukan.
10031,Tekan X untuk keluar.
10032,Mari kita ganti pemain yang tidak diperlukan dengan pemain lain.
10033,Cuba tekan recombination.
10034,Di sini anda boleh menukar empat calon dengan pemain baharu.
10035,Saya telah memberi empat pemain buat sementara. Jom gabungkan semula pemain‑pemain ini.
10036,Tekan butang **Tambah**.
10037,Tekan butang **Tambah**.
10038,Tekan butang **Tambah**.
10039,Tekan butang **Tambah**.
10040,Masukkan ketiga‑peserta. Sekarang kita beralih kepada pemain baru.
10041,Anda boleh menyemak maklumat keupayaan pemain daripada maklumat perekrutan.
10042,Sekarang dapatkan pemain.
10043,Cuba tekan **Recombination**.
10044,Dengan cara ini anda boleh menggantikan pemain sedia ada dengan pemain baru.
10045,Mari kita mulakan permainan dengan pemain-pemain ini.
10046,Tekan butang perlawanan
10047,Tekan butang progres permainan.
10048,Permainan telah bermula.
10049,Mari percayakan pemain dan saksikan perlawanan.
10050,Seperti ini} apabila permainan tamat} anda akan memperoleh pengalaman dan integer.
10051,Essence tidak dapat diperoleh jika had perlawanan harian terlampaui.
10052,Tekan butang **Teruskan** untuk keluar daripada stadium.
10053,Permainan pertama telah selesai.
10054,"Pemain penting untuk kemenangan, namun strategi jurulatih juga penting."
10055,Tekan butang Strategi.
10056,Penetapan Pantas memudahkan penyediaan strategi utama.
10057,Keseimbangan kini menjadi strategi asas.
10058,Mari ubah tetapan.
10059,Klik pada Barisan / Urus.
10060,Line match / operasi ialah strategi yang menamatkan permainan dengan memanfaatkan kelebihan yang diperoleh dalam line match.
10061,Jom ubah strategi kepada operasi baris‑ke‑barisan.
10062,Tekan butang Tetapan
10063,Strategi pasukan kini telah berubah dengan line‑to‑run.
10064,Setup pantas ini memudahkan penukaran strategi pasukan anda.
10065,Tetapan terperinci boleh ditetapkan melalui arahan dan pick‑ban.
10066,Sekarang mari kita uji strategi kita.
10067,Tekan butang **Cari Perlawanan**
10068,Jom lihat cara guna item perlawanan sebelum kita teruskan ke perlawanan.
10069,! Tekan butang!
10070,Saya dengar ada item tambahan pengalaman 10% sebagai hadiah.
10071,Sila semak penggunaan.
10072,"Jika anda menanda **Gunakan**, anda akan memakai item berkenaan dalam perlawanan akan datang."
10073,"Jika terdapat pelbagai item, anda boleh tandakan **Auto** untuk menggunakan item secara automatik."
10074,Item jenis yang sama tidak dapat digunakan secara berulang.
10075,Tekan X untuk keluar.
10076,Sekarang jom kita semak strategi dan item.
10077,Tekan butang kemajuan permainan
10078,"Selepas perlawanan ini, tahap pengurus telah naik."
10079,"Apabila tahap pengurus meningkat, anda akan memperoleh esensi tambahan seperti ini."
10080,Anda boleh memperoleh Essence tambahan daripada tahap Pengurus tanpa mengira had perlawanan harian.
10081,Tekan butang **Teruskan** untuk keluar dari stadium.
10082,Beberapa pemain telah naik level dengan memperoleh pengalaman dalam perlawanan ini.
10083,Pemain yang naik level boleh meningkatkan stat mereka.
10084,Tekan Pengurusan Pemain
10085,Pemain yang telah naik level mempunyai penanda anak panah pada tahap.
10086,Tekan aras pemain untuk meningkatkan statistik.
10087,Di sini anda boleh meningkatkan statistik pilihan anda menggunakan mata.
10088,Anda boleh meningkatkan statistik dengan mengetuk anak panah pada statistik yang diingini.
10089,Ketuk statistik pilihan anda dan kemudian ketuk Keputusan.
10090,Ini akan meningkatkan keupayaan pemain.
10091,Tekan X untuk keluar.
10092,Atlet boleh menjadi lebih kuat melalui peningkatan level dan pengukuhan seperti ini.
10093,Mari kita buat pemain lebih kuat dengan menguatkan.
10094,Tekan butang **Reinforce**.
10095,Pengukuhan menjadikan pemain lebih kuat melalui pemain yang sama.
10096,"Kali ini, mari perkuat pemain yang saya beri kepadamu."
10097,Cuba tekan butang ▼.
10098,Tekan butang untuk melipat senarai pemula. Tekan butang untuk melihat senarai pemain gantian yang lebih besar.
10099,Sekarang cuba tambahkan pemain.
10100,Tekan butang Tambah.
