ID,Name,Dec
1000,Recompensa diária de login,Recompensa Diária de Login
1001,3 recompensas diárias,Recompensas das 3 partidas de hoje
1002,Suporte,Você pode patrocinar o desenvolvedor através da Twonation.
1003,Revisão,Faça a revisão e será recompensado.
1004,Tutorial Concluído,Concluir tutorial
1005,Conquista de classificação Prata,Alcance o rank Prata no Multiplay
1006,Conquista de Rank Ouro,Alcance o rank Ouro no Multiplay
1007,Conquista de Rank Platina,Alcance o Rank Platina no Multiplay
1008,Conquista de Rank Diamante,Alcance o Rank Diamante no Multiplayer
1009,Conquista de Rank Mestre,Alcance o Rank Mestre no Multijogador
1010,Conquista Challenger,Conquiste o Rank Challenger no Multiplay
1011,Campeão da Liga,Conquistou o 1.º lugar na liga
1012,Medalha de Prata,Alcançou a segunda posição na liga.
1013,Medalha de bronze,Conquistou o 3.º lugar na liga.
1014,3 campeões,Conquiste 3 títulos de liga
1015,3 medalhas de prata,Alcançou o segundo lugar em três ligas.
1016,3 medalhas de bronze,Conquistou o 3.º lugar em três ligas.
1017,5 campeões,Conquiste 5 títulos de liga
1018,5 medalhas de prata,Alcance o segundo lugar em cinco ligas.
1019,5 medalhas de bronze,Conquiste o terceiro lugar em cinco ligas.
1020,Primeira Temporada,Prazo da Primeira Temporada
1021,3ª Temporada,Prazo da Terceira Temporada
1022,5ª Temporada,Prazo da 5ª Temporada
1023,Décima temporada,Prazo da 10ª Temporada
1024,6 recompensas diárias,Recompensas das 6 Partidas de Hoje
1025,Conquista no rank Prata,Alcance o ranking Prata no Multiplay.
1026,Conquista do Rank Ouro,Conquiste o rank Ouro no Multiplay
1027,Conquista do Rank Platina,Conquiste o Rank Platina no Multiplay
1028,Conquista de Rank Diamante,Conquiste o Rank Diamante no Multiplay
1029,Conquista de Rank Mestre,Alcance o Rank Mestre no Multiplay
1030,Conquista Challenger,Conquiste o Rank Challenger no Multiplay
1031,Limite diário de partidas,Número de partidas por dia nas quais você pode ganhar essência
