ID,Dec
1000000,Derrote todas as equipes da KR League na temporada 18.
1000001,Derrote todas as equipes da KR League no Split de Primavera de 2019.
1000002,Derrote todas as equipes da KR League na temporada de verão de 2019.
1000003,Derrote todas as equipes Top 10 da Temporada 19 do Multi Match.
1000004,Derrote todas as equipes da KR League na temporada de primavera de 2020.
1000005,Derrote todas as equipes da EU LEC na 20ª temporada de primavera.
1000006,Derrote todas as equipes da NA League na 20ª temporada de primavera.
1000007,Derrote todas as equipes da KR League na 20ª temporada de verão.
1000008,Derrote todas as equipes da EU League na temporada de verão 20.
1000009,Derrote todas as equipes da LCK na 20ª temporada de verão.
1000010,Derrote todas as equipes Top 10 da Temporada Multi Match 20.
1000011,Derrote todos os times da KR League na temporada de primavera de 2021.
1000012,Derrote todas as equipes da EU League na temporada de primavera de 21.
1000013,Derrote todas as equipes da LCS NA na Spring Split de 2021.
1000014,Derrote todas as equipes do Top 10 da Temporada 21‑1 no Multi‑Match.
1000015,Derrote todas as equipes do Top 10 da temporada Multi Match 21‑2.
1000016,Derrote todas as equipes da Liga CN na temporada de primavera de 2021.
1000017,Derrote todas as equipes da KR League na temporada de verão de 2021.
1000018,Derrote todos os times da LEC na temporada de verão de 2021.
1000019,Derrote todas as equipes da LCS na temporada de verão de 2021.
1000020,Derrote todas as equipes da CN League na temporada de verão de 21.
1000021,Derrote todas as equipes do Top 10 da temporada Multi Match 21‑3.
1000022,Derrote todas as equipes Top 10 da Temporada 22‑1 do Multi Match.
1000023,Derrote todas as equipes da KR League na temporada de primavera de 2022.
1000024,Derrote todas as equipes da EU LEC na Temporada de Primavera de 2022.
1000025,Derrote todas as equipes da NA League na temporada de primavera de 2022.
1000026,Derrote todas as equipes do Top 10 da Temporada Multi Match 22‑2.
1000027,Derrote todas as equipes do Top 10 da temporada 22‑3 do Multi Match.
1000028,Derrote todas as equipes do Top 10 da Temporada 22‑4 de Multi Match.
1000029,Derrote todas as equipes da KR League na temporada de verão de 22.
1000030,Derrote todas as equipes da EU League na temporada de verão de 22.
1000031,Derrote todas as equipes da NA League na temporada de verão de 22.
1000032,Derrote todas as equipes Top 10 da Temporada 23‑1 do Multi Match.
1000033,Derrote todas as equipes do Top 10 da Temporada 23‑2 do Multi Match.
1000034,Derrote todas as equipes da KR League na temporada de primavera de 23.
1000035,Derrote todas as equipes da EU LEC na Spring Split de 2023.
1000036,Derrote todas as equipes da NA League no Spring Split de 2023.
1000037,Derrote todas as equipes do Top 10 da Temporada 23‑3 do Multi Match.
1000038,Derrote todos os times da KR League na temporada de verão de 23.
1000039,Derrote todas as equipes da EU League na temporada de verão de 23.
1000040,Derrote todas as equipes da NA League na temporada de verão de 2023.
1000041,Derrote todas as equipes do Top 10 da Temporada 23‑4 do Multi Match.
1000042,Derrote todas as equipes do Top 10 da Temporada Multi Match 24‑1.
1000043,Derrote todas as equipes do Top 10 da Temporada Multi Match 24‑2.
1000044,Derrote todas as equipes da KR League na temporada de primavera de 2024.
1000045,Derrote todas as equipes da EU League na temporada de primavera de 2024.
1000046,Derrote todas as equipes da NA League na Temporada de Primavera 24.
1000047,Derrote todas as equipes do Top 10 da Temporada 24‑3 do Multi Match.
1000048,Derrote todas as equipes da KR League na temporada de verão de 2024.
1000049,Derrote todas as equipes da EU League na Temporada de Verão 24.
1000050,Derrote todas as equipes da NA League na temporada de verão de 24.
1000051,Derrote todas as equipes do Top 10 da Temporada 24‑4 de Multi Match.
1000052,Derrote todas as equipes Top 10 da Temporada Multi Match 25‑1.
1000053,Derrote todas as equipes do Top 10 da Temporada Multi Match 25‑2.
1000054,Derrote todas as equipes da KR League na 25ª temporada de primavera.
1000055,Derrote todas as equipes da EU League na Temporada Primavera 25.
1000056,Derrote todas as equipes da NA League na 25ª temporada de primavera.
