ID,Dec
10000,E aí! Prazer em te conhecer.
10001,"Com o apoio do manager, ele formou um novo time na LOL League."
10002,"Nomeie sua equipe primeiro, por favor."
10003,Vamos gravar a AAA Team na história.
10004,Esta é a primeira partida da liga.
10005,Aqui você pode ver as informações da nossa equipe e das demais equipes antes da partida.
10006,A equipe atual já tem um jogador cadastrado.
10007,Mas você precisa de muitos jogadores para vencer.
10008,Vamos trazer um novo jogador antes da partida.
10009,Explore o mercado de recrutamento.
10010,Você pode recrutar novos jogadores com a essência que possui no Mercado de Recrutamento.
10011,Vamos contratar um novo jogador com a essência que temos agora.
10012,Pressione o botão de recrutamento X1.
10013,Temos um novo jogador.
10014,A equipe ainda não é competitiva. Vamos contratar um jogador melhor para elevar nossa competitividade.
10015,"Não há essência suficiente para recrutar um bom jogador. Nesse caso, você pode obter um número inteiro usando um patrocinador."
10016,Assista a todos os anúncios em vídeo dos patrocinadores para ganhar recompensas.
10017,"Inicialmente, os Anúncios Patrocinados foram configurados especialmente para conceder 50 % a mais de recompensas."
10018,Pressione Publicidade Patrocinada.
10019,Patrocinador nos enviou um inteiro. Agora vamos trazer um novo campeão usando esse número.
10020,Pressione o botão de recrutamento X5.
10021,Temos um novo jogador.
10022,Agora vamos testar um novo jogador.
10023,Pressione o botão **Gerenciamento de Jogadores**.
10024,"No Gerenciamento de Jogadores, você pode selecionar um jogador candidato."
10025,Pressione o botão Trocar para experimentar o candidato.
10026,"Ao pressionar “Substituir”, o jogador selecionado passará a ser titular e o jogador atual será nomeado como reserva."
10027,"Além disso, dependendo da composição dos iniciadores, efeitos adicionais podem ser obtidos."
10028,Pressione o botão
10029,Você pode encontrar informações sobre o Tim Chemie aqui.
10030,"Você pode fortalecer seu time combinando diferentes sinergias, como tipo e composição de equipe."
10031,Pressione X para sair.
10032,Agora vamos substituir o jogador que não é necessário por outro.
10033,Tente pressionar a recombinação.
10034,Aqui você pode substituir quatro candidatos por novos jogadores.
10035,Por enquanto eu aloquei quatro jogadores. Vamos recombinar esses players.
10036,Pressione o botão **Adicionar**.
10037,Pressione o botão **Adicionar**.
10038,Pressione o botão **Adicionar**.
10039,Pressione o botão **Adicionar**.
10040,Coloque os três jogadores. Agora vamos mudar para um novo jogador.
10041,Você pode conferir as informações de habilidades do jogador nas informações de recrutamento.
10042,Agora pegue o jogador.
10043,Experimente ativar a recombinação.
10044,"Dessa forma, você pode substituir os jogadores existentes por novos."
10045,Agora vamos entrar em ação com esses jogadores.
10046,Pressione o botão de partida.
10047,Pressione o botão de avançar do jogo.
10048,A partida começou.
10049,Vamos confiar nos players e assistir à partida.
10050,Como isto} quando a partida termina} você pode ganhar experiência e inteiros.
10051,A essência não pode ser obtida se o limite diário de partidas for excedido.
10052,Pressione o botão **Continuar** para sair do estádio.
10053,A primeira partida acabou.
10054,"Os jogadores são fundamentais para a vitória, mas a estratégia do gerente também é crucial."
10055,Pressione o botão Estratégia.
10056,O Quick Setup facilita a configuração de estratégias‑chave.
10057,O equilíbrio agora é a estratégia básica.
10058,Vamos mudar as configurações.
10059,Clique em Linha / Gerenciar.
10060,A operação de lane é uma estratégia que encerra a partida ao aproveitar os ganhos obtidos durante a fase de rotas.
10061,Vamos mudar a estratégia para operação linha‑a‑linha.
10062,Pressione o botão de **Configurações**.
10063,A estratégia da equipe agora mudou com o line‑to‑run.
10064,Essa configuração rápida permite ajustar a estratégia do seu time com facilidade.
10065,Configurações detalhadas podem ser ajustadas por meio das instruções e do pickvan.
10066,Agora vamos testar nossa estratégia.
10067,Pressione o botão de partida
10068,Vamos conferir como usar os itens da partida antes de entrar na partida.
10069,! Aperte o botão.
10070,Soube de um item que concede 10 % de XP extra como presente.
10071,"Por favor, verifique o uso."
10072,"Se você marcar “Usar”, utilizará o item correspondente em partidas futuras."
10073,"Se houver múltiplos itens, marque “Auto” para utilizá‑los automaticamente."
10074,Itens do mesmo tipo não podem ser usados repetidamente.
10075,Pressione X para sair.
10076,"Então, vamos dar uma olhada nas estratégias e nos itens!"
10077,Pressione o botão de progresso do jogo
10078,"Depois desta partida, o nível do gerente subiu."
10079,"À medida que o nível do gerente sobe, você recebe uma essência extra como esta."
10080,"Você pode obter essências extras pelo nível do gerente, independentemente do limite diário de partidas."
10081,Pressione o botão **Continuar** para sair do estádio.
10082,Alguns jogadores subiram de nível ao ganhar experiência nesta partida.
10083,Jogadores que sobem de nível podem aumentar seus atributos.
10084,Pressione “Gestão de Jogadores”.
10085,Atletas que subiram de nível têm uma marca de seta no nível.
10086,Toque no nível do jogador para elevar as estatísticas.
10087,Aqui você pode melhorar as estatísticas desejadas usando pontos.
10088,Você pode aumentar o atributo ao tocar na seta do atributo desejado.
10089,"Toque nas estatísticas que deseja e, em seguida, toque em **Decisão**."
10090,Isso aumentará a habilidade do jogador.
10091,Pressione X para sair.
10092,Os atletas podem ficar mais fortes nivelando e reforçando assim.
10093,Vamos tornar o jogador mais forte com reforço.
10094,Pressione o botão **Reforçar**.
10095,O reforço torna o jogador mais forte por meio do próprio jogador.
10096,"Desta vez, vamos reforçar o jogador que lhe dei."
10097,Tente apertar o botão ▼.
10098,Pressione o botão para recolher a lista de iniciantes. Pressione o botão para ver uma lista ampliada dos substitutos.
10099,Agora tente adicionar um jogador.
10100,Pressione o botão **Adicionar**.
10101,"Se um jogador for adicionado, somente esse mesmo jogador será exibido."
10102,Pressione o botão “Adicionar”.
10103,"Conforme mais jogadores são adicionados, você pode ver a probabilidade de sucesso."
10104,A probabilidade de sucesso é determinada pela diferença entre o nível de reforço e o nível de reforço.
10105,Pressione o botão **Reforçar**.
10106,"Se você reforçar assim, os itens do jogador somem."
10107,Não fazê‑lo não fará o jogador principal desaparecer nem perder a classe.
10108,Agora vamos dar a última conferida nas informações da liga.
10109,Pressione o botão **League**.
10110,Pressione o botão de Agenda.
10111,Você pode conferir a programação da liga da sua equipe aqui.
10112,Pressione o botão de Classificação.
10113,Aqui você pode ver a tabela da liga.
10114,Pressione o botão **Torneio**
10115,Aqui você pode acompanhar os playoffs após o término da fase regular.
10116,W é a classificação para avançar ao Campeonato Mundial.
10117,O Campeonato Mundial acontece ao final da liga regular.
10118,Você pode enfrentar as melhores equipes de outras ligas e conquistar recompensas ainda maiores.
10119,Pressione o botão **Definir**.
10120,Onde você quer a Liga?
10121,Você pode ajustar o nível de dificuldade e começar uma nova liga.
10122,"Ao escolher uma liga e a dificuldade, você pode visualizar as recompensas modificadas e o poder da equipe da liga."
10123,Escolha sua liga e o nível de dificuldade e pressione o botão **Iniciar Nova Liga**.
10124,Você pode iniciar uma nova liga assim.
10125,Agora tudo está pronto.
10126,"Finalmente, o manager nos enviou a essência."
10127,Vamos transformar a AAA League na campeã!
10128,Olá! Seja bem‑vindo ao modo Multi Match.
10129,Aqui você pode disputar a partida contra outros treinadores.
10130,"Aqui você pode ver as classificações da sua equipe, os pontos e os dados das partidas."
10131,Pressione o botão de informações da recompensa.
10132,Aqui você pode encontrar informações sobre as recompensas do Multi Match.
10133,"Na tabela de tiers há seis divisões: Bronze, Prata, Ouro, Platina, Diamante, Mestre e Challenger."
10134,"Na primeira vez que iniciar, você começa na divisão Bronze."
10135,Subir de tier concederá a Essência acima.
10136,E você pode ganhar Essência extra ao final da partida pela porcentagem indicada abaixo.
10137,Vou explicar a temporada.
10138,A temporada zera a divisão e inicia uma nova partida após um período definido.
10139,"Quando uma nova temporada começa, você é recompensado de acordo com o rank da temporada anterior."
10140,As recompensas da sua faixa podem ser encontradas aqui.
10141,Agora pressione X para sair das informações de recompensa.
10142,"Para subir de tier, você precisa vencer a partida e acumular pontos."
10143,Acumule 100 pontos para subir ao próximo tier.
10144,"Mas tome cuidado, pois você pode ser rebaixado ao sofrer derrotas consecutivas partindo do zero."
10145,"Se você subir de tier vencendo, pode conferir a classificação da sua equipe na tabela abaixo."
10146,E você pode ver a equipe dos ranqueados em detalhe.
10147,Pressione o botão.
10148,Agora você pode ver os jogadores e as estratégias usadas pelos ranqueadores. Confira e torne sua equipe ainda mais forte.
10149,"Agora, vamos apertar o botão novamente."
10150,O ranking leva tempo para atualizar.
10151,"Se quiser atualizar na hora, basta usar o botão de atualização para refrescar a classificação imediatamente."
10152,Bom. Pronto? Suba de rank e acumule pontos para se tornar o melhor manager!
10153,"Na sua conta} você pode ver as informações da conta, conquistas diárias} e outras informações."
10154,As missões diárias são atualizadas todos os dias.
10155,"Em **Conquistas**, você pode visualizar todas as suas conquistas."
10156,"Na Temporada, você pode ver as novas missões atualizadas a cada temporada."
10157,"Em **Outros** você pode visualizar demais áreas, como o suporte ao desenvolvedor."
10158,Você pode ganhar recompensas ao completar conquistas de missões ou outros objetivos.
10159,"Além disso, o patrocínio nos ajudará a continuar desenvolvendo o jogo no futuro."
10160,Obrigado pelo seu patrocínio. Obrigado.
