ID,Name,Dec
1000,Ежедневный бонус за вход,Награда за вход сегодня
1001,3 ежедневные награды,Сегодняшние награды за 3 матча
1002,Поддержка,Вы можете спонсировать разработчика через Twonation.
1003,Обзор,"Проверьте, и мы вас вознаградим."
1004,Обучение завершено,Полный туториал
1005,Достижение ранга «Серебро»,Добейтесь ранга Silver в мультиплее.
1006,Достижение золотого ранга,Получите золотой ранг в мультиплее.
1007,Достижение ранга Платина,Достичь Платинового ранга в мультиплее
1008,Достижение ранга «Алмаз»,Добейтесь ранга «Алмаз» в мультиплее.
1009,Достижение ранга «Мастер»,Достигните ранга «Мастер» в Multiplay.
1010,Достижение «Челленджер»,Добейтесь звания Challenger в мультиплее.
1011,Чемпион Лиги,Занял первое место в лиге
1012,Серебряная медаль,Завоевал второе место в лиге.
1013,Бронзовая медаль,Завоевали третье место в лиге.
1014,3 чемпиона,Получите 3 тигра лиги
1015,3 серебряные медали,Занял второе место в трёх лигах.
1016,3 бронзовые медали,Завоевал третье место в трёх лигах.
1017,5 чемпионов,Завоюй 5 титулов лиги
1018,5 серебряных медалей,Занять второе место в пяти лигах
1019,5 бронзовых медалей,Добейтесь третьего места в пяти лигах.
1020,Первый сезон,Дедлайн первого сезона
1021,Третий сезон,Дедлайн третьего сезона
1022,Пятый сезон,Дедлайн пятого сезона
1023,10‑й сезон,Дедлайн 10-го сезона
1024,6 ежедневных наград,Сегодняшние награды за 6 матчей
1025,Достижение серебряного ранга,Добейтесь ранга Silver в мультиплее.
1026,Достижение ранга «Золото»,Добейтесь звания Gold в мультиплее.
1027,Достижение ранга «Платина»,Получить платиновый ранг в Multiplay
1028,Достижение ранга «Алмаз»,Достигните ранга «Алмаз» в мультиплее
1029,Достижение звания «Мастер»,Получить ранг Мастер в мультиплее
1030,Достижение «Челленджер»,Достичь звания Challenger в мультиплее
1031,Ежедневный лимит матчей,"Количество матчей в день, за которые можно получить эссенцию"
