ID,Name,Dec
1000,Recompensa diaria de inicio de sesión,Recompensa de inicio de sesión de hoy
1001,3 recompensas diarias,Recompensas de las 3 partidas de hoy
1002,Soporte,Puedes patrocinar al desarrollador a través de Twonation.
1003,¡Revisión!,¡Revísalo y te recompensaremos!
1004,¡Tutorial completado!,Completar tutorial
1005,Logro de rango Plata,¡Alcanza el rango Plata en Multijugador!
1006,Logro de rango Oro,¡Alcanza el rango Oro en Multiplay!
1007,Logro de rango Platino,¡Alcanza el rango Platino en Multiplay!
1008,Logro de rango Diamante,¡Alcanza el rango Diamante en Multiplay!
1009,Logro de rango Maestro,¡Alcanza el rango Maestro multijugador!
1010,Logro Challenger,Alcanza el rango Challenger en Multiplay
1011,Campeón de League,Alcanzó el primer puesto en la liga.
1012,Medalla de plata,Obtuvo el segundo lugar en la liga.
1013,Medalla de bronce,Alcanzó el tercer puesto en la liga.
1014,3 campeones,¡Alcanza 3 títulos de liga!
1015,3 medallas de plata,Logró el segundo lugar en tres ligas.
1016,3 medallas de bronce,Alcanzó el tercer lugar en tres ligas.
1017,5 campeones,¡Consigue 5 títulos de liga!
1018,5 medallas de plata,¡Alcanza el segundo puesto en cinco ligas!
1019,5 medallas de bronce,Alcanza el tercer puesto en cinco ligas.
1020,Primera temporada,Fecha límite de la primera temporada
1021,Temporada 3,Fecha límite de la tercera temporada
1022,Quinta temporada,Fecha límite de la quinta temporada
1023,Décima temporada,Fecha límite de la Temporada 10
1024,6 recompensas diarias,Recompensas de las 6 partidas de hoy
1025,Logro de rango Plata,¡Alcanza el rango Plata en Multiplay!
1026,Logro de rango Oro,Alcanza el rango Oro en Multiplay
1027,Logro de Rango Platino,Alcanza el rango Platino en Multiplay
1028,Logro de rango Diamante,¡Consigue el rango Diamante en Multiplay!
1029,Logro de Rango Maestro,¡Alcanza el rango Maestro multijugador!
1030,Logro Challenger,¡Alcanza el rango Challenger en Multiplay!
1031,Límite diario de partidas,Número de partidas diarias en las que puedes conseguir esencia
