ID,Dec
10000,¡Hola! Un gusto conocerte.
10001,"¡Con el respaldo del manager, fundó un nuevo equipo en la LOL League!"
10002,"Por favor, nombra a tu equipo primero."
10003,¡Convirtamos al Equipo AAA en historia!
10004,¡Este es el primer partido de la liga!
10005,Aquí puedes ver la información de nuestro equipo y de los demás equipos antes del partido.
10006,El equipo actual ya tiene un jugador inscrito.
10007,¡Pero necesitas muchísimos jugadores para ganar!
10008,¡Vamos a fichar a un nuevo jugador antes del partido!
10009,¡Accede al mercado de reclutamiento!
10010,Puedes reclutar nuevos jugadores usando la esencia que tienes en el mercado de reclutamiento.
10011,¡Contratemos a un nuevo jugador con la esencia que tenemos ahora!
10012,¡Presiona el botón de reclutamiento X1!
10013,¡Tenemos un nuevo jugador!
10014,El equipo sigue sin ser competitivo. Contratemos a un jugador de mayor nivel para elevar nuestra competitividad.
10015,"No hay suficiente esencia para reclutar a un buen jugador. En este caso, puedes conseguir un número entero usando un patrocinador."
10016,¡Mira todos los anuncios de vídeo de los patrocinadores para obtener recompensas!
10017,Inicialmente} Anuncios Patrocinados está especialmente preparado para recibir un 50 % más de recompensas.
10018,Pulsa Publicidad Patrocinada.
10019,El patrocinador nos envió un número entero. Ahora vamos a conseguir a un nuevo jugador con ese entero.
10020,Pulsa el botón de Reclutamiento X5.
10021,¡Tenemos un nuevo jugador!
10022,¡Ahora vamos a probar con un nuevo jugador!
10023,Presiona el botón de Gestión de Jugadores.
10024,En la gestión de jugadores puedes seleccionar un jugador candidato.
10025,Pulsa el botón “Swap” para probar al candidato.
10026,"Al pulsar **Reemplazar**, el jugador seleccionado pasará a ser titular y el jugador actual será nombrado suplente."
10027,"¡Además, según la composición de los picks iniciales, se pueden obtener efectos adicionales!"
10028,¡Presiona el botón!
10029,¡Puedes encontrar información sobre Tim Chemie aquí!
10030,"Puedes potenciar a tu equipo combinando distintas químicas, como la de tipo y la de escuadrón."
10031,Pulsa X para salir.
10032,¡Ahora cambiemos al jugador que no se necesita por otro!
10033,¡Intenta presionar la recombinación!
10034,Aquí puedes intercambiar a cuatro candidatos por nuevos jugadores.
10035,Temporalmente asigné a cuatro jugadores. Vamos a recombinar a esos jugadores.
10036,Pulsa el botón Añadir.
10037,Pulsa el botón Añadir.
10038,Pulsa el botón Añadir.
10039,Pulsa el botón Añadir.
10040,¡Coloca a los tres jugadores! Ahora cambiemos a un nuevo jugador.
10041,Puedes revisar la información de habilidades del jugador en la sección de reclutamiento.
10042,¡Consigue al jugador ahora!
10043,¡Intenta pulsar la recombinación!
10044,De esta forma puedes sustituir a los jugadores existentes por nuevos jugadores.
10045,¡Ahora juguemos con estos jugadores!
10046,¡Pulsa el botón de buscar partida!
10047,Pulsa el botón de progreso del juego.
10048,¡Ha empezado la partida!
10049,¡Confiemos en los jugadores y veamos la partida!
10050,"¡Así! Cuando la partida termina, puedes ganar experiencia y puntos."
10051,No se puede obtener Esencia si se supera el límite diario de partidas.
10052,Presiona el botón Continuar para salir del estadio.
10053,¡La primera partida ha terminado!
10054,"Los jugadores son clave para ganar, pero la estrategia del manager también es fundamental."
10055,¡Presiona el botón de Estrategia!
10056,La Configuración Rápida facilita la preparación de estrategias clave.
10057,¡El balance ahora es la estrategia básica!
10058,¡Vamos a cambiar la configuración!
10059,Haz clic en Línea / Administrar.
10060,Estrategia de alineación/operación: una táctica que cierra la partida capitalizando las ventajas obtenidas en el enfrentamiento de líneas.
10061,¡Cambiar la estrategia a operación línea por línea!
10062,Presiona el botón de Configuración
10063,La estrategia del equipo ha cambiado ahora con el split‑push.
10064,¡Esta configuración rápida te permite adaptar la estrategia de tu equipo al instante!
10065,Los ajustes detallados pueden configurarse mediante las instrucciones y el pickvan.
10066,Ahora probemos nuestra estrategia.
10067,¡Presiona el botón de partida!
10068,¡Veamos cómo utilizar los objetos de la partida antes de entrar al match!
10069,¡Presiona el botón!
10070,¡Escuché que me dieron como regalo un objeto que brinda un 10 % de experiencia extra!
10071,"¡Por favor, verifica el uso!"
10072,"Si marcas **Usar**, emplearás el artículo correspondiente en partidas futuras."
10073,"Si tienes varios objetos, puedes marcar Auto para usarlos automáticamente."
10074,Los objetos del mismo tipo no pueden usarse de forma repetida.
10075,Presiona X para salir.
10076,¡Ahora veamos las estrategias y los objetos!
10077,¡Pulsa el botón de progreso del juego!
10078,"¡Tras esta partida, el nivel del manager ha subido!"
10079,"A medida que aumenta tu nivel de manager, recibes una esencia adicional así."
10080,Puedes obtener esencias extra del nivel de manager sin importar el límite diario de partidas.
10081,Presiona el botón Continuar para salir del estadio.
10082,Algunos jugadores han subido de nivel al ganar experiencia en esta partida.
10083,Los jugadores que suben de nivel pueden aumentar sus estadísticas.
10084,Pulsa Gestión de jugadores.
10085,Los jugadores que hayan subido de nivel tendrán una marca de flecha sobre su nivel.
10086,¡Toca el nivel del jugador para subir sus estadísticas!
10087,Aquí puedes incrementar las estadísticas que deseas usando puntos.
10088,Puedes aumentar la estadística tocando la flecha del atributo deseado.
10089,¡Toca las estadísticas que deseas y luego pulsa Decisión!
10090,Esto incrementará la habilidad del jugador.
10091,¡Presiona X para salir!
10092,Los jugadores pueden volverse más fuertes subiendo de nivel y mejorando sus estadísticas de esta manera.
10093,¡Fortalezcamos al jugador con refuerzos!
10094,¡Pulsa el botón **Reforzar**!
10095,El refuerzo vuelve al jugador más fuerte mediante el mismo jugador.
10096,¡Esta vez reforzaremos al jugador que te asigné!
10097,¡Intenta presionar el botón ▼!
10098,Presiona el botón para plegar la lista de titulares. Presiona el botón para ver una lista ampliada de los suplentes.
10099,¡Ahora intenta añadir un jugador!
10100,¡Presiona el botón Añadir!
