ID,Name,Dec
1000,ของรางวัลเข้าสู่ระบบรายวัน,ของรางวัลล็อกอินวันนี้
1001,ของรางวัลรายวัน 3 รายการ,รางวัล 3 แมตช์วันนี้
1002,ซัพพอร์ต,คุณสามารถสนับสนุนผู้พัฒนาผ่าน Twonation ได้เลย.
1003,รีวิว,โปรดตรวจสอบแล้วเราจะมอบรางวัลให้คุณ.
1004,การฝึกสอนเสร็จสิ้น,จบการสอน
1005,ความสำเร็จระดับสีเงิน,บรรลุอันดับซิลเวอร์ในโหมดมัลติเพลย์
1006,ความสำเร็จระดับทอง,บรรลุอันดับ Gold ในโหมด Multiplay
1007,ความสำเร็จระดับแพลทินัม,บรรลุระดับแพลทินัมในโหมดมัลติเพลย์
1008,ความสำเร็จในอันดับไดมอนด์,บรรลุระดับ Diamond ในโหมด Multiplay
1009,ความสำเร็จระดับมาสเตอร์,บรรลุอันดับมาสเตอร์ในโหมดมัลติเพลย์
1010,ความสำเร็จระดับชาเลนเจอร์,บรรลุอันดับ Challenger ในโหมด Multiplay
1011,แชมป์ลีก,ครองอันดับหนึ่งในลีก
1012,เหรียญเงิน,คว้าอันดับที่ 2 ในลีก
1013,เหรียญทองแดง,คว้าอันดับที่ สามในลีก
1014,3 แชมเปี้ยน,คว้าแชมป์ลีกได้ 3 ครั้ง
1015,เหรียญเงิน 3 ใบ,คว้าอันดับที่สองในสามลีก
1016,เหรียญทองแดง 3 เหรียญ,ได้ตำแหน่งที่ สามในสามลีก
1017,5 แชมเปี้ยน,ครองตำแหน่งแชมป์ลีก 5 ครั้ง
1018,5 เหรียญเงิน,คว้าอันดับที่ 2 ในห้าลีกร่วม​
1019,เหรียญทองแดง 5 ชิ้น,ทำอันดับที่ 3 ในห้า ลีก
1020,ซีซั่นแรก,เดดไลน์ซีซั่นแรก
1021,ซีซั่นที่ 3,เดดไลน์ซีซั่นที่ 3
1022,ซีซั่นที่ห้า,เดดไลน์ซีซั่นที่ 5
1023,ซีซั่น 10,เดดไลน์ซีซั่นที่ 10
1024,ของรางวัลประจำวัน 6 รายการ,รางวัล 6 แมตช์วันนี้
1025,ความสำเร็จระดับเงิน,บรรลุอันดับ Silver ในโหมด Multiplay
1026,ความสำเร็จระดับทอง,บรรลุระดับ Gold ในโหมดมัลติเพลย์
1027,ความสำเร็จระดับแพลทินัม,บรรลุระดับแพลตินั่มในมัลติเพลย์
1028,ความสำเร็จระดับไดมอนด์,คว้าอันดับ Diamond ในโหมด Multiplay
1029,ความสำเร็จระดับมาสเตอร์,บรรลุอันดับมาสเตอร์แบบมัลติเพลย์
1030,ความสำเร็จระดับชาแนลเจอร์,บรรลุอันดับชาเลนเจอร์ในโหมดมัลติเพลย์
1031,ขีดจำกัดแมตช์ต่อวัน,จำนวนเกมต่อวันที่คุณสามารถรับบลูเอสเซนซ์ได้
