ID,Dec
1000000,เอาชนะทุกทีมใน KR ลีกในซีซั่นที่ 18
1000001,ทำลายทีมทั้งหมดของ LCK ในฤดูกาลสปริงที่ 19.
1000002,ปราบทุกทีมของ KR League ในฤดูกาลซัมเมอร์ 19​
1000003,เอาชนะทีมทั้งหมดในอันดับท็อป 10 ของซีซั่น Multi Match 19.
1000004,เอาชนะแต่ละทีมใน KR League ฤดูใบไม้ผลิ สปีร​ท์ 20.
1000005,ชนะทุกทีมของลีกยุโรปในฤดูกาลสปริง 2020.
1000006,เอาชนะทีมลีก NA ทุกทีมในสปริงซีซั่นที่ 20.
1000007,เอาชนะทุกทีมใน KR League ตลอดฤดูกาลซัมเมอร์ที่ 20.
1000008,เอาชนะทีมลีกยุโรปทั้งหมดในฤดูกาลซัมเมอร์ที่ 20.
1000009,เอาชนะแต่ละทีมลีกของ NA ในซัมเมอร์สปลิท 2020.
1000010,ทำลายทีมทั้งหมดใน Multi Match ฤดูกาล 20 ที่ติดอันดับท็อป 10 อย่างครบทุกทีม.
1000011,เอาชนะแต่ละทีมใน KR League ฤดูใบไม้ผลิ 2021 ทั้งหมด!
1000012,เอาชนะทีม EU League ทั้งหมดในฤดูกาลสปริง 2021.
1000013,เอาชนะทีมลีก NA ทั้งหมดในฤดูกาลสปริง 2021.
1000014,เอาชนะทุกทีมในอันดับ Top 10 ของซีซั่น Multi Match 21‑1.
1000015,เอาชนะทีม TOP 10 ทั้งหมดของฤดูกาล Multi Match 21‑2.
1000016,ทำลายทีมทั้งหมดของ CN League ในฤดูใบไม้ผลิ 2021.
1000017,เอาชนะทุกทีมของ KR League ในฤดูร้อน ปี 2021.
1000018,เอาชนะทีมลีกยุโรปทั้งหมดในฤดูกาลซัมเมอร์ปี 2021.
1000019,เอาชนะทีมลีก NA ทั้งหมดในซัมเมอร์ซีซั่น 2021.
1000020,ทำลายทีมทั้งหมดของ CN League ในฤดูร้อนปี 2021.
1000021,ทำลายทีม Top 10 ทั้งหมดของฤดูกาล Multi Match 21‑3.
1000022,ทำลายทีมทั้งหมดในอันดับ Top 10 ของซีซัน Multi Match 22‑1.
1000023,ทำลายทีมทั้งหมดของ KR League ในฤดูกาลสปริง 2022.
1000024,เอาชนะทีมลีกยุโรปทั้งหมดในฤดูกาลสปริง 2022.
1000025,เอาชนะทีมลีกทั้งหมดของ NA ในฤดูกาลสปริง 2022.
1000026,เอาชนะทุกทีม TOP 10 ของฤดูกาล Multi Match 22‑2.
1000027,เอาชนะทุกทีมในอันดับท็อป 10 ของฤดูกาล Multi Match 22‑3.
1000028,เอาชนะแต่ละทีมในอันดับ Top 10 ของซีซั่น Multi Match 22‑4 ทุกทีม!
1000029,ทำลายทีมทั้งหมดของ KR League ในฤดูกาลซัมเมอร์ 22.
1000030,เอาชนะทีมลีกยุโรปทั้งหมดในฤดูกาลซัมเมอร์ 22
1000031,ชนะทีมลีก NA ทุกทีมในซีซั่น Summer 2022.
1000032,เอาชนะแชมป์ทีม Top 10 ทั้งหมดในฤดูกาล Multi Match 23‑1.
1000033,เอาชนะทุกทีมในอันดับท็อป 10 ของซีซั่น Multi Match 23‑2.
1000034,เอาชนะทุกทีมใน KR League ฤดูกาลสปริง 2023.
1000035,ปราบทุกทีมของ EU League ในฤดูกาลสปริง 23.
1000036,เอาชนะทีมลีก NA ทั้งหมดในฤดูกาลสปริง 23
1000037,ทำลายทีมทั้งหมดในอันดับท็อป 10 ของฤดูกาล Multi Match 23‑3.
1000038,เอาชนะทีมทั้งหมดของลีกเกาหลีในฤดูกาลซัมเมอร์ 2023.
1000039,ชนะทีมลีกยุโรปทุกทีมในซีซั่นซัมเมอร์ 23.
1000040,เอาชนะทีมทั้งหมดของ NA League ในฤดูร้อน 23.
1000041,เอาชนะแต่ละทีมในอันดับท็อป 10 ของฤดูกาล Multi Match 23‑4 ทั้งหมด!
1000042,ชนะทีมทั้งหมดในอันดับท็อป 10 ของซีซั่น Multi Match 24‑1.
1000043,พุ่งชนและทำลายทีมท็อป 10 ทั้งหมดของฤดูกาล Multi Match 24‑2!
1000044,เอาชนะทุกทีมของ KR League ในฤดูกาลสปริง 24.
1000045,เอาชนะทีมลีกยุโรปทั้งหมดในฤดูกาลสปริงที่ 24.
1000046,เอาชนะทีมลีก NA ทั้งหมดในฤดูกาลสปริงที่ 24.
1000047,เอาชนะทีมทั้งหมดใน Top 10 ของซีซั่น Multi Match 24‑3.
1000048,เอาชนะแชมป์ทุกทีมของ KR League ในซีซั่นฤดูร้อนปี 2024.
1000049,ทำลายทีมลีกยุโรปทุกทีมในฤดูกาลซัมเมอร์ 24.
1000050,ทำลายทีมลีกของอเมริกาเหนือทั้งหมดในฤดูกาลซัมเมอร์ที่ 24.
1000051,เอาชนะทุกทีมในอันดับ Top 10 ของซีซั่น Multi Match 24‑4
1000052,ทำลายทีมทั้งหมดในอันดับท็อป 10 ของฤดูกาล Multi Match 25‑1.
1000053,ทำลายทีมทั้งหมดในอันดับท็อป 10 ของซีซั่น Multi Match 25‑2.
1000054,ทำลายทีมทั้งหมดของ KR League ในฤดูกาลสปริงที่ 25 อย่างไม่มีวันพ่ายแพ้.
1000055,เอาชนะทีมลีกยุโรปทั้งหมดในฤดูกาลสปริงที่ 25.
1000056,เอาชนะทุกทีมลีก NA ในฤดูกาลสปริง 25.
