ID,Dec
10000,สวัสดี ยินดีที่ได้เจอคุณครับ
10001,ด้วยการสนับสนุนจากผู้จัดการ เขาได้ก่อตั้งทีมใหม่ในลีก LOL.
10002,กรุณาตั้งชื่อทีมของคุณก่อน.
10003,มาทำให้ทีม AAA เข้าสู่หน้าประวัติศาสตร์กันเถอะ!
10004,นี่คือแมตช์แรกของลีก!
10005,ที่นี่คุณจะได้เห็นข้อมูลทีมของเราและทีมอื่น ๆ ก่อนเริ่มแมตช์.
10006,ทีมปัจจุบันมีผู้เล่นสมัครไว้แล้ว
10007,แต่คุณต้องมีผู้เล่นหลายคนถึงจะชนะได้
10008,เรามาหาผู้เล่นใหม่ก่อนแมตช์กันเลย!
10009,แตะตลาดรับสมัคร
10010,คุณสามารถสรรหาผู้เล่นใหม่ด้วยเอสเซนส์ที่คุณมีในตลาดสรรหาได้.
10011,มาจ้างผู้เล่นใหม่ด้วยเอสเซนส์ที่เรามีอยู่ตอนนี้.
10012,กดปุ่มรับสมัคร X1
10013,พวกเราได้เพิ่มผู้เล่นใหม่เข้าสู่ทีมแล้ว!
10014,ทีมยังไม่สามารถแข่งขันได้เต็มที่ เราควรจ้างผู้เล่นที่ดีกว่าเพื่อยกระดับความแข่งของเรา.
10015,ไม่มีเอสเซนส์พอที่จะรีครูทผู้เล่นระดับดี ในกรณีนี้คุณสามารถรับจำนวนเต็มโดยใช้สปอนเซอร์ได้
10016,ดูวิดีโอโฆษณาผู้สนับสนุนทั้งหมดเพื่อรับรางวัล
10017,เริ่มต้น] โฆษณาที่สปอนเซอร์จัดทำเป็นพิเศษเพื่อให้คุณได้รับรางวัลเพิ่มขึ้นถึง 50%
10018,กดโฆษณาสปอนเซอร์
10019,ผู้สนับสนุนส่งค่าอินทิเจอร์มาให้เราแล้ว — ตอนนี้มานำค่านั้นมาผลัดแข่งสร้างผู้เล่นคนใหม่กันเลย!
10020,กดปุ่ม X5 Recruitment
10021,เรามีผู้เล่นใหม่
10022,มาแล้ว! มาลองผู้เล่นใหม่กันเลย!
10023,กดปุ่ม “จัดการผู้เล่น” .
10024,ในส่วนการจัดการผู้เล่น คุณสามารถเลือกผู้สมัครผู้เล่นได้.
10025,กดปุ่ม Swap เพื่อทดลองผู้เข้าสมัคร​
