ID,Name,Dec
1000,Günlük Giriş Ödülü,Günlük Giriş Ödülü
1001,3 günlük ödül,Bugünün 3 Maç Ödülleri
1002,Destek,Twonation üzerinden geliştiriciye sponsor olabilirsin.
1003,İncele,"Lütfen incele, sana ödül vereceğiz."
1004,Eğitim Tamamlandı,Eğitimi Tamamla
1005,Gümüş rütbe başarısı,Multiplay Gümüş rütbesine ulaş
1006,Altın rütbe başarısı,Multiplay'de Altın rütbeye ulaş
1007,Platin Rütbe Başarısı,Multiplay Platin Rütbesini Kazan
1008,Elmas rütbe başarısı,Multiplay’da Elmas rütbesine ulaş.
1009,Usta Rütbe Başarısı,Multiplay Master Rütbesine Ulaş
1010,Challenger Başarısı,Multiplay Şampiyon Rütbesine Ulaş
1011,Lig Şampiyonu,Ligde birincilik elde etti.
1012,Gümüş Madalya,Ligde ikinci sırayı elde etti.
1013,Bronz Madalya,Ligde üçüncü sıraya yükseldi.
1014,3 şampiyon,3 Lig Şampiyonluğu Kazan
1015,3 gümüş madalya,Üç ligde ikincilik elde etti.
1016,3 bronz madalya,Üç ligde üçüncü sıraya yükseldi.
1017,5 şampiyon,5 lig şampiyonluğunu kazan
1018,5 gümüş madalya,Beş ligde ikinciliği elde et.
1019,5 bronz madalya,Beş ligde üçüncü sırayı elde et.
1020,İlk sezon,İlk Sezon Son Tarihi
1021,3. sezon,3. Sezon Son Tarihi
1022,Beşinci Sezon,Beşinci Sezon Son Tarihi
1023,10. sezon,10. Sezon Son Tarihi
1024,6 günlük ödül,Bugünün 6 Maç Ödülleri
1025,Gümüş rütbe başarısı,Multiplay Gümüş rütbesine ulaş
1026,Altın rütbe başarısı,Multiplay Gold rütbesine ulaş
1027,Platin Rütbe Başarısı,Multiplay Platin Rütbesine ulaş.
1028,Elmas Rütbe Başarısı,Multiplay’da Elmas Rütbesine ulaş!
1029,Usta Rütbe Başarısı,Multiplay Usta Rütbesine ulaş
1030,Challenger Başarısı,Multiplay Challenger Rütbesine Ulaş
1031,Günlük maç limiti,Günde öz kazanabileceğiniz maç sayısı
