ID,Dec
1000000,18. sezonda tüm KR Ligi takımlarını mağlup et!
1000001,19 Bahar Sezonu'nda KR Ligi'nin tüm takımlarına karşı galip gel!
1000002,19. yaz sezonunda KR Ligi’nin tüm takımlarını mağlup et.
1000003,Tüm Multi Match 19 sezonu Top 10 takımlarını alt et!
1000004,20 Bahar sezonunda KR Ligi’nin bütün takımlarına galip gel!
1000005,20 Bahar sezonunda tüm EU Ligi takımlarını mağlup et.
1000006,20 Bahar sezonunda tüm NA Ligi takımlarını yen.
1000007,20 Yaz Sezonu'nda tüm KR Ligi takımlarını alt edin.
1000008,20 yaz sezonunda tüm EU Ligi takımlarını mağlup et.
1000009,20. Yaz sezonunda tüm NA LCS takımlarını alt edin.
1000010,Multi Match 20 sezonunun Top 10 takımlarını tümüyle yen.
1000011,21 Bahar Sezonu'nda tüm KR Ligi takımlarını mağlup et.
1000012,2021 bahar sezonunda tüm EU Ligi takımlarını alt et.
1000013,2021 Bahar sezonunda tüm NA Ligi takımlarını alt et.
1000014,Multi Match 21‑1 Sezonu Top 10 takımlarını yen.
1000015,Multi Match 21‑2 Sezonu Top 10 takımlarının tamamını yen.
1000016,2021 Bahar Sezonu'nda tüm CN Ligi takımlarını yen.
1000017,2021 yaz sezonunda KR Ligi’nin tüm takımlarını alt et.
1000018,2021 yaz sezonunda EU Ligi’nin tüm takımlarını mağlup et.
1000019,2021 yaz sezonunda tüm NA Ligi takımlarını mağlup et.
1000020,21 yaz sezonunda tüm CN Lig takımlarını mağlup et.
1000021,Multi Match 21‑3 sezonunun Top 10 takımlarını hepsini yen.
1000022,Tüm Multi Match 22‑1 Sezonu Top 10 takımlarını alt et.
1000023,22 Spring Split’te tüm KR League takımlarını mağlup et.
1000024,2022 Bahar Sezonu'nda tüm EU Ligi takımlarını alt et.
1000025,22 Bahar Sezonu'nda tüm NA Ligi takımlarına galip gel.
1000026,Multi Match 22‑2 sezonunun Top 10 takımlarını hepsini yen.
1000027,Multi Match 22‑3 Sezonu Top 10 takımlarını tamamen yen.
1000028,Multi Match 22‑4 sezonunun Top 10 takımlarının tamamını yen.
1000029,2022 Yaz Sezonunda tüm KR Ligi takımlarını yen.
1000030,2022 yaz sezonunda EU Ligi’nin tüm takımlarını mağlup et.
1000031,2022 yaz sezonunda tüm NA Ligi takımlarını mağlup et.
1000032,Tüm Multi Match 23‑1 Sezonu Top 10 takımlarını yen!
1000033,Multi Match 23‑2 sezonunun Top 10 takımlarının tamamını yen.
1000034,23 bahar sezonunda tüm KR Ligi takımlarını yen.
1000035,2023 İlkbahar sezonunda tüm EU Ligi takımlarını yen.
1000036,2023 bahar sezonunda tüm NA Ligi takımlarını yen.
1000037,Multi Match 23‑3 Sezonu Top 10 takımlarının tamamını yen.
1000038,23 yaz sezonunda tüm KR Ligi takımlarını yen.
1000039,2023 yaz sezonunda tüm EU Ligi takımlarını alt et.
1000040,2023 Yaz sezonunda tüm NA Ligi takımlarını alt et.
1000041,Multi Match 23‑4 Sezonu Top 10 takımlarını hepsini yen.
1000042,Tüm Multi Match 24‑1 Sezonu Top 10 takımlarını yen!
1000043,Tüm Multi Match 24‑2 Sezonu Top 10 takımlarını yen.
1000044,24 Bahar sezonunda tüm KR Ligi takımlarını mağlup et.
1000045,24 Bahar sezonunda tüm EU LEC takımlarını mağlup et.
1000046,24 Bahar Sezonu'nda tüm NA Ligi takımlarını yen.
1000047,Multi Match 24‑3 sezonunun Top 10 takımlarını alt et.
1000048,24 Yaz Sezonu'nda tüm KR Ligi takımlarını yen.
1000049,24 Yaz sezonunda tüm EU Ligi takımlarını yen.
1000050,24 Yaz sezonunda tüm NA Ligi takımlarını yen.
1000051,Tüm Multi Match 24‑4 sezonunun Top 10 takımlarını alt et.
1000052,Tüm Multi Match 25‑1 Sezonu Top 10 takımlarını yen.
1000053,Tüm Multi Match 25‑2 Sezonu Top 10 takımlarını yen.
1000054,25. Bahar sezonunda tüm KR Ligi takımlarını mağlup et.
1000055,25. bahar sezonunda tüm EU Ligi takımlarını mağlup et.
1000056,25. Spring sezonunda tüm NA Ligi takımlarını yen.
