ID,Name,Dec
1000,Phần thưởng đăng nhập hằng ngày,Phần thưởng đăng nhập hôm nay
1001,3 phần thưởng hàng ngày,Phần thưởng 3 trận hôm nay
1002,Đỡ đòn,Bạn có thể tài trợ cho nhà phát triển thông qua Twonation.
1003,Xem lại,Hãy xem xét lại và chúng tôi sẽ thưởng cho bạn.
1004,Đã hoàn thành hướng dẫn,Hoàn thành hướng dẫn
1005,Thành tựu hạng Bạc,Đạt hạng Bạc Multiplay
1006,Thành tựu hạng Vàng,Đạt hạng Vàng Multiplay
1007,Thành tựu Hạng Bạch Kim,Đạt hạng Platinum trong Multiplay
1008,Thành tựu hạng Kim Cương,Đạt hạng Kim Cương Multiplay
1009,Thành Tựu Hạng Thế Bậc Cao,Đạt cấp bậc Master Đa Người Chơi
1010,Thành tựu Challenger,Đạt hạng Challenger trên Multiplay
1011,Tướng Liên Minh,Đạt vị trí số một trong giải.
1012,Huy chương bạc,Giành vị trí nhì trong giải.
1013,Huy chương Đồng,Giành vị trí thứ ba tại giải.
1014,3 tướng,Giành 3 danh hiệu vô địch giải đấu
1015,3 huy chương bạc,Giành vị trí nhì trong ba giải đấu.
1016,3 huy chương đồng,Giành hạng 3 tại ba giải đấu
1017,5 tướng,Đạt 5 danh hiệu giải đấu
1018,5 huy chương bạc,Giành vị trí thứ hai tại năm giải.
1019,5 huy chương đồng,Giành vị trí thứ ba trong năm giải.
1020,Mùa đầu tiên,Hạn chót mùa đầu tiên
1021,Mùa 3,Hạn chót Mùa 3
1022,Mùa thứ năm,Hạn chót mùa thứ Năm
1023,Mùa 10,Hạn chót mùa giải thứ 10
1024,6 phần thưởng hàng ngày,Phần thưởng 6 Trận hôm nay
1025,Thành tựu hạng Bạc,Đạt hạng Bạc Multiplay
1026,Thành tựu hạng Vàng,Đạt hạng Vàng trong chế độ Đa người chơi
1027,Thành tựu Hạng Bạc (Platinum),Đạt hạng Platinum trong chế độ đa người chơi.
1028,Thành tựu Hạng Kim Cương,Đạt hạng Kim Cương Multiplay
1029,Thành Tích Hạng Thầu Đẳng Cấp,Đạt hạng Master trong chế độ Multiplay
1030,Thành tựu Challenger,Đạt hạng Challenger trong chế độ Multiplay
1031,Giới hạn trận đấu hằng ngày,Số trận đấu mỗi ngày mà bạn có thể nhận được Essence.
