ID,Name,Dec
1000,দৈনিক লগইন পুরষ্কার ,লগইন আজ পুরষ্কার 
1001,3 দৈনিক পুরষ্কার ,আজকের 3 ম্যাচের পুরষ্কার 
1002,সমর্থন ,আপনি দ্বিগুণ হয়ে বিকাশকারীকে স্পনসর করতে পারেন {
1003,পুনঃমূল্যায়ন,দয়া করে পর্যালোচনা করুন এবং আমরা আপনাকে পুরস্কৃত করব {
1004,টিউটোরিয়াল সম্পূর্ণ ,সম্পূর্ণ টিউটোরিয়াল 
1005,সিলভার র‌্যাঙ্ক অর্জন ,মাল্টিপ্লে সিলভার র‌্যাঙ্ক অর্জন করুন 
1006,সোনার র‌্যাঙ্ক অর্জন ,মাল্টিপ্লে সোনার র‌্যাঙ্ক অর্জন করুন 
1007,প্ল্যাটিনাম র‌্যাঙ্ক অর্জন ,মাল্টিপ্লে প্ল্যাটিনাম র‌্যাঙ্ক অর্জন করুন 
1008,ডায়মন্ড র‌্যাঙ্ক অর্জন ,মাল্টিপ্লে ডায়মন্ড র‌্যাঙ্ক অর্জন করুন 
1009,মাস্টার র‌্যাঙ্ক অর্জন ,মাল্টিপ্লে মাস্টার র‌্যাঙ্ক অর্জন করুন 
1010,চ্যালেঞ্জার অর্জন ,মাল্টিপ্লে চ্যালেঞ্জার র‌্যাঙ্ক অর্জন করুন 
1011,লীগ চ্যাম্পিয়ন ,লিগে প্রথম স্থান অর্জন করেছে 
1012,রৌপ্য পদক,লিগে দ্বিতীয় স্থান অর্জন করেছে 
1013,ব্রোঞ্জ পদক,লিগে তৃতীয় স্থান অর্জন করেছে 
1014,3 চ্যাম্পিয়নস ,3 লিগ শিরোনাম অর্জন করুন 
1015,3 রৌপ্য পদক ,তিনটি লিগে দ্বিতীয় স্থান অর্জন করেছে 
1016,3 ব্রোঞ্জ পদক ,তিনটি লিগে তৃতীয় স্থান অর্জন করেছে 
1017,5 চ্যাম্পিয়নস ,5 টি লিগের শিরোনাম অর্জন করুন 
1018,5 রৌপ্য পদক ,পাঁচটি লিগে দ্বিতীয় স্থান অর্জন করুন 
1019,5 ব্রোঞ্জ পদক ,পাঁচটি লিগে তৃতীয় স্থান অর্জন করুন 
1020,প্রথম মরসুম ,প্রথম মরসুমের সময়সীমা 
1021,তৃতীয় মরসুম ,তৃতীয় মরসুমের সময়সীমা 
1022,পঞ্চম মরসুম ,পঞ্চম মরসুমের সময়সীমা 
1023,দশম মরসুম ,10 তম মরসুমের সময়সীমা 
1024,6 দৈনিক পুরষ্কার ,আজকের 6 ম্যাচের পুরষ্কার 
1025,সিলভার র‌্যাঙ্ক অর্জন ,মাল্টিপ্লে সিলভার র‌্যাঙ্ক অর্জন করুন 
1026,সোনার র‌্যাঙ্ক অর্জন ,মাল্টিপ্লে সোনার র‌্যাঙ্ক অর্জন করুন 
1027,প্ল্যাটিনাম র‌্যাঙ্ক অর্জন ,মাল্টিপ্লে প্ল্যাটিনাম র‌্যাঙ্ক অর্জন করুন 
1028,ডায়মন্ড র‌্যাঙ্ক অর্জন ,মাল্টিপ্লে ডায়মন্ড র‌্যাঙ্ক অর্জন করুন 
1029,মাস্টার র‌্যাঙ্ক অর্জন ,মাল্টিপ্লে মাস্টার র‌্যাঙ্ক অর্জন করুন 
1030,চ্যালেঞ্জার অর্জন ,মাল্টিপ্লে চ্যালেঞ্জার র‌্যাঙ্ক অর্জন করুন 
1031,দৈনিক ম্যাচের সীমা ,প্রতিদিন ম্যাচের সংখ্যা যেখানে আপনি এসেন্স পেতে পারেন 
