ID,Dec
1000000,18 মরসুমে সমস্ত কেআর লিগ দলকে পরাজিত করুন {
1000001,19 বসন্তের মরসুমে সমস্ত কেআর লিগ দলকে পরাজিত করুন {
1000002,19 গ্রীষ্মের মরসুমে সমস্ত কেআর লীগ দলকে পরাজিত করুন {
1000003,সমস্ত মাল্টি ম্যাচ 19 মরসুমের শীর্ষ 10 টি দলকে পরাজিত করুন {
1000004,20 বসন্তের মরসুমে সমস্ত কেআর লিগ দলকে পরাজিত করুন {
1000005,20 বসন্ত মরসুমে সমস্ত ইইউ লীগ দলকে পরাজিত করুন 
1000006,20 বসন্তের মরসুমে সমস্ত এনএ লীগ দলকে পরাজিত করুন {
1000007,20 গ্রীষ্মের মরসুমে সমস্ত কেআর লীগ দলকে পরাজিত করুন {
1000008,20 গ্রীষ্মের মরসুমে সমস্ত ইইউ লীগ দলকে পরাজিত করুন {
1000009,20 গ্রীষ্মের মরসুমে সমস্ত এনএ লীগ দলকে পরাজিত করুন {
1000010,সমস্ত মাল্টি ম্যাচ 20 মরসুমের শীর্ষ 10 টি দলকে পরাজিত করুন {
1000011,21 বসন্তের মরসুমে সমস্ত কেআর লীগ দলকে পরাজিত করুন {
1000012,21 বসন্তের মরসুমে সমস্ত ইইউ লীগ দলকে পরাজিত করুন {
1000013,21 বসন্তের মরসুমে সমস্ত এনএ লীগ দলকে পরাজিত করুন {
1000014,সমস্ত মাল্টি ম্যাচ 21-1 মরসুমের শীর্ষ 10 টি দলকে পরাজিত করুন {
1000015,সমস্ত মাল্টি ম্যাচ 21-2 মরসুমের শীর্ষ 10 টি দলকে পরাজিত করুন {
1000016,21 বসন্তের মরসুমে সমস্ত সিএন লীগ দলকে পরাজিত করুন 
1000017,21 গ্রীষ্মের মরসুমে সমস্ত কেআর লীগ দলকে পরাজিত করুন {
1000018,21 গ্রীষ্মের মরসুমে সমস্ত ইইউ লীগ দলকে পরাজিত করুন {
1000019,21 গ্রীষ্মের মরসুমে সমস্ত এনএ লীগ দলকে পরাজিত করুন {
1000020,21 গ্রীষ্মের মরসুমে সমস্ত সিএন লীগ দলকে পরাজিত করুন 
1000021,সমস্ত মাল্টি ম্যাচ 21-3 মরসুমের শীর্ষ 10 টিমকে পরাজিত করুন {
1000022,সমস্ত মাল্টি ম্যাচ 22-1 মরসুমের শীর্ষ 10 টি দলকে পরাজিত করুন {
1000023,22 বসন্তের মরসুমে সমস্ত কেআর লীগ দলকে পরাজিত করুন {
1000024,22 বসন্তের মরসুমে সমস্ত ইইউ লীগ দলকে পরাজিত করুন 
1000025,22 বসন্তের মরসুমে সমস্ত এনএ লীগ দলকে পরাজিত করুন {
1000026,সমস্ত মাল্টি ম্যাচ 22-2 মরসুমের শীর্ষ 10 টি দলকে পরাজিত করুন {
1000027,সমস্ত মাল্টি ম্যাচ 22-3 মরসুমের শীর্ষ 10 টিমকে পরাজিত করুন {
1000028,সমস্ত মাল্টি ম্যাচ 22-4 মরসুমের শীর্ষ 10 টিমকে পরাজিত করুন {
1000029,22 গ্রীষ্মের মরসুমে সমস্ত কেআর লিগ দলকে পরাজিত করুন {
1000030,22 গ্রীষ্মের মরসুমে সমস্ত ইইউ লীগ দলকে পরাজিত করুন {
1000031,22 গ্রীষ্মের মরসুমে সমস্ত এনএ লীগ দলকে পরাজিত করুন {
1000032,সমস্ত মাল্টি ম্যাচ 23-1 মরসুমের শীর্ষ 10 টি দলকে পরাজিত করুন {
1000033,সমস্ত মাল্টি ম্যাচ 23-2 মরসুমের শীর্ষ 10 টি দলকে পরাজিত করুন {
1000034,23 বসন্তের মরসুমে সমস্ত কেআর লিগ দলকে পরাজিত করুন {
1000035,23 বসন্তের মরসুমে সমস্ত ইইউ লীগ দলকে পরাজিত করুন {
1000036,23 বসন্তের মরসুমে সমস্ত এনএ লীগ দলকে পরাজিত করুন {
1000037,সমস্ত মাল্টি ম্যাচ 23-3 মরসুমের শীর্ষ 10 টিমকে পরাস্ত করুন {
1000038,23 গ্রীষ্মের মরসুমে সমস্ত কেআর লিগ দলকে পরাজিত করুন {
1000039,23 গ্রীষ্মের মরসুমে সমস্ত ইইউ লীগ দলকে পরাজিত করুন {
1000040,23 গ্রীষ্মের মরসুমে সমস্ত এনএ লীগ দলকে পরাজিত করুন {
1000041,সমস্ত মাল্টি ম্যাচ 23-4 মরসুমের শীর্ষ 10 টিমকে পরাজিত করুন {
1000042,সমস্ত মাল্টি ম্যাচ 24-1 মরসুমের শীর্ষ 10 টি দলকে পরাজিত করুন {
