ID,Name,Dec
1000.0,সোনার নিয়োগ,81 এর উপরে সম্মিলিত স্ট্যাটাসহ 1 এলোমেলো প্লেয়ার নিয়োগ করুন।
1001.0,সোনার প্যাকেজ,81 এর উপরে সম্মিলিত স্ট্যাটাস সহ 5 টি এলোমেলো খেলোয়াড় নিয়োগ করুন।
1002.0,প্লেয়ার নিয়োগ,1 এলোমেলো প্লেয়ার নিয়োগ করুন।
1003.0,রৌপ্য নিয়োগ,76 এর উপরে সম্মিলিত স্ট্যাটাসহ 1 এলোমেলো প্লেয়ার নিয়োগ করুন।
1004.0,সোনার নিয়োগ,81 এর উপরে সম্মিলিত স্ট্যাটাসহ 1 এলোমেলো প্লেয়ার নিয়োগ করুন।
1005.0,প্ল্যাটিনাম নিয়োগ,84 বা তার বেশি সম্মিলিত জিপিএ সহ 1 এলোমেলো প্লেয়ারকে নিয়োগ করুন।
1006.0,বেসিক প্যাকেজ,5 এলোমেলো খেলোয়াড় নিয়োগ করুন।
1007.0,সিলভার প্যাকেজ,76 এর উপরে সম্মিলিত স্ট্যাটাস সহ 5 টি এলোমেলো খেলোয়াড় নিয়োগ করুন।
1008.0,সোনার প্যাকেজ,81 এর উপরে সম্মিলিত স্ট্যাটাস সহ 5 টি এলোমেলো খেলোয়াড় নিয়োগ করুন।
1009.0,প্ল্যাটিনাম প্যাকেজ,84 বা তার বেশি সম্মিলিত জিপিএ সহ 5 টি এলোমেলো খেলোয়াড় নিয়োগ করুন।
1010.0,2021season নিয়োগ,21 এসপিআর -21 সুম মরসুম থেকে 1 এলোমেলো প্লেয়ার নিয়োগ করুন।
1011.0,2021sessason প্যাকেজ, (সীমাবদ্ধতা সহ নয়)
1012.0,2022season নিয়োগ,21 এসপিআর -21 সুম মরসুম থেকে 5 টি র্যান্ডম প্লেয়ার নিয়োগ করুন।
1013.0,2022season প্যাকেজ, (সীমাবদ্ধতা সহ নয়)
1014.0,2023season নিয়োগ,22 এসপিআর -22 সুম মরসুম থেকে 1 টি এলোমেলো প্লেয়ার নিয়োগ করুন।
1015.0,2023season প্যাকেজ, (সীমাবদ্ধতা সহ নয়)
1016.0,আগের মরসুম নিয়োগ,22 এসপিআর -22 সুম মরসুম থেকে 5 টি র্যান্ডম প্লেয়ার নিয়োগ করুন।
1017.0,আগের মরসুম প্যাকেজ, (সীমাবদ্ধতা সহ নয়)
1018.0,কোচ নিয়োগ,23 এসপিআর -23 সুম মরসুম থেকে 1 এলোমেলো প্লেয়ার নিয়োগ করুন।
1019.0,দলের নাম পরিবর্তন করুন, (সীমাবদ্ধতা সহ নয়)
