ID,Name,Dec
1000,المكافأة تسجيل الدخول اليومي,تسجيل الدخول اليوم المكافأة
1001,3 مكافآت يومية,اليوم 3 مكافآت المباراة
1002,الدعم,يمكنك رعاية المطور من خلال التقديم.
1003,إعادة النظر,يرجى مراجعة وسوف نكفادك.
1004,البرنامج التعليمي الكامل,البرنامج التعليمي الكامل
1005,الإنجازات الفضية,تحقيق رتبة فضي متعددة
1006,الإنجازات الذهبية,تحقيق مرتبة الذهب متعددة اللاعب
1007,الإنجاز البلاتيني,تحقيق رتبة بلاتينيوم متعددة
1008,الإنجاز الماس,تحقيق رتبة الماس المتعددة
1009,إنجاز الرتبة الرئيسية,تحقيق مرتبة رئيسية متعددة
1010,إنجاز تشالنجر,تحقيق مرتبة متعددة تشالنجر
1011,بطل الدوري,حقق المركز الأول في الدوري
1012,ميدالية فضية,حقق المركز الثاني في الدوري
1013,الميدالية البرونزية,حقق المركز الثالث في الدوري
1014,3 أبطال,تحقيق 3 ألقاب الدوري
1015,3 ميداليات فضية,حقق المركز الثاني في ثلاث بطولات الدوري
1016,3 ميداليات برونزية,حقق المركز الثالث في ثلاث بطولات
1017,5 أبطال,تحقيق 5 ألقاب الدوري
1018,5 ميداليات فضية,تحقيق المركز الثاني في خمسة بطولات الدوري
1019,5 ميداليات برونزية,تحقيق المركز الثالث في خمس بطولات الدوري
1020,الموسم الأول,الموعد النهائي الموسم الأول
1021,الموسم الثالث,الموعد النهائي للموسم الثالث
1022,الموسم الخامس,الموعد النهائي الموسم الخامس
1023,الموسم العاشر,الموعد النهائي الموسم العاشر
1024,6 مكافآت يومية,اليوم 6 مباراة مكافآت
1025,الإنجازات الفضية,تحقيق رتبة فضي متعددة
1026,الإنجازات الذهبية,تحقيق مرتبة الذهب متعددة اللاعب
1027,الإنجاز البلاتيني,تحقيق رتبة بلاتينيوم متعددة
1028,الإنجاز الماس,تحقيق رتبة الماس المتعددة
1029,إنجاز الرتبة الرئيسية,تحقيق مرتبة رئيسية متعددة
1030,إنجاز تشالنجر,تحقيق مرتبة متعددة تشالنجر
1031,حد المباراة اليومية,عدد المباريات يوميا حيث يمكنك الحصول على جوهر
