teamID,Dec
1000000,هزيمة جميع فرق الدوري KR في الموسم 18.
1000001,هزيمة جميع فرق الدوري KR في 19 الربيع في موسم الربيع.
1000002,هزيمة جميع فرق الدوري KR في موسم الصيف 19.
1000003,هزيمة جميع فرق مباراة متعددة المباراة
1000004,هزيمة جميع فرق الدوري KR في موسم الربيع 20.
1000005,هزيمة جميع فرق الدوري الأوروبي في موسم الربيع 20.
1000006,هزيمة جميع فرق الدوري الناجي في موسم الربيع 20.
1000007,هزيمة جميع فرق الدوري KR في موسم الصيف 20.
1000008,هزيمة جميع فرق الدوري الأوروبي في موسم الصيف 20.
1000009,هزيمة جميع فرق الدوري الناجي في موسم الصيف 20.
1000010,هزيمة جميع فرق المباراة متعددة المباراة 20 مباراة.
1000011,هزيمة جميع فرق الدوري KR في موسم الربيع 20.
1000012,هزيمة جميع فرق الدوري الأوروبي في موسم الربيع 20.
1000013,هزيمة جميع فرق الدوري الناجي في موسم الربيع 20.
1000014,هزيمة جميع فرق مباراة متعددة المباراة 20-1.
