ID,Dec
10000,مرحبا. سعيد بلقائك.
10001,بدعم من المدير} خلق فريقا جديدا في الدوري الرول.
10002,يرجى تذكر فريقك أولا.
10003,دعنا نجعل فريق AAA في التاريخ.
10004,هذا هو أول مباراة في الدوري.
10005,هنا يمكنك أن ترى معلومات فريقنا والفرق الأخرى قبل المباراة.
10006,لدى الفريق الحالي بالفعل لاعب مشترك.
10007,لكنك تحتاج إلى الكثير من اللاعبين للفوز.
10008,دعنا نحصل على لاعب جديد أولا قبل المباراة.
10009,اضغط على سوق التوظيف
10010,يمكنك تجنيد لاعبين جدد لديهم جوهر لديك في سوق التوظيف.
10011,دعونا استئجار لاعب جديد مع جوهر لدينا الآن.
10012,اضغط على زر شراء المشغلات.
10013,لدينا لاعب جديد.
10014,الفريق لا يزال غير قابل للتنافسية. دعونا استئجار لاعب أفضل لتحسين قدرتنا التنافسية لدينا.
10015,لا يوجد جوهر كاف لتجنيد لاعب جيد. في هذه الحالة} يمكنك الحصول على رقم صحيح باستخدام الراعي.
10016,عرض جميع إعلانات الفيديو الراعية} لكسب المكافآت.
10017,في البداية} إعلانات متميزة مستعدة خصيصا لاستلام مكافآت أكثر بنسبة 50٪.
10018,الصحافة الإعلان برعاية.
10019,أرسلنا رعايتا عددا صحيحا. الآن دعونا الحصول على لاعب جديد مع هذا صحيح.
10020,يرجى الضغط على زر الشراء.
10021,لدينا لاعب جديد.
10022,الآن دعونا نحاول لاعب جديد.
10023,اضغط على زر إدارة المشغل.
10024,في إدارة المشغل}، يمكنك تحديد مشغل مرشح.
10025,اضغط على زر Swap لتجربة المرشح.
10026,سيؤدي الضغط على استبدال اللاعب المحدد إلى تشغيل لاعب بدء التشغيل وسيتم ترشيح اللاعب الموجود.
10027,أيضا} اعتمادا على تكوين المبتدئين} يمكن الحصول على تأثيرات إضافية.
10028,اضغط الزر
10029,يمكنك العثور على معلومات حول تيم كيميائي هنا.
10030,يمكنك جعل فريقك أقوى من خلال مطابقة كيمياء مختلفة مثل النوع والفريق.
10031,اضغط X للخروج.
10032,الآن دعنا نغير اللاعب الذي ليس مطلوبا لاعب آخر.
10033,حاول الضغط على إعادة التركيب.
10034,هنا يمكنك استبدال أربعة مرشحين مع لاعبين جدد.
10035,مؤقتا أعطيت أربعة لاعبين. دعونا إعادة تجميع هؤلاء اللاعبين.
10036,"اضغط على الزر ""إضافة""."
10037,"اضغط على الزر ""إضافة""."
10038,"اضغط على الزر ""إضافة""."
10039,"اضغط على الزر ""إضافة""."
10040,ضع جميع اللاعبين الثلاثة. الآن دعنا نتغير إلى لاعب جديد.
10041,يمكنك التحقق من معلومات قدرة اللاعب من معلومات التوظيف.
10042,الآن الحصول على اللاعب.
10043,حاول الضغط على إعادة التركيب.
10044,بهذه الطريقة يمكنك استبدال اللاعبين الموجودين مع لاعبين جدد.
10045,الآن دعونا نلعب مع هؤلاء اللاعبين.
10046,اضغط على زر التطابق
10047,اضغط على زر تقدم اللعبة.
10048,بدأت اللعبة.
10049,دعونا نثق في اللاعبين ومشاهدة اللعبة.
10050,مثل هذا} عند انتهاء اللعبة}، يمكنك الحصول على الخبرة والأعداد الصحيحة.
10051,لا يمكن الحصول على جوهر إذا تم تجاوز حد التطابق اليومي.
10052,اضغط على زر متابعة للخروج من الملعب.
10053,انتهت اللعبة الأولى.
10054,اللاعبون مهمون للفوز} لكن استراتيجية المدير مهمة أيضا.
10055,اضغط على زر الاستراتيجية.
10056,إعداد سريع يجعل من السهل إعداد استراتيجيات رئيسية.
10057,التوازن هو الآن الاستراتيجية الأساسية.
10058,دعنا نغير الإعدادات.
10059,انقر فوق الخط / إدارة.
10060,تطابق / عملية الخط هي استراتيجية تنهي اللعبة عن طريق تشغيل المكاسب التي ينظر إليها في مباراة خط.
10061,دعنا نغير استراتيجية عملية خط الخط.
10062,اضغط على زر الإعدادات
10063,لقد تغيرت استراتيجية الفريق الآن مع خط إلى المدى.
10064,هذا الإعداد السريع يجعل من السهل تغيير استراتيجية فريقك.
10065,يمكن تعيين إعدادات مفصلة عبر التعليمات و Pickvan.
10066,الآن دعونا اختبار استراتيجيتنا.
10067,اضغط على زر التطابق
10068,دعونا نرى كيفية استخدام عناصر المباراة قبل المتابعة إلى المباراة.
10069,! اضغط الزر.
10070,سمعت عن عنصر تجربة إضافية بنسبة 10٪ كهدية.
10071,يرجى التحقق من الاستخدام.
10072,إذا قمت بفحص الاستخدام، فسوف تستخدم العنصر المقابل في المباريات المستقبلية.
10073,إذا كانت هناك عناصر متعددة، يمكنك التحقق من السيارات لاستخدام العناصر تلقائيا.
10074,لا يمكن استخدام عناصر من نفس النوع مرارا وتكرارا.
10075,اضغط X للخروج.
10076,الآن دعنا نتحقق من الاستراتيجيات والعناصر.
10077,اضغط على زر تقدم اللعبة
10078,بعد هذه المباراة، ارتفع مستوى المدير.
10079,كما يزيد مستوى المدير، تحصل على جوهر إضافي مثل هذا.
10080,يمكنك الحصول على خلاصات إضافية من مستوى المدير بغض النظر عن حد المباراة اليومية.
