ID,Name,Dec
1000,দৈনিক লগইন পুরস্কার,লগইন আজ পুরস্কার
1001,3 দৈনিক পুরষ্কার,আজকের 3 ম্যাচ পুরষ্কার
1002,সমর্থন,আপনি twonation মাধ্যমে বিকাশকারী স্পনসর করতে পারেন।
1003,পুনঃমূল্যায়ন,পর্যালোচনা করুন এবং আমরা আপনাকে পুরস্কৃত করা হবে।
1004,টিউটোরিয়াল সম্পূর্ণ,সম্পূর্ণ টিউটোরিয়াল
1005,সিলভার র্যাঙ্ক কৃতিত্ব,মাল্টিপ্লে রৌপ্য র্যাঙ্ক অর্জন
1006,গোল্ড র্যাঙ্ক কৃতিত্ব,মাল্টিপ্লে গোল্ড র্যাঙ্ক অর্জন করুন
1007,প্ল্যাটিনাম র্যাঙ্ক অর্জন,মাল্টিপ্লে প্ল্যাটিনাম র্যাঙ্ক অর্জন
1008,ডায়মন্ড র্যাঙ্ক অর্জন,মাল্টিপ্লে ডায়মন্ড র্যাঙ্ক অর্জন করুন
1009,মাস্টার র্যাঙ্ক কৃতিত্ব,মাল্টিপ্লে মাস্টার র্যাঙ্ক অর্জন করুন
1010,চ্যালেঞ্জার কৃতিত্ব,মাল্টিপ্লে চ্যালেঞ্জার র্যাঙ্ক অর্জন
1011,লীগ চ্যাম্পিয়ন,লীগে প্রথম স্থান অর্জন
1012,রৌপ্য পদক,লীগে দ্বিতীয় স্থান অর্জন
1013,ব্রোঞ্জ পদক,লীগে তৃতীয় স্থান অর্জন
1014,3 চ্যাম্পিয়নস,3 লীগ শিরোনাম অর্জন
1015,3 রৌপ্য পদক,তিন লীগ মধ্যে দ্বিতীয় স্থান অর্জন
1016,3 ব্রোঞ্জ পদক,তিন লীগ মধ্যে তৃতীয় স্থান অর্জন
1017,5 চ্যাম্পিয়নস,5 লীগ শিরোনাম অর্জন
1018,5 রৌপ্য পদক,পাঁচ লীগ মধ্যে দ্বিতীয় স্থান অর্জন
1019,5 ব্রোঞ্জ পদক,পাঁচটি লীগে তৃতীয় স্থান অর্জন করুন
1020,প্রথম ঋতু,প্রথম ঋতু সময়সীমা
1021,তৃতীয় ঋতু,তৃতীয় ঋতু সময়সীমা
1022,পঞ্চম ঋতু,পঞ্চম ঋতু সময়সীমা
1023,দশম ঋতু,10 তম ঋতু সময়সীমা
1024,6 দৈনিক পুরস্কার,আজকের 6 টি ম্যাচ পুরষ্কার
1025,সিলভার র্যাঙ্ক কৃতিত্ব,মাল্টিপ্লে রৌপ্য র্যাঙ্ক অর্জন
1026,গোল্ড র্যাঙ্ক কৃতিত্ব,মাল্টিপ্লে গোল্ড র্যাঙ্ক অর্জন করুন
1027,প্ল্যাটিনাম র্যাঙ্ক অর্জন,মাল্টিপ্লে প্ল্যাটিনাম র্যাঙ্ক অর্জন
1028,ডায়মন্ড র্যাঙ্ক অর্জন,মাল্টিপ্লে ডায়মন্ড র্যাঙ্ক অর্জন করুন
1029,মাস্টার র্যাঙ্ক কৃতিত্ব,মাল্টিপ্লে মাস্টার র্যাঙ্ক অর্জন করুন
1030,চ্যালেঞ্জার কৃতিত্ব,মাল্টিপ্লে চ্যালেঞ্জার র্যাঙ্ক অর্জন
1031,দৈনিক ম্যাচ সীমা,আপনি সারাংশ পেতে পারেন যেখানে প্রতি ম্যাচ সংখ্যা
