teamID,Dec
1000000,18 মৌসুমে সব কেআর লীগ দলকে পরাজিত করুন।
1000001,19 বসন্ত মৌসুমে সব কেআর লীগ দলকে পরাজিত করুন।
1000002,19 গ্রীষ্মকালীন মৌসুমে সব কেআর লীগ দলকে পরাজিত করুন।
1000003,19 ঋতু শীর্ষ 10 টিম সব মাল্টি ম্যাচটি পরাজিত করুন।
1000004,২0 বসন্তের মৌসুমে সব কেআর লীগ দলকে পরাজিত করুন।
1000005,২0 বসন্ত মৌসুমে সব ইইউ লীগ দলকে পরাজিত করুন।
1000006,২0 বসন্তের মৌসুমে সব না লীগ দলকে পরাজিত করুন।
1000007,২0 গ্রীষ্মকালীন মৌসুমে সব কেআর লীগ দলকে পরাজিত করুন।
1000008,২0 গ্রীষ্মকালীন মৌসুমে সব ইইউ লীগ দলকে পরাজিত করুন।
1000009,২0 গ্রীষ্মকালীন মৌসুমে সব এনএ লীগ দলকে পরাজিত করুন।
1000010,সব মাল্টি ম্যাচ 20 ঋতু শীর্ষ 10 টি দল পরাজিত।
1000011,২0 বসন্তের মৌসুমে সব কেআর লীগ দলকে পরাজিত করুন।
1000012,২0 বসন্ত মৌসুমে সব ইইউ লীগ দলকে পরাজিত করুন।
1000013,২0 বসন্তের মৌসুমে সব না লীগ দলকে পরাজিত করুন।
1000014,সব মাল্টি ম্যাচ 21-1 ঋতু শীর্ষ 10 টি দলকে পরাজিত করুন।
1000015,সমস্ত মাল্টি ম্যাচ 21-2 ঋতু শীর্ষ 10 টি দলকে পরাজিত করুন।
