ID,Dec
10000,ওহে. তোমার সাথে দেখা করে ভালো লাগলো.
10001,ম্যানেজার সমর্থনের সাথে} তিনি রোল লীগে একটি নতুন দল তৈরি করেছিলেন।
10002,আপনার দলের প্রথম নাম দয়া করে।
10003,আসুন ইতিহাসে এএএ দল তৈরি করি।
10004,এই লীগ এর প্রথম ম্যাচ।
10005,এখানে আপনি আমাদের দলের এবং অন্যান্য দলের তথ্যের তথ্য দেখতে পারেন।
10006,বর্তমান দল ইতিমধ্যে একটি প্লেয়ার সাইন আপ করেছে।
10007,কিন্তু আপনি জয় করার জন্য অনেক খেলোয়াড় প্রয়োজন।
10008,আসুন ম্যাচ আগে প্রথম একটি নতুন প্লেয়ার পেতে।
10009,নিয়োগ বাজার আলতো চাপুন
10010,আপনি নিয়োগের বাজারে আপনার সারাংশের সাথে নতুন খেলোয়াড় নিয়োগ করতে পারেন।
10011,আসুন আমরা এখন আমাদের কাছে একটি নতুন প্লেয়ার ভাড়া করি।
10012,কিনতে খেলোয়াড় বাটন টিপুন।
10013,আমরা একটি নতুন প্লেয়ার আছে।
10014,দল এখনও প্রতিযোগিতামূলক নয়। আসুন আমাদের প্রতিযোগিতামূলক উন্নতি করার জন্য একটি ভাল প্লেয়ার ভাড়া করি।
10015,একটি ভাল প্লেয়ার নিয়োগ করার জন্য যথেষ্ট সারাংশ নেই। এই ক্ষেত্রে} আপনি একটি স্পনসর ব্যবহার করে একটি সম্পূর্ণ নম্বর পেতে পারেন।
10016,পুরষ্কার উপার্জন করতে সমস্ত স্পনসর 'ভিডিও বিজ্ঞাপন} দেখুন।
10017,প্রাথমিকভাবে} পৃষ্ঠপোষক বিজ্ঞাপনগুলি বিশেষভাবে 50% বেশি পুরষ্কার পেতে প্রস্তুত।
10018,স্পনসর বিজ্ঞাপন প্রেস।
10019,স্পনসর আমাদের একটি পূর্ণসংখ্যা পাঠানো। এখন এই পূর্ণসংখ্যা সঙ্গে একটি নতুন প্লেয়ার পেতে দিন।
10020,ক্রয় বাটন টিপুন দয়া করে।
10021,আমরা একটি নতুন প্লেয়ার আছে।
10022,এখন আসুন একটি নতুন প্লেয়ার চেষ্টা করুন।
10023,প্লেয়ার ম্যানেজমেন্ট বাটন টিপুন।
10024,প্লেয়ার ম্যানেজমেন্ট} আপনি একটি প্রার্থী প্লেয়ার নির্বাচন করতে পারেন।
10025,প্রার্থী চেষ্টা করার জন্য SWAP বোতাম টিপুন।
10026,প্রতিস্থাপন প্রতিস্থাপন নির্বাচিত প্লেয়ার একটি শুরু প্লেয়ার এবং বিদ্যমান প্লেয়ার মনোনীত করা হবে।
10027,এছাড়াও} প্রারম্ভিক রচনা উপর নির্ভর করে} অতিরিক্ত প্রভাব প্রাপ্ত করা যেতে পারে।
10028,বাটনটি চাপুন
10029,আপনি এখানে টিম কেমি সম্পর্কে তথ্য খুঁজে পেতে পারেন।
10030,আপনি টাইপ এবং টিম হিসাবে বিভিন্ন chemistries মিলিয়ে আপনার দল শক্তিশালী করতে পারেন।
10031,প্রস্থান করার জন্য এক্স টিপুন।
10032,এখন অন্য খেলোয়াড়ের প্রয়োজন নেই এমন প্লেয়ারটি পরিবর্তন করুন।
10033,Recombination টিপে চেষ্টা করুন।
10034,এখানে আপনি নতুন খেলোয়াড়দের সাথে চার প্রার্থী প্রতিস্থাপন করতে পারেন।
10035,সাময়িকভাবে আমি চার খেলোয়াড় দিয়েছেন। আসুন এই খেলোয়াড়দের recombine।
10036,যোগ বাটন টিপুন।
10037,যোগ বাটন টিপুন।
10038,যোগ বাটন টিপুন।
10039,যোগ বাটন টিপুন।
10040,সব তিন খেলোয়াড় রাখুন। এখন একটি নতুন প্লেয়ার পরিবর্তন করা যাক।
10041,আপনি নিয়োগ তথ্য থেকে প্লেয়ার এর ক্ষমতা তথ্য চেক করতে পারেন।
10042,এখন প্লেয়ার পেতে।
10043,Recombination টিপে চেষ্টা করুন।
