ID,Name,Dec
1000.0,Recruitment Emas.,Rekrut 1 pemain rawak dengan stat yang digabungkan di atas 81.
1001.0,Pakej Emas.,Rekrut 5 pemain rawak dengan stat yang digabungkan di atas 81.
1002.0,Pengambilan pemain.,Rekrut 1 pemain rawak.
1003.0,Perak Recruitment.,Rekrut 1 pemain rawak dengan statistik gabungan di atas 76.
1004.0,Recruitment Emas.,Rekrut 1 pemain rawak dengan stat yang digabungkan di atas 81.
1005.0,Platinum Recruitment.,Rekrut 1 pemain rawak dengan gabungan GPA 84 atau lebih tinggi.
1006.0,Pakej Asas,Rekrut 5 pemain rawak.
1007.0,Pakej perak,Rekrut 5 pemain rawak dengan statistik gabungan di atas 76.
1008.0,Pakej Emas.,Rekrut 5 pemain rawak dengan stat yang digabungkan di atas 81.
1009.0,Pakej Platinum.,Rekrut 5 pemain rawak dengan GPA gabungan 84 atau lebih tinggi.
1010.0,Pengambilan 2021Season.,Rekrut 1 pemain rawak dari musim 21SPR-21SUM.
1011.0,2021Season Package., (Tidak termasuk had)
1012.0,Perekrutan musim sebelumnya.,Rekrut 5 pemain rawak dari musim 21SPR-21SUM.
1013.0,Pakej musim terdahulu, (Tidak termasuk had)
1014.0,Tuyển dụng mùa trước,5 cầu thủ ngẫu nhiên từ mùa giải 18-20sum được tuyển dụng.
1015.0,Gói mùa trước, (Không bao gồm giới hạn)
1016.0,Huấn luyện viên tuyển dụng,Một cầu thủ ngẫu nhiên từ mùa giải 18-20sum được tuyển dụng.
1017.0,Thay đổi tên nhóm, (Không bao gồm giới hạn)
1016.0,更改團隊名稱,更改您的團隊名稱。
1017.0,更改團隊名稱,更改您的團隊名稱。
1012.0,Takım adını değiştir,Takım adınızı değiştirin.
1013.0,Takım adını değiştir,Takım adınızı değiştirin.
1012.0,Tuyển dụng mùa trước,Một cầu thủ ngẫu nhiên từ mùa giải 18-20sum được tuyển dụng.
1013.0,Gói mùa trước, (Không bao gồm giới hạn)
