ID,Dec
10000,你好。很高興見到你。
10001,通過支持經理}他在卷聯賽中創造了一支新的團隊。
10002,請先命名您的團隊。
10003,讓我們成為歷史的AAA團隊。
10004,這是聯盟的第一場比賽。
10005,在這裡，您可以在比賽前查看我們團隊和其他團隊的信息。
10006,目前的團隊已經有一名球員註冊。
10007,但是你需要很多玩家贏得。
10008,讓我們在比賽前先獲得一個新的球員。
10009,點擊招聘市場
10010,您可以用您在招聘市場中招募新的球員。
10011,讓我們聘請一個新的球員，以我們現在的本質為本。
10012,按“購買播放器”按鈕。
10013,我們有一個新的球員。
10014,該團隊仍然沒有競爭力。讓我們聘請更好的球員來提高競爭力。
10015,還有足夠的精華來招募一個好玩家。在本案中，您可以使用贊助商獲取整個數字。
10016,查看所有贊助商的視頻廣告}賺取獎勵。
10017,最初}贊助廣告專門準備收到50％的獎勵。
10018,新聞贊助廣告。
10019,贊助商向我們發送了一個整數。現在讓我們通過這個整數來獲得一個新的播放器。
10020,請按採購按鈕。
10021,我們有一個新的球員。
10022,現在讓我們嘗試一名新手。
10023,按播放器管理按鈕。
10024,在玩家管理}中，您可以選擇候選播放器。
10025,按SWAP按鈕試用候選人。
10026,按Replace將使所選播放器成為起始播放器和現有播放器將被提名。
10027,此外，取決於啟動器的組成}可以獲得其他效果。
10028,按下按鈕
10029,您可以在此處找到有關Tim Chemie的信息。
10030,您可以通過匹配類型和團隊等不同的化學物質使您的團隊更強大。
10031,按X退出。
10032,現在讓我們改變另一名球員不需要的球員。
10033,嘗試按重組。
10034,在這裡，您可以用新玩家替換四個候選人。
10035,暫時我給了四名球員。讓我們重組這些球員。
10036,按“添加”按鈕。
10037,按“添加”按鈕。
10038,按“添加”按鈕。
10039,按“添加”按鈕。
10040,把所有三名球員都放了一下。現在讓我們改變新手。
10041,您可以從招聘信息檢查玩家的能力信息。
10042,現在得到播放器。
10043,嘗試按重組。
10044,這樣你就可以用新的球員替換現有的玩家。
10045,現在讓我們玩這些球員。
10046,按匹配按鈕
10047,按下游戲進度按鈕。
10048,遊戲已經開始。
10049,讓我們相信玩家並觀看遊戲。
10050,就像這個遊戲結束時，你可以獲得體驗和整數。
10051,如果超過日常匹配限制，則無法獲得本質。
10052,按“繼續”按鈕退出體育場。
10053,第一場比賽結束了。
10054,玩家對獲勝很重要}但經理戰略也很重要。
10055,按策略按鈕。
10056,快速設置可以輕鬆設置關鍵策略。
10057,平衡現在是基本策略。
10058,讓我們更改設置。
10059,單擊“行/管理”。
10060,線匹配/操作是一種通過操作在線匹配中看到的增益來結束遊戲的策略。
10061,讓我們將策略更改為線路操作。
10062,按“設置”按鈕
10063,該團隊的策略現在已經改變了往日。
10064,此快速設置使您可以輕鬆更改團隊的策略。
10065,可以通過說明和拾取器設置詳細設置。
10066,現在讓我們來測試我們的策略。
10067,按匹配按鈕
10068,讓我們看看如何在進行匹配之前使用匹配項。
10069,！！按下按鈕。
10070,我聽到了一個10％的經驗項目作為禮物。
10071,請檢查使用。
10072,如果您檢查使用，您將在將來的匹配中使用相應的項目。
10073,如果有多個項目，可以檢查Auto自動使用該項目。
10074,不能重複使用相同類型的項目。
10075,按X退出。
10076,現在讓我們看看策略和物品。
10077,按下游戲進度按鈕
10078,在這場比賽之後，經理的級別已經上升了。
10079,隨著經理水平的增加，您可以獲得這樣的額外的本質。
10080,無論每日匹配限制如何，您都可以從經理級別獲取額外的本質。
10081,按“繼續”按鈕退出體育場。
10082,一些球員通過在這場比賽中獲得經驗已經升級。
10083,升級的球員可以增加他們的統計數據。
10084,新聞播放器管理。
10085,升級的運動員在水平上有一個箭頭標記。
10086,點按播放器的級別以提高統計數據。
10087,在這裡，您可以按積分增加所需的統計數據。
10088,您可以通過點擊所需的統計數據的箭頭來增加Stat。
10089,點擊您所需的統計數據並點擊決定。
10090,這將增加玩家的能力。
10091,按X退出。
10092,運動員可以通過平衡和加強這樣更強。
10093,讓我們通過加強來使玩家更強大。
10094,按下鋼筋按鈕。
10095,鋼筋使玩家通過同一球員更強。
10096,這次}讓我們重新播放我給你的玩家。
10097,嘗試按▼按鈕。
10098,按按鈕折疊啟動器列表。按按鈕以查看較大的子玩家列表。
10099,現在嘗試添加一個播放器。
10100,按“添加”按鈕。
10101,如果添加了播放器}只有相同的播放器可見。
10102,按“添加”按鈕。
10103,隨著東西的添加}你可以看到成功的機會。
10104,成功的概率由加強水平與加強水平之間的差異決定。
10105,按REINFROCE按鈕。
10106,如果你像這樣重新加入}帖子播放器就會消失。
10107,否則不這樣做不會讓主玩家消失或失去課堂。
10108,現在讓我們上次檢查聯賽信息。
10109,按此鍵按鈕。
10110,按計劃按鈕。
10111,您可以在此處查看團隊的聯盟時間表。
10112,按等級按鈕。
10113,在這裡，您可以看到聯賽的榜樣。
10114,按錦標賽按鈕
10115,在常規聯盟結束後，您可以在此處檢查季后賽。
10116,W是對世界錦標賽的進步的排名。
10117,世界錦標賽在常規聯盟結束時舉行。
10118,您可以與其他聯盟的頂級團隊競爭並獲得更高的獎勵。
10119,按SET按鈕。
10120,你想要聯盟的地方
10121,您可以設置難度級別並開始新聯盟。
10122,通過選擇聯賽和困難，您可以看到更改的獎勵和聯盟團隊的能力。
10123,選擇聯賽和難度級別，然後按開始新的聯賽按鈕。
10124,你可以開始這樣的新聯盟。
10125,現在一切都準備好了。
10126,最後}經理給我們發了本質。
10127,讓我們製作AAA聯賽冠軍！
10128,你好。歡迎來到多場比賽遊戲。
10129,在這裡，您可以播放其他教練。
10130,在這裡，您可以看到您的團隊的評分}點和匹配數據。
10131,按獎勵信息按鈕。
10132,在這裡，您可以找到有關多匹配獎勵的信息。
10133,在Tier表}上有六層銅}銀}金}鉑}鑽石}鑽石} Master} Celeringer。
10134,第一次開始}你從古銅色開始。
10135,提升你的層將給你上面的本質。
10136,您可以在匹配末端賺取獎金本質，百分比下列百分比。
10137,我會解釋這個季節。
10138,本賽季重置了一系列，並在固定時期後開始新的遊戲。
10139,當一個新的賽季開始時，你根據上一個賽季的排名獲得獎勵。
10140,可以在這裡找到您的層的獎勵。
10141,現在按X退出獎勵信息。
10142,到}你必須贏得比賽並收集積分。
10143,收集100分才能前進到下一層。
10144,但要小心，因為你可以在連續損失為零。
10145,如果您通過Winning提高了較高的Tier}，您可以通過以下排名檢查您的團隊排名。
10146,你可以詳細地看到排名隊員團隊。
10147,按下按鈕。
10148,您現在可以看到排名員使用的玩家和策略。檢查一下並使您的團隊更強大。
10149,現在讓我們再次按下按鈕。
10150,排名需要時間刷新。
10151,如果您想立即刷新}您可以通過刷新按鈕立即更新排名。
10152,好的。準備好提高你的等級並收集積分成為頂級經理！
10153,在您的帳戶}您可以看到您的帳戶信息和Daily}成就}其他信息。
10154,每天}在每天更新任務。
10155,在成就}你可以看到成就
10156,在季節}您可以看到每個季節更新的新任務。
10157,在其他}中，您可以看到其他部件，如開發人員支持。
10158,您可以通過完成任務成就或其他部分來獲得獎勵。
10159,另外，贊助將幫助我們繼續在將來開發遊戲。
10160,謝謝您的惠顧。謝謝你。
