ID,Name,Dec
1000,Daily login reward,Login Today Reward
1001,3 daily rewards,Today's 3 Match Rewards
1002,Support,You can sponsor the developer through Twonation.
1003,Review,Please review and we will reward you.
1004,Tutorial Complete,Complete tutorial
1005,Silver rank achievement,Achieve Multiplay Silver rank
1006,Gold rank achievement,Achieve Multiplay Gold rank
1007,Platinum Rank Achievement,Achieve Multiplay Platinum Rank
1008,Diamond rank achievement,Achieve Multiplay Diamond Rank
1009,Master Rank Achievement,Achieve Multiplay Master Rank
1010,Challenger Achievement,Achieve Multiplay Challenger Rank
1011,League champion,Achieved first place in the league
1012,Silver medal,Achieved second place in the league
1013,Bronze medal,Achieved third place in the league
1014,3 champions,Achieve 3 league titles
1015,3 silver medals,Achieved second place in three leagues
1016,3 bronze medals,Achieved third place in three leagues
1017,5 champions,Achieve 5 league titles
1018,5 silver medals,Achieve second place in five leagues
1019,5 bronze medals,Achieve third place in five leagues
1020,First season,First Season Deadline
1021,Third season,Third Season Deadline
1022,Fifth season,Fifth Season Deadline
1023,Tenth season,10th Season Deadline
1024,6 daily rewards,Today's 6 Match Rewards
1025,Silver rank achievement,Achieve Multiplay Silver rank
1026,Gold rank achievement,Achieve Multiplay Gold rank
1027,Platinum Rank Achievement,Achieve Multiplay Platinum Rank
1028,Diamond rank achievement,Achieve Multiplay Diamond Rank
1029,Master Rank Achievement,Achieve Multiplay Master Rank
1030,Challenger Achievement,Achieve Multiplay Challenger Rank
1031,Daily match limit,Number of matches per day where you can get essence
