no,team
1000000000,Afreeca
1000000001,Afreeca
1000000002,Afreeca
1000000003,Afreeca
1000000004,DRX
1000000005,DRX
1000000006,DRX
1000000007,DRX
1000000008,DWG KIA
1000000009,DWG KIA
1000000010,DWG KIA
1000000011,DWG KIA
1000000012,BRION
1000000013,BRION
1000000014,GenG
1000000015,GenG
1000000016,GenG
1000000017,Hanwha
1000000018,Hanwha
1000000019,Hanwha
1000000020,KT
1000000021,KT
1000000022,KT
1000000023,KT
1000000024,SANDBOX
1000000025,SANDBOX
1000000026,SANDBOX
1000000027,NS RedForce
1000000028,NS RedForce
1000000029,T1
1000000030,T1
1000000031,T1
