teamID,Dec
1000000,Vaincre toutes les équipes de Kr League dans la saison 18.
1000001,Vaincre toutes les équipes de Kr League en 19 Spring Saison.
1000002,Vaincre toutes les équipes de Kr League en 19 saison estivale.
1000003,Défaitez les 19 équipes Top10 de la saison multiple.
1000004,Vaincre toutes les équipes de Kr League dans la saison de printemps 20.
1000005,Vaincre toutes les équipes de la Ligue de l'UE à la 20 saison de printemps.
1000006,Vaincre toutes les équipes de la Ligue Na dans la saison de printemps.
1000007,Vaincre toutes les équipes de Kr League dans la 20 saison estivale.
1000008,Vaincre toutes les équipes de la Ligue de l'UE dans la 20 saison estivale.
1000009,Vaincre toutes les équipes de Na League dans la 20 saison estivale.
1000010,Défaitez les 20 équipes Top10 de la saison de plusieurs matchs multiples.
