ID,Name,Dec
1000.0,Recrutement d'or,Recruter 1 joueur aléatoire avec une statistique combinée supérieure à 81.
1001.0,Forfait d'or,Recruter 5 joueurs aléatoires avec une statistique combinée supérieure à 81.
1002.0,Recrutement du joueur,Recruter 1 joueur aléatoire.
1003.0,Recrutement d'argent,Recruter 1 joueur aléatoire avec une statistique combinée supérieure à 76.
1004.0,Recrutement d'or,Recruter 1 joueur aléatoire avec une statistique combinée supérieure à 81.
1005.0,Recrutement en platine,Recruter 1 joueur aléatoire avec une GPA combinée de 84 ou plus.
1006.0,Paquet de base,Recruter 5 joueurs aléatoires.
1007.0,Paquet d'argent,Recruter 5 joueurs aléatoires avec une statistique combinée supérieure à 76.
1008.0,Forfait d'or,Recruter 5 joueurs aléatoires avec une statistique combinée supérieure à 81.
1009.0,Forfait Platinum,Recruter 5 joueurs aléatoires avec une GPA combinée de 84 ou plus.
1010.0,2021Vous recrutement,Recruter 1 joueur aléatoire de la saison 20PR-20PR-20PR.
1011.0,Forfait 2021Sason, (Non inclure la limitation)
1012.0,Recrutement de la saison précédente,Recruter 5 joueurs aléatoires de la saison 20PR-20SPR.
1013.0,Forfait de la saison précédente, (Non inclure la limitation)
1014.0,Perekrutan musim sebelumnya,5 pemain acak dari musim 18-20sum direkrut.
1015.0,Paket musim sebelumnya, (Tidak termasuk batasan)
1012.0,Perekrutan musim sebelumnya,Satu pemain acak dari musim 18-20sum direkrut.
1013.0,Paket musim sebelumnya, (Tidak termasuk batasan)
1016.0,Perekrutan Pelatih,Satu pemain acak dari musim 18-20sum direkrut.
1017.0,Ubah nama tim, (Tidak termasuk batasan)
