ID,Dec
10000,Salut. Ravi de vous rencontrer.
10001,Avec le soutien du gestionnaire} Il a créé une nouvelle équipe dans la Roll League.
10002,Veuillez nommer votre équipe d'abord.
10003,Faisons une équipe AAA dans l'histoire.
10004,C'est le premier match de la ligue.
10005,"Ici, vous pouvez voir les informations de notre équipe et d'autres équipes avant le match."
10006,L'équipe actuelle a déjà un joueur inscrit.
10007,Mais vous avez besoin de beaucoup de joueurs pour gagner.
10008,Obtenons d'abord un nouveau joueur avant le match.
10009,Appuyez sur le marché du recrutement
10010,Vous pouvez recruter de nouveaux joueurs avec l'essence que vous avez sur le marché du recrutement.
10011,Louons un nouveau joueur avec l'essence que nous avons maintenant.
10012,Appuyez sur le bouton Acheter les joueurs.
10013,Nous avons un nouveau joueur.
10014,L'équipe n'est toujours pas compétitive. Embauchons un meilleur joueur pour améliorer notre compétitivité.
10015,"Il n'y a pas assez d'essence pour recruter un bon joueur. Dans ce cas}, vous pouvez obtenir un numéro entier à l'aide d'un sponsor."
10016,Afficher tous les annonces vidéo des sponsors} pour gagner des récompenses.
10017,Initialement} Les annonces sponsorisées sont spécialement préparées pour recevoir 50% de récompenses supplémentaires.
10018,Presse de la presse sponsorisée.
10019,"Le sponsor nous a envoyé un entier. Maintenant, recevons un nouveau joueur avec cet entier."
10020,S'il vous plaît appuyez sur le bouton d'achat.
10021,Nous avons un nouveau joueur.
10022,Essayons maintenant un nouveau joueur.
10023,Appuyez sur le bouton de gestion du lecteur.
10024,"Dans la gestion des joueurs}, vous pouvez sélectionner un joueur candidat."
10025,Appuyez sur le bouton Swap pour essayer le candidat.
10026,"Appuyez sur Remplacer, le lecteur sélectionné un lecteur de départ et le joueur existant sera nommé."
10027,"De plus, en fonction de la composition des démarreurs} des effets supplémentaires peuvent être obtenus."
10028,appuie sur le bouton
10029,Vous pouvez trouver des informations sur Tim Chemie ici.
10030,Vous pouvez rendre votre équipe plus forte en faisant correspondre différents chimistes tels que type et équipe.
10031,Appuyez sur x pour quitter.
10032,Modifions maintenant le joueur qui n'est pas nécessaire à un autre joueur.
10033,Essayez d'appuyer sur la recombinaison.
10034,"Ici, vous pouvez remplacer quatre candidats avec de nouveaux joueurs."
10035,Temporairement j'ai donné quatre joueurs. Recombonsons ces joueurs.
10036,Appuyez sur le bouton Ajouter.
10037,Appuyez sur le bouton Ajouter.
10038,Appuyez sur le bouton Ajouter.
10039,Appuyez sur le bouton Ajouter.
10040,Mettre les trois joueurs. Commandons maintenant à un nouveau joueur.
10041,Vous pouvez vérifier les informations de capacité du joueur à partir des informations de recrutement.
10042,"Maintenant, obtenez le joueur."
10043,Essayez d'appuyer sur la recombinaison.
10044,"De cette façon, vous pouvez remplacer les joueurs existants avec de nouveaux joueurs."
10045,Maintenant jouons avec ces joueurs.
10046,Appuyez sur le bouton de correspondance
10047,Appuyez sur le bouton de progression du jeu.
10048,Le jeu a commencé.
10049,Faites confiance aux joueurs et regardons le jeu.
10050,"Comme ça} quand le jeu est terminé}, vous pouvez obtenir de l'expérience et des entiers."
10051,L'essence ne peut pas être obtenue si la limite de correspondance quotidienne est dépassée.
10052,Appuyez sur le bouton Continuer pour quitter le stade.
10053,Le premier jeu est terminé.
10054,Les joueurs sont importants pour gagner} mais la stratégie de gestionnaire est également importante.
10055,Appuyez sur le bouton de stratégie.
10056,La configuration rapide facilite la configuration de stratégies clés.
10057,L'équilibre est maintenant la stratégie de base.
10058,Modifions les paramètres.
10059,Cliquez sur la ligne / gérer.
10060,Ligne Match / Operation est une stratégie qui met fin à la partie en exploitant les gains observés en ligne.
10061,Changons la stratégie en fonction de la ligne de ligne.
10062,Appuyez sur le bouton Paramètres
10063,La stratégie de l'équipe a maintenant changé avec la ligne de ligne.
10064,Cette configuration rapide facilite la modification de la stratégie de votre équipe.
10065,Les paramètres détaillés peuvent être définis via les instructions et le pickvan.
10066,Testons maintenant notre stratégie.
10067,Appuyez sur le bouton de correspondance
10068,Voyons comment utiliser les articles correspondants avant de procéder au match.
10069,! Appuie sur le bouton.
10070,J'ai entendu un article d'expérience supplémentaire de 10% comme cadeau.
10071,S'il vous plaît vérifier l'utilisation.
10072,"Si vous vérifiez l'utilisation, vous utiliserez l'élément correspondant dans les futures correspondances."
10073,"S'il y a plusieurs éléments, vous pouvez vérifier automatiquement pour utiliser automatiquement les éléments."
10074,Les éléments du même type ne peuvent pas être utilisés à plusieurs reprises.
10075,Appuyez sur x pour quitter.
10076,"Maintenant, vérifions les stratégies et les articles."
10077,Appuyez sur le bouton de progression du jeu
10078,"Après ce match, le niveau du gestionnaire a augmenté."
10079,"Au fur et à mesure que le niveau de gestionnaire augmente, vous obtenez une substance supplémentaire comme celle-ci."
10080,"Vous pouvez obtenir des essences supplémentaires au niveau du gestionnaire, quelle que soit la limite quotidienne de match."
10081,Appuyez sur le bouton Continuer pour quitter le stade.
10082,Certains joueurs ont été mis à niveau en acquérir une expérience dans ce match.
10083,Les joueurs qui nivelez peuvent augmenter leurs statistiques.
10084,Press Player Management.
10085,Les athlètes qui ont nivelé ont une marge de flèche au niveau.
10086,Appuyez sur le niveau du joueur pour soulever les statistiques.
10087,"Ici, vous pouvez augmenter vos statistiques souhaitées par points."
10088,Vous pouvez augmenter la statistique en appuyant sur la flèche de la statistique souhaitée.
10089,Appuyez sur vos statistiques souhaitées et appuyez sur décision.
10090,Cela augmentera la capacité du joueur.
10091,Appuyez sur x pour quitter.
10092,Les athlètes peuvent être rendus plus forts en nivelant et en renforçant comme ceci.
10093,Faisons le joueur plus fort en renforçant.
10094,Appuyez sur le bouton Renforce.
10095,Le renforcement rend le joueur plus fort à travers le même joueur.
10096,Cette fois} a ensuite réorienté le joueur que je vous ai donné.
10097,Essayez d'appuyer sur le bouton ▼.
10098,Appuyez sur le bouton pour plier la liste des démarreurs. Appuyez sur le bouton pour voir une liste plus grande des sous-joueurs.
10099,"Maintenant, essayez d'ajouter un joueur."
10100,Appuyez sur le bouton Ajouter.
10101,"Si un joueur est ajouté}, seul le même joueur est visible."
10102,Appuyez sur le bouton Ajouter.
10103,"Comme les joueurs sont ajoutés}, vous pouvez voir la chance de réussir."
10104,La probabilité de succès est déterminée par la différence entre le niveau de renforcement et le niveau de renforcement.
10105,Appuyez sur le bouton REINFROCE.
10106,"Si vous avez réorienté comme ça}, le joueur de choses disparaît."
10107,Ne pas le faire ne fait pas que le joueur principal disparaisse ou ne perd pas la classe.
10108,Vérifions maintenant la dernière information sur la ligue.
10109,Appuyez sur le bouton de la ligue.
10110,Appuyez sur le bouton Planification.
10111,Vous pouvez vérifier le calendrier de la ligue pour votre équipe ici.
10112,Appuyez sur le bouton de rang.
10113,"Ici, vous pouvez voir le classement de la ligue."
10114,Appuyez sur le bouton Tournament
10115,"Ici, vous pouvez vérifier les séries éliminatoires après la fin de la ligue régulière."
10116,W est le classement d'avancement au championnat du monde.
10117,Le championnat du monde est tenu à la fin de la ligue régulière.
10118,Vous pouvez concurrencer les meilleures équipes dans d'autres ligues et obtenir des récompenses plus élevées.
10119,Appuyez sur le bouton SET.
10120,Où tu veux la ligue
10121,Vous pouvez définir le niveau de difficulté et commencer une nouvelle ligue.
10122,"En sélectionnant une ligue et une difficulté, vous pouvez voir les récompenses modifiées et la capacité de l'équipe de la ligue."
10123,Choisissez votre niveau de ligue et de difficulté et appuyez sur le bouton Démarrer New League.
10124,Vous pouvez commencer une nouvelle ligue comme celle-ci.
10125,Maintenant tout est prêt.
10126,Enfin} Le gestionnaire nous a envoyé l'essence.
10127,Faisons le gagnant de la ligue Aaa!
10128,Salut. Bienvenue sur le jeu Multi match.
10129,"Ici, vous pouvez jouer au match d'autres entraîneurs."
10130,"Ici, vous pouvez voir les évaluations de votre équipe} Points et Match Datas."
10131,Appuyez sur le bouton Informations de récompense.
10132,"Ici, vous pouvez trouver des informations sur les récompenses du Multi match."
10133,Sur la table de niveau} Il y a six niveaux de bronze} argent} or} platinum} diamant} maître} Celinger.
10134,La première fois que vous commencez} Vous commencez avec un niveau de bronze.
10135,L'élevage de votre niveau vous donnera l'essence ci-dessus.
10136,Et vous pouvez gagner une essence de bonus à la fin du match par le pourcentage indiqué ci-dessous.
10137,Je vais expliquer la saison.
10138,La saison réinitialise le niveau et commence une nouvelle partie après une période déterminée.
10139,"Quand une nouvelle saison commence, vous êtes récompensé selon le rang de la dernière saison."
10140,Les récompenses de votre niveau peuvent être trouvées ici.
10141,Appuyez maintenant sur X pour quitter les informations de récompense.
10142,À Tier Up} Vous devez gagner le match et collecter des points.
10143,Collectez 100 points pour passer au niveau suivant.
10144,Mais soyez prudent parce que vous pouvez être rétrogradé sur une perte continue à zéro.
10145,"Si vous élevez votre niveau plus haut en gagnant}, vous pouvez vérifier le classement de votre équipe via le classement ci-dessous."
10146,Et vous pouvez voir l'équipe de classeurs en détail.
10147,Appuie sur le bouton.
10148,Vous pouvez maintenant voir les joueurs et les stratégies utilisées par les classeurs. Vérifiez-le et développez votre équipe plus forte.
10149,"Maintenant, appuyons à nouveau sur le bouton."
