ID,Dec
11000,"Ihr Team gewann die Liga mit großem Coaching! Lassen Sie uns darauf vorbereiten, die Weltmeisterschaft zu gewinnen."
11001,"Obwohl es nicht gewonnen hat, hat es einen tollen Job gemacht. Schneebaden erfolgt im Weltmeister!"
11002,"Es war keine Meisterschaft. Es ist uns jedoch gelungen, auf die Weltmeisterschaft voranzutreiben!"
11003,"Es war keine Meisterschaft. Aber es ist ein gutes Ranking, die nächste Saison zu gewinnen."
11004,"Das Schlimmste wurde vermieden, aber es war kein gutes Ranking. Für ein höheres Ranking} denke ich, dass es Wartung braucht."
11005,"Wir beendeten die Saison in der schlechtesten Position. Für die Fans, die uns unterstützen, gehen wir weiter für die nächste Saison."
11006,Das Team gewann die Weltmeisterschaft mit großem Coaching! Spieler und Fans feiern Ihren großartigen Befehl. Herzliche Glückwünsche.
11007,"Es hat nicht gewonnen, aber es hat einen tollen Job gemacht. Versuchen wir, die Weltmeisterschaft in der nächsten Saison zu gewinnen!"
11008,"Leider ist es eine großartige Note. Lassen Sie uns unsere Macht in der nächsten Saison erhöhen und versuchen, den nächsten Weltmeister zu gewinnen."
11009,"Sie haben erfolgreich das Turnier eingegeben. Nächste Saison, lass uns auf höhere Turniere gehen."
11010,Leider ist das Turnier fehlgeschlagen. Lassen Sie uns leider in der nächsten Saison zur Weltmeisterschaft vorrücken und auf die Meisterschaft zielen.
20000,Linie Ausstellung / Betrieb
20001,Balance
20002,Teamkampf
20003,Benutzerdefiniert
21000,"Es ist eine Strategie, Schneebälle auf Basis starker Linienkämpfe zu rollen. {{-It ist geeignet, wenn Sie einen starken Schlacht haben. {-You kann zu einem Schuss zurückgekehrt werden, wenn Sie einen schwachen Schlag haben."
21001,"Aufstellung} Hanta} Operation spielt das Spiel auf ausgewogene Weise. {{-Die ist geeignet, wenn die Fähigkeit der Spieler sogar ist."
21002,"Es ist eine Strategie, die einen Schuss durch einen einzigen Schuss anstrebt. {{-It ist geeignet, wenn ein Team eine starke One-Shot-Fähigkeit hat. {"
21003,Dies ist Ihre Strategie.
22000,Die Mitte des Spiels
22001,Das Zentrum eines Rankens
22002,Hauptauftrag
23000,"Wählen Sie die Fähigkeit, das Zentrum des Spiels zu sein. Die Statistiken des Teams werden zunehmen. Stattdessen} der Rest der Macht fällt."
23001,Der Jungler entscheidet über die Linie zum Ranken.
23002,"Stellen Sie eine Position ein, die sich auf den Betrieb konzentriert. Die Hauptauftrag wird den Anteil des Teambetriebs erhöhen."
24000,Balance
24001,Linie
24002,Teamkampf
24003,Betrieb
24004,Balance
24005,oben
24006,Mitte
24007,Unterseite
24008,oben
24009,Urwald
24010,Mitte
24011,ANZEIGE
24012,Unterstützung
25000,Attacke
25001,Ausgewogen
25002,Tanker
25003,Attacke
25004,Ausgewogen
25005,Tanker
25006,Attacke
25007,Ausgewogen
25008,Fan
25009,Attacke
25010,Ausgewogen
25011,Nützlichkeit
25012,Attacke
25013,Ausgewogen
25014,Tanker
26000,"Drücken Sie den Gegner in der Linie stark. Es übernimmt auch die Kontrolle über den Betrieb durch den Split. {▲ Betriebsstatistiken erhöhen. {{-Punkte, die auf der Zinserhöhung gewonnen oder verloren gehen. {{▼ Hanta Stat senkt."
26001,Basic Deal-Tank.
26002,"Einfluss wird in Line-Schlachten reduziert. Allerdings ist er in Hanta stärker. {▲ Hanta-Fähigkeit wird erhöht. {{-Punkte, die an der Linie gewonnen oder verloren gegangen sind, werden abgesenkt. {{▼ Operation stat wird abgesenkt."
26003,Das Ranken wird leistungsstark. } Es besteht jedoch ein hohes Risiko für Massenfehler. {{▲ Leitungsstatistiken erhöhen sich. {{{{
26004,Basic Deal-Tank.
26005,Ganking-Fähigkeit wird abgesenkt. Die Schlagfähigkeit nimmt jedoch zu. {▲ Die Schlagfähigkeit erhöht sich. {{▼ Die Aufstellungsfähigkeit geht herunter.
26006,"Drücken Sie den Gegner in der Linie stark. Es übernimmt auch die Kontrolle über den Betrieb durch den Split. {▲ Betriebsstatistiken erhöhen. {{-Punkte, die auf der Zinserhöhung gewonnen oder verloren gehen. {{▼ Hanta Stat senkt."
26007,Basic Nuker Champ.
26008,"Ziel ist es, die Fähigkeit des einen DIL zu verbessern. {▲ Ein DIL-Status erhöht sich."
26009,"Die frühen Tage sind kraftvoll. Allerdings}, wie es die Zeit vergeht}, es wird schwächer. {▲ Aufstellung bis in die ersten 20 Minuten} Hanta-Fähigkeit erhöht sich. {{▼ Hanta-Fähigkeit nimmt ab der zweiten Hälfte ab."
26010,Basic One-Deal Champion.
26011,"Konzentrieren Sie sich darauf, dem Team eher als Carries Rolle zu helfen. {▲ Operative Statistiken gehen auf. {{▼ Zeilenstatistiken gehen hinunter."
26012,"Der Leitungskampf ist kraftvoll. Es ist jedoch gefährlich, mit geringer Gesundheit zu arbeiten. {▲ Stellstatistiken erhöhen. {{-Punkte, die vom Betriebserhöhung gewonnen oder verloren gehen."
26013,Basic Supporter Champion.
26014,Schwach in der Linie. Allerdings ist es in Hanta stark. {▲ Hanta Stat ist erhöht. {{▼ Lines stat wird abgesenkt.
30000,"Wenn Sie sich nicht bei Google anmelden können, können Sie Multiplayer nicht abspielen. Bitte melden Sie sich an Google an."
30001,Während des letzten Multi-Matches gab es ein abnormales Ende des Spiels. Das Spiel war verfallen.
30002,Herzliche Glückwünsche! Sie werden auf der nächsten Ebene befördert!
30003,Sie wurden aufgrund ständiger Niederlage degradiert.
30004,Einloggen
30005,Es gibt ein Problem. Grund für das Problem:
30006,"Die Internetverbindung ist verloren gegangen. Wenn Sie über eine Internetverbindung verfügen}, werden Sie automatisch wiederhergestellt."
30007,"Das Internet wurde während des Multi-Matches getrennt. {Wenn Sie auf OK klicken}, verlassen Sie das Stadion."
30008,"Es gab ein Problem, Ihren Gegner zu finden. {Drücken Sie OK, um das Stadion zu verlassen."
30009,"Das Spiel ist nicht auf dem neuesten Stand. Sie müssen auf die neueste Version aktualisieren, um das Spiel abzuspielen. {{Drücken Sie die Taste unten, um die Version erneut zu überprüfen, oder gehen Sie zur Aktualisierungsseite."
30010,Überprüfung
30011,Es ist nicht die neueste Version.
30012,Minute
30013,Sie wurden als Cheat-Player gemeldet und können keine Multiplayer-Spiele abspielen. {{Bitte E-Mail {Hucce@gmail.com für Fragen.
30014,Sie sind als Cheat-Player registriert.
30015,"Überprüfen Sie den Multiplay-Server. Bitte warten Sie, bis die Scheckzeit vorbei ist"
30016,Die Liste kann nicht geladen werden. Bitte melden Sie sich mit Google in MultiPlay an.
31000,"Vielen Dank, dass Sie das Spiel gespielt haben. Ihre Bewertung ist eine große Hilfe für den Entwickler. Sie erhalten 300 Essenz als Belohnung."
32000,"Vielen Dank, dass Sie die Anzeige angesehen haben. Klicken Sie auf OK, um Ihre Anzeigebelohnung zu erhalten."
32001,"Ad übersprungen Sie müssen die Anzeige ansehen, um die Belohnung zu erhalten."
32002,Anzeigen konnte nicht abgerufen werden Bitte überprüfen Sie Ihre Internetverbindung.
36000,Liga-Score.
36001,M.
36002,W.
36003,L.
36004,Geschichte
