ID,Name,Dec
1000,Goldrekrutierung.,Rekrutieren Sie 1 Zufallsspieler mit einem kombinierten Status über 81.
1001,Goldpaket,Rekrutieren Sie 5 zufällige Spieler mit einem kombinierten Status über 81.
1002,Spielerrekrutierung.,Rekrutiere 1 Zufallsspieler.
1003,Silberne Rekrutierung.,Rekrutieren Sie 1 Zufallsspieler mit einem kombinierten Status über 76.
1004,Goldrekrutierung.,Rekrutieren Sie 1 Zufallsspieler mit einem kombinierten Status über 81.
1005,Platinum-Rekrutierung.,Rekrutieren Sie 1 Zufallsspieler mit einem kombinierten GPA von 84 oder höher.
1006,Basispaket,Rekrutiere 5 zufällige Spieler.
1007,Silberpaket,Rekrutieren Sie 5 zufällige Spieler mit einem kombinierten Stat über 76.
1008,Goldpaket,Rekrutieren Sie 5 zufällige Spieler mit einem kombinierten Status über 81.
1009,Platin-Paket.,Rekrutieren Sie 5 zufällige Spieler mit einem kombinierten GPA von 84 oder höher.
1010,Previous Saison Recruitment.,Ein Zufallsspieler aus der 18-20Sum-Saison wird rekrutiert.
1011,Vorheriges Saisonpaket., (Keine Einschränkung)
1012,Teamname ändern,5 zufällige Spieler aus der 18-20Sum-Saison werden rekrutiert.
