ID,Dec
10000,"Hallo. Freut mich, dich kennenzulernen."
10001,Mit der Unterstützung des Managers} erstellte er ein neues Team in der Roll League.
10002,Bitte nennen Sie Ihr Team zuerst.
10003,Lasst uns ein AAA-Team in die Geschichte machen.
10004,Dies ist das erste Spiel des Liga.
10005,Hier können Sie die Informationen unseres Teams und anderer Teams vor dem Spiel sehen.
10006,Das aktuelle Team hat bereits einen Spieler angemeldet.
10007,"Aber Sie brauchen viele Spieler, um zu gewinnen."
10008,Lassen Sie uns zuerst einen neuen Spieler vor dem Spiel erhalten.
10009,Tippen Sie auf den Rekrutierungsmarkt
10010,"Sie können neue Spieler mit der Essenz einstellen, die Sie auf dem Recruiting-Markt haben."
10011,"Lassen Sie uns einen neuen Spieler mit dem Essenz einstellen, den wir jetzt haben."
10012,Drücken Sie die KOMPLAYS-Taste.
10013,Wir haben einen neuen Spieler.
10014,"Das Team ist immer noch nicht wettbewerbsfähig. Lassen Sie uns einen besseren Spieler einstellen, um unsere Wettbewerbsfähigkeit zu verbessern."
10015,"Es gibt nicht genug Essenz, um einen guten Spieler zu rekrutieren. In diesem Fall} Sie können eine ganze Zahl mit einem Sponsor erhalten."
10016,"Alle Sponsoren Videoanzeigen anzeigen}, um Belohnungen zu verdienen."
10017,"Anfangs ist gesponserte Anzeigen speziell darauf vorbereitet, 50% mehr Belohnungen zu erhalten."
10018,Presse gesponserte Werbung.
10019,Sponsor hat uns eine Ganzzahl geschickt. Nun bringen wir einen neuen Spieler mit dieser Ganzzahl.
10020,Bitte drücken Sie die Kaufknopf.
10021,Wir haben einen neuen Spieler.
10022,Nun versuchen wir einen neuen Spieler.
10023,Drücken Sie die Taste Player Management.
10024,In der Player-Verwaltung} können Sie einen Kandidatenspieler auswählen.
10025,"Drücken Sie die Swap-Taste, um den Kandidaten auszuprobieren."
10026,Durch Drücken von Ersatz wird der ausgewählte Spieler ein Startspieler und der vorhandene Spieler nominiert.
10027,Auch in Abhängigkeit von der Zusammensetzung der Starter} können zusätzliche Effekte erhalten werden.
10028,Drücken Sie den Knopf
10029,Informationen über Tim Chemie finden Sie hier.
10030,"Sie können Ihr Team stärker machen, indem Sie verschiedene Chemikalien wie Typ und Team anpassen."
10031,"Drücken Sie X, um zu beenden."
10032,"Jetzt können wir den Spieler ändern, der nicht für einen anderen Spieler benötigt wird."
10033,Drücken Sie die Rekombination.
10034,Hier können Sie vier Kandidaten mit neuen Spielern ersetzen.
10035,Vorübergehend ging ich vier Spieler. Lassen Sie uns diese Spieler rekombinieren.
10036,Drücken Sie die Add-Taste.
10037,Drücken Sie die Add-Taste.
10038,Drücken Sie die Add-Taste.
10039,Drücken Sie die Add-Taste.
10040,Setzen Sie alle drei Spieler. Nun wechseln wir in einen neuen Spieler.
10041,Sie können die Fähigkeitsinformationen des Players von den Rekrutierungsinformationen überprüfen.
10042,Holen Sie sich jetzt den Spieler.
10043,Drücken Sie die Rekombination.
10044,Auf diese Weise können Sie bestehende Spieler mit neuen Spielern ersetzen.
10045,Jetzt lass uns mit diesen Spielern spielen.
10046,Drücken Sie die Übereinstimmungs-Taste
10047,Drücken Sie die Taste Game Fortschritt.
10048,Das Spiel hat begonnen.
10049,Lassen Sie uns den Spielern vertrauen und das Spiel sehen.
10050,"Wie das} Wenn das Spiel vorbei ist}, können Sie Erfahrung und Ganzzahlen erhalten."
10051,"Essentz kann nicht erhalten werden, wenn die tägliche Übereinstimmungsgrenze überschritten wird."
10052,"Drücken Sie die Taste Weiter, um das Stadion zu verlassen."
10053,Das erste Spiel ist vorbei.
10054,"Spieler sind wichtig für den Gewinn}, aber die Manager-Strategie ist ebenfalls wichtig."
10055,Drücken Sie die Strategie-Taste.
10056,"Schnelles Setup macht es einfach, wichtige Strategien einzurichten."
10057,Balance ist jetzt die Grundstrategie.
10058,Lassen Sie uns die Einstellungen ändern.
10059,Klicken Sie auf Zeile / Verwalten.
10060,"Linienmatch / -betrieb ist eine Strategie, die das Spiel beendet, indem er die Gewinne betreibt, die in der Zeilenübereinstimmung gesehen werden."
10061,Lassen Sie uns die Strategie in den Linienbetrieb ändern.
10062,Drücken Sie die Einstellungen-Taste
10063,Die Strategie des Teams hat sich jetzt mit Line-to-Run geändert.
10064,"Dieses schnelle Setup macht es einfach, die Strategie Ihres Teams zu ändern."
10065,Detaillierte Einstellungen können über die Anweisungen und der PickVAN eingestellt werden.
10066,Nun testen wir unsere Strategie.
10067,Drücken Sie die Übereinstimmungs-Taste
10068,"Lassen Sie uns sehen, wie Sie Match-Artikel verwenden, bevor Sie mit dem Spiel fortfahren."
10069,Schnitte Drücken Sie den Knopf.
10070,Ich habe ein zusätzliches Experienartikel von 10% als Geschenk gehört.
10071,Bitte überprüfen Sie die Verwendung.
10072,"Wenn Sie die Verwendung überprüfen, verwenden Sie den entsprechenden Artikel in zukünftigen Spielen."
10073,"Wenn es mehrere Elemente gibt, können Sie Auto überprüfen, um die Elemente automatisch zu verwenden."
10074,Elemente desselben Typs können nicht wiederholt verwendet werden.
10075,"Drücken Sie X, um zu beenden."
10076,Nun schauen wir uns die Strategien und Gegenstände an.
10077,Drücken Sie die Taste Game Fortschritt
10078,Nach diesem Spiel ist das Leiter des Managers gestiegen.
10079,"Da die Managerebene zunimmt, erhalten Sie ein zusätzliches Essenz so."
10080,Sie können zusätzliche Essenzen aus dem Managerebene unabhängig von der täglichen Übereinstimmungsgrenze erhalten.
10081,"Drücken Sie die Taste Weiter, um das Stadion zu verlassen."
10082,Einige Spieler wurden durch Erfahrungen in diesem Spiel eingeräumt.
10083,"Spieler, die aufsteigen, können ihre Statistiken erhöhen."
10084,Drücken Sie die Player-Verwaltung.
10085,"Athleten, die eingesetzt haben, haben auf der Ebene eine Pfeilmarke."
10086,"Tippen Sie auf das Niveau des Players, um die Statistiken anzuheben."
10087,Hier können Sie Ihre gewünschten Statistiken nach Punkten erhöhen.
10088,"Sie können den Stat erhöhen, indem Sie den Pfeil des gewünschten Status tippen."
10089,Tippen Sie auf Ihre gewünschten Statistiken und Tippen Sie auf die Entscheidung.
10090,Dies erhöht die Fähigkeit des Spielers.
10091,"Drücken Sie X, um zu beenden."
10092,"Athleten können stärker gemacht werden, indem sie wie diese Nivellierung nivellieren und stärken."
10093,"Lassen Sie uns den Spieler stärker machen, indem wir stärker stärken."
10094,Drücken Sie die Verstärkungs-Taste.
10095,Die Bewehrung macht den Spieler durch denselben Spieler stärker.
10096,"Diese Zeit} lasst uns den Spieler wieder anfassen, den ich Ihnen gegeben habe."
10097,Drücken Sie die Taste ▼.
10098,"Drücken Sie die Taste, um die Starter-Liste zu falten. Drücken Sie die Taste, um eine größere Liste der Unterspieler anzuzeigen."
10099,"Versuchen Sie jetzt, einen Spieler hinzuzufügen."
10100,Drücken Sie die Add-Taste.
