teamID,Dec
1000000,18 सत्र में सभी केआर लीग टीमों को हराएं।
1000001,1 9 वसंत ऋतु में सभी केआर लीग टीमों को हराएं।
1000002,1 9 गर्मियों के मौसम में सभी केआर लीग टीमों को हराएं।
1000003,सभी 1 9 मल्टी मैच सीजन टॉप 10 टीमों को हराएं।
1000004,20 वसंत ऋतु में सभी केआर लीग टीमों को हराएं।
1000005,20 वसंत ऋतु में सभी ईयू लीग टीमों को हराएं।
1000006,20 वसंत ऋतु में सभी एनए लीग टीमों को हराएं।
1000007,20 गर्मियों के मौसम में सभी केआर लीग टीमों को हराएं।
1000008,20 गर्मी के मौसम में सभी यूरोपीय संघ लीग टीमों को हराएं।
1000009,20 गर्मियों के मौसम में सभी ना लीग टीमों को हराएं।
1000010,सभी 20 मल्टी मैच सीजन टॉप 10 टीमों को हराएं।
