ID,Dec
11000,आपकी टीम ने महान कोचिंग के साथ लीग जीता! आइए विश्व चैंपियनशिप जीतने के लिए तैयार हैं।
11001,"हालांकि यह जीत नहीं था, यह एक महान काम किया। विश्व चैंपियन में बर्फ स्नान किया जाता है!"
11002,"यह एक चैंपियनशिप नहीं था। हालांकि, हम विश्व चैंपियनशिप के लिए आगे बढ़ने में सफल रहे!"
11003,यह एक चैंपियनशिप नहीं था। लेकिन अगले सीजन में जीतने की कोशिश करने के लिए यह एक अच्छी रैंकिंग है।
11004,"सबसे खराब से बचा गया, लेकिन यह एक अच्छी रैंकिंग नहीं थी। एक उच्च रैंकिंग के लिए} मुझे लगता है कि इसे रखरखाव की जरूरत है।"
11005,हमने मौसम को सबसे खराब स्थिति में समाप्त कर दिया। उन प्रशंसकों के लिए जो हमें समर्थन करते हैं} चलो अगले सत्र के लिए आगे बढ़ते हैं।
11006,टीम ने ग्रेट कोचिंग के साथ विश्व चैम्पियनशिप जीती! खिलाड़ियों और प्रशंसकों ने आपका महान आदेश मनाया। बधाई हो।
11007,"यह जीत नहीं था, लेकिन यह एक महान काम किया। आइए अगले सीजन में विश्व चैंपियनशिप जीतने की कोशिश करें!"
11008,"दुर्भाग्य से, यह एक महान ग्रेड है। आइए अगले सत्र में हमारी शक्ति बढ़ाएं और अगली विश्व चैंपियन जीतने का प्रयास करें।"
11009,"आपने सफलतापूर्वक टूर्नामेंट में प्रवेश किया है। अगले सीजन में, चलो उच्च टूर्नामेंट के लिए सिर।"
11010,"दुर्भाग्य से, टूर्नामेंट विफल रहा। दुर्भाग्यवश, आइए अगले सीजन में विश्व चैम्पियनशिप और चैंपियनशिप के लिए लक्ष्य रखें।"
20000,रेखा प्रदर्शनी / संचालन
20001,संतुलन
20002,दल की लड़ाई
20003,रिवाज
21000,यह मजबूत लाइन लड़ाइयों के आधार पर स्नोबॉल रोल करने की रणनीति है। {{-It उपयुक्त है जब आपके पास एक मजबूत लाइन लड़ाई होती है। {- आप एक कमजोर झटका होने पर एक शॉट में वापस आ सकते हैं।
21001,लाइनअप} हंटा} ऑपरेशन एक संतुलित तरीके से खेल खेलते हैं। {{- यह उपयुक्त है जब खिलाड़ियों की क्षमता भी होती है।
21002,यह एक ऐसी रणनीति है जिसका लक्ष्य एक शॉट के माध्यम से एक शॉट के लिए है। {{-It उपयुक्त है जब एक टीम की एक मजबूत एक-शॉट क्षमता होती है। {
21003,यह आपकी रणनीति है।
22000,खेल का केंद्र
22001,एक गैनिंग का केंद्र
22002,मुख्य क्रम
23000,खेल का केंद्र बनने की क्षमता चुनें। टीम के आंकड़े बढ़ेगा। इसके बजाय} बाकी बिजली गिरती है।
23001,जंगलर गैनकिंग के लिए लाइन का फैसला करता है।
23002,एक ऐसी स्थिति निर्धारित करें जो संचालन पर केंद्रित है। मुख्य क्रम टीम ऑपरेशन के अनुपात में वृद्धि करेगा।
24000,संतुलन
24001,लाइन
24002,दल की लड़ाई
24003,ऑपरेशन
24004,संतुलन
24005,ऊपर
24006,मध्य
24007,तल
24008,ऊपर
24009,जंगल
24010,मध्य
24011,विज्ञापन
24012,सहयोग
25000,हल्ला रे
25001,संतुलित
25002,टैंकर
25003,हल्ला रे
25004,संतुलित
25005,टैंकर
25006,हल्ला रे
25007,संतुलित
25008,समर्थक
25009,हल्ला रे
25010,संतुलित
25011,उपयोगिता
25012,हल्ला रे
25013,संतुलित
25014,टैंकर
26000,लाइन में प्रतिद्वंद्वी को दृढ़ता से दबाएं। यह विभाजन के माध्यम से ऑपरेशन का नियंत्रण भी लेता है। {{▲ ऑपरेशन आँकड़े वृद्धि। {{{- पॉइंट्स लाइन में वृद्धि या खोई गई। {{Hanta स्टेट लोवर्स।
26001,बेसिक डील टैंक।
26002,लाइन लड़ाइयों में प्रभाव कम हो गया है। हालांकि} वह हंता में मजबूत है। {{Hanta की क्षमता में वृद्धि हुई है। {{{--जिन बिंदुओं को लाइन में प्राप्त या खो दिया जाता है। {{▼ ऑपरेशन स्टेट को कम किया गया है।
26003,गैनिंग शक्तिशाली हो जाती है। हालांकि} गैनिंग विफलता का एक उच्च जोखिम है। {{▲ लाइन आँकड़े वृद्धि। {{
26004,बेसिक डील टैंक।
26005,गैनिंग क्षमता कम हो गई है। हालांकि} मारने की क्षमता बढ़ जाती है। {{▲ मारने की क्षमता बढ़ जाती है। {{▼ लाइनअप क्षमता नीचे चला जाता है।
