ID,Name,Dec
1000,Ricompensa del login giornaliero,Accedi oggi premio
1001,3 premi giornalieri,I 3 ricompense di oggi
1002,Supporto,Puoi sponsorizzare lo sviluppatore attraverso Twonation.
1003,Revisione,Si prega di rivedere e ti ricompenseremo.
1004,Tutorial completo,Tutorial completo
1005,Raggiungimento in argento,Raggiungi il rango argento multiplay
1006,Ranking Gold Rayment.,Raggiungi il rango in oro multiplay
1007,Raggio di Platinum Raking,Raggiungi il rango di platino multiplay
1008,Rangolo del diamante Raggiungimento,Ottenere un rango di diamanti multiplay
1009,Realizzazione del rango principale,Raggiungi il rango master multiplay
1010,Realizzazione di Challenger.,Raggiungi il rango di Challenger Multiplay
1011,Campione della lega,Raggiunto il primo posto in campionato
1012,Medaglia d'argento,Raggiunto il secondo posto nel campionato
1013,Medaglia di bronzo,Raggiunto il terzo posto in campionato
1014,3 campioni,Raggiungere 3 titoli di campionato
1015,3 medaglie d'argento,Consegnato il secondo posto in tre campionati
1016,3 medaglie di bronzo,Raggiunto il terzo posto in tre campionati
1017,5 campioni,Ottieni 5 titoli di campionato
1018,5 medaglie d'argento,Raggiungere il secondo posto in cinque campionati
1019,5 medaglie di bronzo,Raggiungere il terzo posto in cinque campionati
1020,Prima stagione,Scadenza della prima stagione
1021,Terza stagione,Terza stagione Termine
1022,Quinta stagione,Termine di quinta stagione
1023,Decima stagione,Scadenza della decima stagione
1024,6 premi giornalieri,I 6 ricompense di oggi
1025,Raggiungimento in argento,Raggiungi il rango argento multiplay
1026,Ranking Gold Rayment.,Raggiungi il rango in oro multiplay
1027,Raggio di Platinum Raking,Raggiungi il rango di platino multiplay
1028,Rangolo del diamante Raggiungimento,Ottenere un rango di diamanti multiplay
1029,Realizzazione del rango principale,Raggiungi il rango master multiplay
1030,Realizzazione di Challenger.,Raggiungi il rango di Challenger Multiplay
1031,Limite giornaliero della partita,Numero di partite al giorno in cui è possibile ottenere l'essenza
