ID,Dec
10000,Ciao. Piacere di conoscerti.
10001,Con il supporto del manager} ha creato una nuova squadra nella Lega Roll.
10002,Per favore chiama il tuo team prima.
10003,Facciamo la squadra AAA nella storia.
10004,Questa è la prima partita della lega.
10005,Qui puoi vedere le informazioni del nostro team e di altre squadre prima della partita.
10006,L'attuale squadra ha già registrato un giocatore.
10007,Ma hai bisogno di molti giocatori per vincere.
10008,Prendiamo un nuovo giocatore prima della partita.
10009,Tocca il mercato del reclutamento
10010,Puoi reclutare nuovi giocatori con l'essenza che hai nel mercato del reclutamento.
10011,Assumentiamo un nuovo giocatore con l'essenza che abbiamo ora.
10012,Premere il pulsante Compra giocatori.
10013,Abbiamo un nuovo giocatore.
10014,La squadra non è ancora competitiva. Assumentiamo un giocatore migliore per migliorare la nostra competitività.
10015,Non c'è abbastanza essenza per reclutare un buon giocatore. In questo caso} puoi ottenere un numero intero usando uno sponsor.
10016,Visualizza tutti gli annunci video degli sponsor} per guadagnare premi.
10017,Inizialmente} Gli annunci sponsorizzati sono appositamente preparati a ricevere il 50% di premi in più.
10018,Premere pubblicità sponsorizzata.
10019,Sponsor ci ha mandato un numero intero. Ora prendiamo un nuovo giocatore con questo numero intero.
10020,Si prega di premere il pulsante di acquisto.
10021,Abbiamo un nuovo giocatore.
10022,Ora proviamo un nuovo giocatore.
10023,Premere il pulsante Gestione del lettore.
10024,Nella gestione del giocatore} Puoi selezionare un candidato.
10025,Premere il tasto Swap per provare il candidato.
10026,Premendo Sostituisci renderà il lettore selezionato un lettore di avviamento e il lettore esistente verrà nominato.
10027,Anche} A seconda della composizione degli antipasti} è possibile ottenere ulteriori effetti.
10028,premi il bottone
10029,Puoi trovare informazioni su Tim Chemie qui.
10030,Puoi rendere la tua squadra più forte abbinando diverse chimiche come tipo e squadra.
10031,Premi X per uscire.
10032,Ora cambiamo il giocatore che non è necessario per un altro giocatore.
10033,Prova a premere la ricombinazione.
10034,Qui puoi sostituire quattro candidati con nuovi giocatori.
10035,Temporaneamente ho dato quattro giocatori. Ricombino questi giocatori.
10036,Premere il pulsante Aggiungi.
10037,Premere il pulsante Aggiungi.
10038,Premere il pulsante Aggiungi.
10039,Premere il pulsante Aggiungi.
10040,Metti tutti e tre i giocatori. Ora cambiamo in un nuovo giocatore.
10041,Puoi controllare le informazioni sulla capacità del giocatore dalle informazioni di reclutamento.
10042,Ora prendi il giocatore.
10043,Prova a premere la ricombinazione.
10044,In questo modo puoi sostituire i giocatori esistenti con nuovi giocatori.
10045,Ora giochiamo con questi giocatori.
10046,Premere il pulsante Abbina
10047,Premere il pulsante di avanzamento del gioco.
10048,Il gioco è iniziato.
10049,Fidiamo i giocatori e guardiamo il gioco.
10050,Come questo} Quando il gioco è finito} puoi ottenere esperienza e numeri interi.
